sample,individual,condition
AF11|L,AF11,L
AF11|NI,AF11,NI
AF11|S,AF11,S
AF17|L,AF17,L
AF17|NI,AF17,NI
AF17|S,AF17,S
AF19|L,AF19,L
AF19|NI,AF19,NI
AF19|S,AF19,S
AF21|L,AF21,L
AF21|NI,AF21,NI
AF21|S,AF21,S
AF23|L,AF23,L
AF23|NI,AF23,NI
AF23|S,AF23,S
AF25|L,AF25,L
AF25|NI,AF25,NI
AF25|S,AF25,S
AF27|L,AF27,L
AF27|NI,AF27,NI
AF27|S,AF27,S
AF29|L,AF29,L
AF29|NI,AF29,NI
AF29|S,AF29,S
AF31|L,AF31,L
AF31|NI,AF31,NI
AF31|S,AF31,S
AF35|L,AF35,L
AF35|NI,AF35,NI
AF35|S,AF35,S
AF37|L,AF37,L
AF37|NI,AF37,NI
AF37|S,AF37,S
AF39|L,AF39,L
AF39|NI,AF39,NI
AF39|S,AF39,S
AF41|L,AF41,L
AF41|NI,AF41,NI
AF41|S,AF41,S
AF43|L,AF43,L
AF43|NI,AF43,NI
AF43|S,AF43,S
AF47|L,AF47,L
AF47|NI,AF47,NI
AF47|S,AF47,S
AF53|L,AF53,L
AF53|NI,AF53,NI
AF53|S,AF53,S
AF57|L,AF57,L
AF57|NI,AF57,NI
AF57|S,AF57,S
AF59|L,AF59,L
AF59|NI,AF59,NI
AF59|S,AF59,S
AF61|L,AF61,L
AF61|NI,AF61,NI
AF61|S,AF61,S
AF63|L,AF63,L
AF63|NI,AF63,NI
AF63|S,AF63,S
AF65|L,AF65,L
AF65|NI,AF65,NI
AF65|S,AF65,S
AF67|L,AF67,L
AF67|NI,AF67,NI
AF67|S,AF67,S
AF69|L,AF69,L
AF69|NI,AF69,NI
AF69|S,AF69,S
AF71|L,AF71,L
AF71|NI,AF71,NI
AF71|S,AF71,S
AF77|L,AF77,L
AF77|NI,AF77,NI
AF77|S,AF77,S
AF79|L,AF79,L
AF79|NI,AF79,NI
AF79|S,AF79,S
EU06|L,EU06,L
EU06|NI,EU06,NI
EU06|S,EU06,S
EU14|L,EU14,L
EU14|NI,EU14,NI
EU14|S,EU14,S
EU16|L,EU16,L
EU16|NI,EU16,NI
EU16|S,EU16,S
EU20|NI,EU20,NI
EU20|S,EU20,S
EU22|L,EU22,L
EU22|NI,EU22,NI
EU22|S,EU22,S
EU24|L,EU24,L
EU24|NI,EU24,NI
EU24|S,EU24,S
EU26|L,EU26,L
EU26|NI,EU26,NI
EU26|S,EU26,S
EU28|L,EU28,L
EU28|NI,EU28,NI
EU28|S,EU28,S
EU30|L,EU30,L
EU30|NI,EU30,NI
EU30|S,EU30,S
EU34|L,EU34,L
EU34|NI,EU34,NI
EU34|S,EU34,S
EU36|L,EU36,L
EU36|NI,EU36,NI
EU36|S,EU36,S
EU42|L,EU42,L
EU42|NI,EU42,NI
EU42|S,EU42,S
EU46|L,EU46,L
EU46|NI,EU46,NI
EU46|S,EU46,S
EU48|L,EU48,L
EU48|NI,EU48,NI
EU48|S,EU48,S
EU50|L,EU50,L
EU50|NI,EU50,NI
EU50|S,EU50,S
EU52|L,EU52,L
EU52|NI,EU52,NI
EU52|S,EU52,S
EU54|L,EU54,L
EU54|NI,EU54,NI
EU54|S,EU54,S
EU58|L,EU58,L
EU58|NI,EU58,NI
EU58|S,EU58,S
EU60|L,EU60,L
EU60|NI,EU60,NI
EU60|S,EU60,S
EU62|L,EU62,L
EU62|NI,EU62,NI
EU62|S,EU62,S
EU64|L,EU64,L
EU64|NI,EU64,NI
EU64|S,EU64,S
EU66|L,EU66,L
EU66|NI,EU66,NI
EU66|S,EU66,S
EU68|L,EU68,L
EU68|NI,EU68,NI
EU68|S,EU68,S
EU70|L,EU70,L
EU70|NI,EU70,NI
EU70|S,EU70,S
EU72|L,EU72,L
EU72|NI,EU72,NI
EU72|S,EU72,S
EU74|L,EU74,L
EU74|NI,EU74,NI
EU74|S,EU74,S
EU76|L,EU76,L
EU76|NI,EU76,NI
EU76|S,EU76,S
EU78|L,EU78,L
EU78|NI,EU78,NI
EU78|S,EU78,S
EU80|L,EU80,L
EU80|NI,EU80,NI
EU80|S,EU80,S
AF101|L,AF101,L
AF101|NI,AF101,NI
AF101|S,AF101,S
AF105|L,AF105,L
AF105|NI,AF105,NI
AF105|S,AF105,S
AF107|L,AF107,L
AF107|NI,AF107,NI
AF107|S,AF107,S
AF109|L,AF109,L
AF109|NI,AF109,NI
AF109|S,AF109,S
AF111|L,AF111,L
AF111|NI,AF111,NI
AF111|S,AF111,S
AF113|L,AF113,L
AF113|NI,AF113,NI
AF113|S,AF113,S
AF115|L,AF115,L
AF115|NI,AF115,NI
AF115|S,AF115,S
AF117|NI,AF117,NI
AF117|S,AF117,S
AF119|L,AF119,L
AF119|NI,AF119,NI
AF119|S,AF119,S
AF125|L,AF125,L
AF125|NI,AF125,NI
AF125|S,AF125,S
AF127|L,AF127,L
AF127|NI,AF127,NI
AF127|S,AF127,S
AF129|L,AF129,L
AF129|NI,AF129,NI
AF129|S,AF129,S
AF131|L,AF131,L
AF131|NI,AF131,NI
AF131|S,AF131,S
AF133|L,AF133,L
AF133|NI,AF133,NI
AF133|S,AF133,S
AF137|L,AF137,L
AF137|NI,AF137,NI
AF137|S,AF137,S
AF139|L,AF139,L
AF139|NI,AF139,NI
AF139|S,AF139,S
AF141|L,AF141,L
AF141|NI,AF141,NI
AF141|S,AF141,S
AF143|L,AF143,L
AF143|NI,AF143,NI
AF143|S,AF143,S
AF145|L,AF145,L
AF145|NI,AF145,NI
AF145|S,AF145,S
AF147|L,AF147,L
AF147|NI,AF147,NI
AF147|S,AF147,S
AF149|L,AF149,L
AF149|NI,AF149,NI
AF149|S,AF149,S
AF151|L,AF151,L
AF151|NI,AF151,NI
AF151|S,AF151,S
AF153|L,AF153,L
AF153|NI,AF153,NI
AF153|S,AF153,S
AF155|L,AF155,L
AF155|NI,AF155,NI
AF155|S,AF155,S
AF157|L,AF157,L
AF157|NI,AF157,NI
AF157|S,AF157,S
AF159|L,AF159,L
AF159|NI,AF159,NI
AF159|S,AF159,S
