set,family,n_genes,n_dropped,ic_raw,ic_corrected,null_raw,null_corrected,p_raw,p_corrected,q_raw,q_corrected,pass_raw,pass_corrected
complex|Multisubunit ACTR coactivator complex (human),complex,4,0,0.3068580542264752,0.6407289067543731,0.04737182729551148,0.10106740341795792,0.03948025987006497,0.041979010494752625,0.1137316223996185,0.11367719008813716,False,False
complex|NCOR complex (human),complex,5,0,-0.03653451811346549,-0.10205300748972963,0.06397835611756664,0.1404729443733391,0.8585707146426786,0.8780609695152424,0.9010871017245293,0.9155284305638346,False,False
complex|9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),complex,3,0,-0.21191615402141714,-0.42527679996702794,0.029665094554568238,0.06083033458781649,0.9685157421289355,0.9425287356321839,0.9746158897295538,0.9582144806206784,False,False
complex|PA700 complex (human),complex,18,0,0.25428544623591065,0.7777338852787231,0.045002489735926264,0.10005915424568736,0.0004997501249375312,0.0004997501249375312,0.003264091224827838,0.003233585699362157,True,True
complex|AP1 adaptor complex (human),complex,5,0,0.010806561859193398,-0.020110164066273927,0.04612268284347232,0.10421887913489652,0.6071964017991005,0.6811594202898551,0.7169681219651687,0.7686243740236288,False,False
complex|immunoproteasome (mouse),complex,11,0,0.3280519480519481,0.822491820383349,0.051448378176847075,0.11143928093046529,0.0004997501249375312,0.0004997501249375312,0.003264091224827838,0.003233585699362157,True,True
complex|Mi-2/NuRD-MTA2 complex (human),complex,5,0,-0.05652768284347236,-0.1667940645092174,0.02422780929596719,0.052651954918479404,0.8235882058970515,0.88055972013993,0.8772270275118852,0.9172129080895861,False,False
"complex|Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN variant) (human)",complex,4,0,0.5214855320118478,0.8603281560814765,0.057403622693096346,0.1263513081852828,0.0024987506246876563,0.015992003998001,0.013172347836234168,0.05563717303827148,True,False
complex|DNA polymerase alpha-primase complex (mouse),complex,3,0,0.4459557985873775,1.1075329853334586,0.016843791296422876,0.040797886312039185,0.013493253373313344,0.014492753623188406,0.050770810247050394,0.0514554688467732,False,False
complex|CCT complex (chaperonin containing TCP1 complex) (mouse),complex,8,0,0.21114149008885855,0.4882170837967484,0.052971034322820035,0.11724011876918046,0.018490754622688656,0.019490254872563718,0.0641156883995398,0.06466654851487995,False,False
complex|SMRT complex (human),complex,5,0,0.0692617908407382,0.13233597066004413,0.06343534176349966,0.13779889535631332,0.42978510744627685,0.456271864067966,0.5830592215322776,0.5897178977406131,False,False
complex|AP3 adapter complex (human),complex,5,0,-0.022474367737525647,-0.041471975028047135,0.06719932672590567,0.1525952062445285,0.8040979510244878,0.7916041979010495,0.862660869978234,0.8527810783404979,False,False
complex|Interferon-stimulated gene factor 3 transcription complex ISGF3 (human),complex,3,0,0.651834130781499,1.3286022106387843,0.04976293005240374,0.10721391001030134,0.0024987506246876563,0.005497251374312844,0.013172347836234168,0.024449231487040205,True,True
