set,family,n_genes_present,ic_none,ic_monocyte_subset,ic_platelet,ic_erythrocyte,ic_lymphocyte,ic_global_pc1,ic_all,null_all_mean,null_all_z,null_all_p,retained_frac,null_all_q
complex|Multisubunit ACTR coactivator complex (human),complex,4,0.1458709903201249,0.1530007883163223,0.1462816093198111,0.146013726084431,0.1482404491057932,0.1471391513603417,0.1578454611379897,0.0298530723591403,2.07029541084636,0.0192123445416512,1.0820894599507818,0.06045774417589541
complex|BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),complex,3,0.0959878848228363,0.0862962842701127,0.0901846500200235,0.0953862749979254,0.1016513152435482,0.1165278544446969,0.1003082912116259,-0.0009673786768552,1.3246267975440151,0.0926474816657528,1.0450099134569306,0.21588240154599514
complex|NCOR complex (human),complex,6,0.1178157684911589,0.1174703163728069,0.1165948703517298,0.1150178769216338,0.1157730009777287,0.0280600924332456,0.0251753417540669,0.0061116207206329,0.3642755291096103,0.3578261356638557,0.2136839752138622,0.5538987078858697
complex|BLOC-1 (biogenesis of lysosome-related organelles complex 1) (human),complex,7,-0.013552263130144,-0.0121011322995282,-0.0107202902158579,-0.0124361474087096,-0.0106861444451144,0.0157962201018343,0.020653230499157,0.0167535064485254,0.1150282504384441,0.4542113650250086,-1.523969118723678,0.6374641599935382
complex|9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),complex,3,-0.0856910665901802,-0.0833824903580075,-0.0840052963311722,-0.0840959436885988,-0.101826296212113,-0.093817760027131,-0.1047527176167952,0.0319642199997835,-1.1810171680424773,0.8812020483759222,1.222446187042786,0.9210659505643567
complex|Arp2/3 protein complex (human),complex,5,-0.0459948750419413,-0.0438504562132675,-0.0436393966944832,-0.0422212390817287,-0.0505215605416112,0.0058095485491011,0.0138390102932103,0.0172987019839594,-0.069612601275675,0.5277489965468226,-0.3008815717096962,0.6974904958114357
complex|PA700 complex (human),complex,18,0.0428870236278425,0.0424171800962703,0.0426373918943382,0.042707568211628,0.0455723907974795,0.0354452301786744,0.0354938124225239,0.0037196441445255,2.2209394581973587,0.0131775311112404,0.8276119306046026,0.04422734065622733
complex|AP1 adaptor complex (human),complex,5,-0.012159328289552,-0.0342201891959173,-0.0126480122522756,-0.0096161963827646,-0.0066627160654176,-0.0523750960591399,-0.0835943165459839,0.013778175092812,-1.7126934313128137,0.9566155228878934,6.874912376353299,0.9694233946163093
complex|immunoproteasome (mouse),complex,12,0.1981699647381369,0.1928315282578685,0.1975227647452215,0.1975794654667597,0.2001542850002115,0.1752299515596266,0.1671618857667823,0.0265791181697154,5.366895234474355,4.005177671950067e-08,0.8435278574514111,4.72654031716688e-07
complex|Mi-2/NuRD-MTA2 complex (human),complex,5,0.017718581896505,0.0203006786375296,0.0191008864499789,0.0198916831726033,0.0187660324057538,-0.0305170417031961,-0.026428034115877,0.000871100810685,-0.4532153086530522,0.6748031449625224,-1.4915434130250538,0.7968343836608681
"complex|Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN variant) (human)",complex,4,-0.0022952722667792,-0.0033108834554592,0.0018350452605411,0.00161135824918,0.0029237155134159,-0.0437120949731755,-0.0272347955969737,0.0049951429251766,-0.519949432407254,0.6984505897938869,11.86560565870906,0.8100377628155603
complex|DNA polymerase alpha-primase complex (mouse),complex,4,0.0164222795871171,0.0264909009896346,0.018037471182258,0.0089073430673261,0.022350210879126,0.0521436521594817,0.0570277858954516,0.0251265229658011,0.4147763749249024,0.3391528079410475,3.472586469675538,0.5344152285933951
complex|DNMT3B complex (human),complex,6,0.0013542985788659,0.0076431506676335,-0.0001703809534117,0.0001973496697008,0.0003151461361676,0.1011812117341876,0.1048329021946582,0.0076406747771247,1.8407231324323536,0.0328310711162483,77.40752580752526,0.09377928932129252
complex|CCT complex (chaperonin containing TCP1 complex) (mouse),complex,8,0.0407888465481331,0.0431872325999595,0.0404500303059822,0.0403223219021024,0.0438076064922835,0.1247888438422419,0.1270535781932996,-0.0081146320876956,4.332743739185286,7.363124256601186e-06,3.1149098085764484,6.144569573929713e-05
complex|SMRT complex (human),complex,5,0.1216062711735991,0.1220547726510157,0.1199796246387636,0.1185311610438246,0.1191800337695229,-0.0521262893571885,-0.0561360143304001,0.0120011215919299,-1.3343303828901445,0.908952197771686,-0.461621047900261,0.9441731440049828
complex|AP3 adapter complex (human),complex,5,0.084546925566343,0.0878298481453821,0.0811338496173869,0.0854339167234904,0.0891597937028498,0.028641182582719,0.0266612819430464,0.0059246842224891,0.377246566828809,0.3529951885072209,0.3153430093933528,0.5487425203777265
complex|Interferon-stimulated gene factor 3 transcription complex ISGF3 (human),complex,3,0.4954811615850028,0.5080134969856372,0.4840550847304753,0.4956525346985458,0.4940975491840837,0.5204258712067915,0.5235534305289476,0.001379869251334,5.1887105794682125,1.0587760504664917e-07,1.0566565817641664,1.1620067153869746e-06
complex|Mi2/NuRD complex (human),complex,7,-0.0695077751852762,-0.0693721584920403,-0.0696493190689054,-0.0708633622837928,-0.0706606137167555,-0.0073444331570122,-0.0063998838270682,0.0018455595808909,-0.2911186172013509,0.6145196990925615,0.0920743587319415,0.7616435570345412
complex|AP4 adaptor complex (human),complex,3,0.2654515410952727,0.2639903598113814,0.2618076075230992,0.2650564809703686,0.269880183134721,0.262781277397149,0.2568220028646368,0.0117626897280759,2.943554232799194,0.0016223348451811,0.9674910976405346,0.00774135866341851
"complex|Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1) (human)",complex,3,-0.021755816764259,-0.0089510883094673,-0.0278143073098751,-0.0174976458745981,-0.0178151371165301,-0.0680089691275846,-0.0715225689370899,-0.0106486742936721,-0.6743038815439228,0.7499409315945653,3.287514769594341,0.8407151914453886
complex|NUMAC complex (nucleosomal methylation activator complex) (human),complex,10,0.0243086147159595,0.0264782584643285,0.0248721917358472,0.0244031405175347,0.0244648047729516,-0.0125795983014218,-0.0107037241482155,0.0132322728043496,-0.8131949306882957,0.7919468472981208,-0.4403263729046673,0.8626914788185485
complex|Nup 107-160 subcomplex (human),complex,9,0.1453374787587535,0.1448077629615198,0.1452264620531822,0.1465509582462938,0.1467463837266497,0.1698101982636596,0.1713147489714607,0.0214980674674902,3.583242794482644,0.0001696774527206,1.1787375867158596,0.0010432549263913642
