pc,var_ratio,factor,r2,r2_chance,r2_excess,p,n_groups
PC1,0.15536177757334232,chip,0.8985559891036453,0.28272084392796576,0.6158351451756796,0.004975124378109453,59
PC1,0.15536177757334232,position,0.012766846588576852,0.05417020745742791,-0.04140336086885106,1.0,12
PC1,0.15536177757334232,batch,0.0007137951429999623,0.004796075915076182,-0.0040822807720762196,0.7263681592039801,2
PC2,0.06322527959540074,chip,0.5091322280717279,0.28201558249050485,0.22711664558122302,0.004975124378109453,59
PC2,0.06322527959540074,position,0.06748541902886795,0.05441122129663174,0.013074197732236212,0.24378109452736318,12
PC2,0.06322527959540074,batch,0.0009703906970259801,0.0048488493119434855,-0.0038784586149175054,0.6915422885572139,2
PC3,0.05182987123667996,chip,0.353478006534341,0.2858875319424968,0.06759047459184425,0.0845771144278607,59
PC3,0.05182987123667996,position,0.0708041519933511,0.05342401900938135,0.017380132983969752,0.18407960199004975,12
PC3,0.05182987123667996,batch,0.00087338656071001,0.004811419888026785,-0.003938033327316775,0.6766169154228856,2
PC4,0.04529221328055323,chip,0.5620722741187412,0.2828396326706195,0.27923264144812165,0.004975124378109453,59
PC4,0.04529221328055323,position,0.06309201465429437,0.05239583841437733,0.01069617623991704,0.2885572139303483,12
PC4,0.04529221328055323,batch,0.0054868219843775545,0.004863697248713936,0.0006231247356636186,0.27860696517412936,2
PC5,0.037413999316921936,chip,0.6501780097391051,0.2831975755159642,0.3669804342231409,0.004975124378109453,59
PC5,0.037413999316921936,position,0.0673771678203402,0.05400800445468421,0.013369163365655988,0.23880597014925373,12
PC5,0.037413999316921936,batch,0.002089058309586611,0.0052149656557770605,-0.0031259073461904494,0.4925373134328358,2
