set,family,n_genes_present,ic_none,ic_batch_position,ic_chip,ic_pc1,null_bp_mean,null_bp_z,null_bp_p,null_chip_mean,null_chip_z,null_chip_p,null_raw_mean,null_raw_z,null_raw_p,null_raw_q,null_bp_q,null_chip_q
complex|Multisubunit ACTR coactivator complex (human),complex,4,0.14587099032012496,0.1488504020954422,0.19544810461336418,0.14713915136034172,0.07601305186652382,0.41325177834970256,0.33971107791625477,0.01909682761307918,1.9850959885309392,0.023566896513995295,0.07462357670119385,0.4075336565127592,0.34180803994409326,0.6484603696432883,0.6592978037366748,0.0708716463708646
complex|BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),complex,3,0.09598788482283631,0.08529014370086552,0.1166446587510328,0.11652785444469697,-0.00704309673020099,0.614947451827887,0.26929471199880745,-0.035312940834785506,2.0625844459621834,0.01957606339396866,-0.011012210785321774,0.7221394722387147,0.2351043660858534,0.5375563370400502,0.5875764342319904,0.06173772866345001
complex|NCOR complex (human),complex,6,0.11781576849115899,0.11379454348006485,-0.056928975766037775,0.028060092433245684,0.003729678756588852,2.6452431426598664,0.004081611825128679,-0.008182561071965872,-1.4096009351353898,0.9206712246295805,0.001915022386740421,2.888558937921177,0.0019350574720317618,0.019306596141407804,0.03513387433787235,0.945130501395762
complex|BLOC-1 (biogenesis of lysosome-related organelles complex 1) (human),complex,7,-0.013552263130144085,-0.019816852393889094,0.019491565608070485,0.01579622010183433,0.017366790261471567,-0.6609488508582932,0.7456774418682857,0.013223078572382085,0.23074912651408275,0.4087548528934694,0.017479342452960015,-0.5566730984823383,0.7111245998978011,0.8604842870869203,0.8807034605178401,0.5945771385693607
complex|9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),complex,3,-0.08569106659018022,-0.08963896194795302,-0.06461984031633679,-0.09381776002713105,-0.02215592788619381,-0.4385673590830818,0.6695124737137912,-0.029031823085221137,-0.33986373027208366,0.6330204242309209,-0.02217038185537552,-0.42374179242733245,0.6641229336812305,0.8387513460473539,0.8499594446511114,0.7620323746625536
complex|Arp2/3 protein complex (human),complex,5,-0.04599487504194135,-0.054129190072626086,0.007588266173112102,0.005809548549101118,0.07098278647270839,-1.0056599793344365,0.8427104195791616,0.028681331244385277,-0.31989104900469295,0.6254745382504431,0.0697172275979262,-0.9448121039658621,0.8276225943506696,0.9103754060117941,0.916370367164655,0.759226110003432
complex|PA700 complex (human),complex,18,0.04288702362784255,0.03972663989921209,0.04209693874916233,0.035445230178674424,0.014387906526560221,1.027120995067845,0.15218174684212332,0.003727671179810334,3.2080677659534365,0.0006681500381163911,0.013999010704930306,1.1923104063875751,0.1165697778068388,0.36293710962554776,0.43040997294678535,0.0032162046790909613
complex|AP1 adaptor complex (human),complex,5,-0.012159328289552018,-0.01478526046909332,0.016643260707211737,-0.052375096059139946,0.039773104252578725,-0.5488465062670461,0.7084446042019816,0.01606027643385178,0.012984543515404305,0.49482006215524843,0.04042674611163427,-0.53631406646189,0.7041292447126963,0.8604077144977181,0.8638997072629098,0.6687992835164842
complex|immunoproteasome (mouse),complex,12,0.19816996473813697,0.20413998083900997,0.1566732567418511,0.1752299515596266,0.020507111492231795,6.4935429808600365,4.192041589429445e-11,0.012614494049171138,7.17882787192045,3.515580005827886e-13,0.019706751903881495,6.601285590225954,2.0380373085681514e-11,7.848231390012443e-10,1.5595815743724799e-09,5.043593537772686e-12
complex|Mi-2/NuRD-MTA2 complex (human),complex,5,0.01771858189650506,0.01619881806669481,0.011704738556785799,-0.03051704170319618,0.0015402947797945822,0.20483682206975148,0.41884980854144377,-0.006140546698271473,0.4759079555351593,0.3170699771007489,0.0008993300213224302,0.24346131289664943,0.40382402570597,0.7012608674245285,0.7182619763659915,0.5064469537206374
