seeds,directions,source,id,year,journal,title,passes_stage1,screen_rule,verdict,verdict_reason,abstract
[3] Venet 2011,前向き,MED,37951307,2024,Laboratory investigation; a journal of technical methods and pathology,A Novel Mathematical Approach for Analysis of Integrated Cell-Patient Data Uncovers a 6-Gene Signature Linked to Endocrine Therapy Resistance.,True,測定性質+セット,除外 E1,内分泌療法抵抗性の予後シグネチャの導出。群間比較の妥当性のみ,"A significant number of breast cancers develop resistance to hormone therapy. This progression, while posing a major clinical challenge, is difficult to predict. Despite important contributions made by cell models and clinical studies to tackle this problem, both present limitations when taken individually. Experiments with cell models are highly reproducible but do not reflect the indubitable heterogenous landscape of breast cancer. On the other hand, clinical studies account for this complexity but introduce uncontrolled noise due to external factors. Here, we propose a new approach for biomarker discovery that is based on a combined analysis of sequencing data from controlled MCF7 cell experiments and heterogenous clinical samples that include clinical and sequencing information from The Cancer Genome Atlas. Using data from differential gene expression analysis and a Bayesian logistic regression model coupled with an original simulated annealing-type algorithm, we discovered a novel 6-gene signature for stratifying patient response to hormone therapy. The experimental observations and computational analysis built on independent cohorts indicated the superior predictive performance of this gene set over previously known signatures of similar scope. Together, these findings revealed a new gene signature to identify patients with breast cancer with an increased risk of developing resistance to endocrine therapy."
[3] Venet 2011,前向き,MED,38205542,2024,American journal of physiology. Renal physiology,Energy depletion by cell proliferation sensitizes the kidney epithelial cells to injury.,True,測定性質+セット,除外 E5,腎障害の代謝の話で、遺伝子セットスコアが主題ではない,"Acute kidney injury activates both proliferative and antiproliferative pathways, the consequences of which are not fully elucidated. If an initial proliferation of the renal epithelium is necessary for the successful repair, the persistence of proliferation markers is associated with the occurrence of chronic kidney disease. We hypothesized that proliferation in stress conditions impacts cell viability and renal outcomes. We found that proliferation is associated with cell death after various stresses in kidney cells. In vitro, the ATP/ADP ratio oscillates reproducibly throughout the cell cycle, and cell proliferation is associated with a decreased intracellular ATP/ADP ratio. In vivo, transcriptomic data from transplanted kidneys revealed that proliferation was strongly associated with a decrease in the expression of the mitochondria-encoded genes of the oxidative phosphorylation pathway, but not of the nucleus-encoded ones. These observations suggest that mitochondrial function is a limiting factor for energy production in proliferative kidney cells after injury. The association of increased proliferation and decreased mitochondrial function was indeed associated with poor renal outcomes. In summary, proliferation is an energy-demanding process impairing the cellular ability to cope with an injury, highlighting proliferative repair and metabolic recovery as indispensable and interdependent features for successful kidney repair.<b>NEW & NOTEWORTHY</b> ATP depletion is a hallmark of acute kidney injury. Proliferation is instrumental to kidney repair. We show that ATP levels vary during the cell cycle and that proliferation sensitizes renal epithelial cells to superimposed injuries in vitro. More proliferation and less energy production by the mitochondria are associated with adverse outcomes in injured kidney allografts. This suggests that controlling the timing of kidney repair might be beneficial to mitigate the extent of acute kidney injury."
[3] Venet 2011,前向き,MED,37085598,2023,British journal of cancer,Technical development and validation of a clinically applicable microenvironment classifier as a biomarker of tumour hypoxia for soft tissue sarcoma.,True,測定性質+セット,除外 E1,低酸素分類器の臨床実装。アッセイの再現性は測るが同一個人の再測定ではなく、対照もない,"<h4>Background</h4>Soft tissue sarcomas (STS) are rare, heterogeneous tumours and biomarkers are needed to inform management. We previously derived a prognostic tumour microenvironment classifier (24-gene hypoxia signature). Here, we developed/validated an assay for clinical application.<h4>Methods</h4>Technical performance of targeted assays (Taqman low-density array, nanoString) was compared in 28 prospectively collected formalin-fixed, paraffin-embedded (FFPE) biopsies. The nanoString assay was biologically validated by comparing to HIF-1α/CAIX immunohistochemistry (IHC) in clinical samples. The Manchester (n = 165) and VORTEX Phase III trial (n = 203) cohorts were used for clinical validation. The primary outcome was overall survival (OS).<h4>Results</h4>Both assays demonstrated excellent reproducibility. The nanoString assay detected upregulation of the 24-gene signature under hypoxia in vitro, and 16/24 hypoxia genes were upregulated in tumours with high CAIX expression in vivo. Patients with hypoxia-high tumours had worse OS in the Manchester (HR 3.05, 95% CI 1.54-5.19, P = 0.0005) and VORTEX (HR 2.13, 95% CI 1.19-3.77, P = 0.009) cohorts. In the combined cohort, it was independently prognostic for OS (HR 2.24, 95% CI 1.42-3.53, P = 0.00096) and associated with worse local recurrence-free survival (HR 2.17, 95% CI 1.01-4.68, P = 0.04).<h4>Conclusions</h4>This study comprehensively validates a microenvironment classifier befitting FFPE STS biopsies. Future uses include: (1) selecting high-risk patients for perioperative chemotherapy; and (2) biomarker-driven trials of hypoxia-targeted therapies."
[3] Venet 2011,前向き,MED,37096121,2023,Bioinformatics advances,Identification of a gene expression signature associated with breast cancer survival and risk that improves clinical genomic platforms.,True,測定性質+セット,除外 E1,乳癌の生存に関連する遺伝子の同定。転帰予測であり測定性質ではない,"<h4>Motivation</h4>Modern genomic technologies allow us to perform genome-wide analysis to find gene markers associated with the risk and survival in cancer patients. Accurate risk prediction and patient stratification based on robust gene signatures is a key path forward in personalized treatment and precision medicine. Several authors have proposed the identification of gene signatures to assign risk in patients with breast cancer (BRCA), and some of these signatures have been implemented within commercial platforms in the clinic, such as Oncotype and Prosigna. However, these platforms are black boxes in which the influence of selected genes as survival markers is unclear and where the risk scores provided cannot be clearly related to the standard clinicopathological tumor markers obtained by immunohistochemistry (IHC), which guide clinical and therapeutic decisions in breast cancer.<h4>Results</h4>Here, we present a framework to discover a robust list of gene expression markers associated with survival that can be biologically interpreted in terms of the three main biomolecular factors (IHC clinical markers: ER, PR and HER2) that define clinical outcome in BRCA. To test and ensure the reproducibility of the results, we compiled and analyzed two independent datasets with a large number of tumor samples (1024 and 879) that include full genome-wide expression profiles and survival data. Using these two cohorts, we obtained a robust subset of gene survival markers that correlate well with the major IHC clinical markers used in breast cancer. The geneset of survival markers that we identify (which includes 34 genes) significantly improves the risk prediction provided by the genesets included in the commercial platforms: Oncotype (16 genes) and Prosigna (50 genes, i.e. PAM50). Furthermore, some of the genes identified have recently been proposed in the literature as new prognostic markers and may deserve more attention in current clinical trials to improve breast cancer risk prediction.<h4>Availability and implementation</h4>All data integrated and analyzed in this research will be available on GitHub (https://github.com/jdelasrivas-lab/breastcancersurvsign), including the R scripts and protocols used for the analyses.<h4>Supplementary information</h4>Supplementary data are available at <i>Bioinformatics Advances</i> online."
[3] Venet 2011,前向き,MED,37444614,2023,Cancers,Validation of In Vitro Trained Transcriptomic Radiosensitivity Signatures in Clinical Cohorts.,True,測定性質+セット,near-miss C1,resampling で作った対照シグネチャを基準に既発表シグネチャを評価し、どれも対照を有意に上回らないと結論する。ただし比較する量は臨床転帰の予測性能であり、スコアの個人間共変動でも再測定信頼性でもない（引用 [3] の系譜）,"Transcriptomic personalisation of radiation therapy has gained considerable interest in recent years. However, independent model testing on in vitro data has shown poor performance. In this work, we assess the reproducibility in clinical applications of radiosensitivity signatures. Agreement between radiosensitivity predictions from published signatures using different microarray normalization methods was assessed. Control signatures developed from resampled in vitro data were benchmarked in clinical cohorts. Survival analysis was performed using each gene in the clinical transcriptomic data, and gene set enrichment analysis was used to determine pathways related to model performance in predicting survival and recurrence. The normalisation approach impacted calculated radiosensitivity index (RSI) values. Indeed, the limits of agreement exceeded 20% with different normalisation approaches. No published signature significantly improved on the resampled controls for prediction of clinical outcomes. Functional annotation of gene models suggested that many overlapping biological processes are associated with cancer outcomes in RT treated and non-RT treated patients, including proliferation and immune responses. In summary, different normalisation methods should not be used interchangeably. The utility of published signatures remains unclear given the large proportion of genes relating to cancer outcome. Biological processes influencing outcome overlapped for patients treated with or without radiation suggest that existing signatures may lack specificity."
[3] Venet 2011,前向き,MED,34827124,2021,Biology,Oxford Nanopore MinION Direct RNA-Seq for Systems Biology.,True,測定性質+セット,near-miss C2,同一検体の反復シーケンスで ssGSEA と singscore のスコアの対相関を測り、再現するには反復 2 回以上が要るとする。測っているのは技術的反復であって同一個人の再測定ではなく、サイズをそろえた対照との比較もない,"Long-read direct RNA sequencing developed by Oxford Nanopore Technologies (ONT) is quickly gaining popularity for transcriptome studies, while fast turnaround time and low cost make it an attractive instrument for clinical applications. There is a growing interest to utilize transcriptome data to unravel activated biological processes responsible for disease progression and response to therapies. This trend is of particular interest for precision medicine which aims at single-patient analysis. Here we evaluated whether gene abundances measured by MinION direct RNA sequencing are suited to produce robust estimates of pathway activation for single sample scoring methods. We performed multiple RNA-seq analyses for a single sample that originated from the HepG2 cell line, namely five ONT replicates, and three replicates using Illumina NovaSeq. Two pathway scoring methods were employed-ssGSEA and singscore. We estimated the ONT performance in terms of detected protein-coding genes and average pairwise correlation between pathway activation scores using an exhaustive computational scheme for all combinations of replicates. In brief, we found that at least two ONT replicates are required to obtain reproducible pathway scores for both algorithms. We hope that our findings may be of interest to researchers planning their ONT direct RNA-seq experiments."
[3] Venet 2011,前向き,MED,30081096,2019,Drug discovery today,Turning straw into gold: building robustness into gene signature inference.,True,測定性質+セット,除外 E1,シグネチャ推論の頑健化の指針。転帰予測の再現性が対象,"Reproducible and generalizable gene signatures are essential for clinical deployment, but are hard to come by. The primary issue is insufficient mitigation of confounders: ensuring that hypotheses are appropriate, test statistics and null distributions are appropriate, and so on. To further improve robustness, additional good analytical practices (GAPs) are needed, namely: leveraging existing data and knowledge; careful and systematic evaluation of gene sets, even if they overlap with known sources of confounding; and rigorous testing of inferred signatures against as many published data sets as possible. Here, using a re-examination of a breast cancer data set and 48 published signatures, we illustrate the value of adopting these GAPs."
[3] Venet 2011,前向き,MED,31062858,2019,"Bioinformatics (Oxford, England)",Identification of differentially expressed gene sets using the Generalized Berk-Jones statistic.,True,測定性質+セット,除外 E2,差次発現の検定統計量の提案。変数は手法でありセットの出自ではない,"<h4>Motivation</h4>Cancer genomics studies frequently aim to identify genes that are differentially expressed between clinically distinct patient subgroups, generally by testing single genes one at a time. However, the results of any individual transcriptomic study are often not fully reproducible. A particular challenge impeding statistical analysis is the difficulty of distinguishing between differential expression comprising part of the genomic disease etiology and that induced by downstream effects. More robust analytical approaches that are well-powered to detect potentially causative genes, are less prone to discovering spurious associations, and can deliver reproducible findings across different studies are needed.<h4>Results</h4>We propose a set-based procedure for testing of differential expression and show that this set-based approach can produce more robust results by aggregating information across multiple, correlated genomic markers. Specifically, we adapt the Generalized Berk-Jones statistic to test for the transcription factors that may contribute to the progression of estrogen receptor positive breast cancer. We demonstrate the ability of our method to produce reproducible findings by applying the same analysis to 21 publicly available datasets, producing a similar list of significant transcription factors across most studies. Our Generalized Berk-Jones approach produces results that show improved consistency over three set-based testing algorithms: Generalized Higher Criticism, Gene Set Analysis and Gene Set Enrichment Analysis.<h4>Availability and implementation</h4>Data are in the MetaGxBreast R package. Code is available at github.com/ryanrsun/gaynor_sun_GBJ_breast_cancer.<h4>Supplementary information</h4>Supplementary data are available at Bioinformatics online."
[3] Venet 2011,前向き,MED,29560831,2018,BMC systems biology,SPSNet: subpopulation-sensitive network-based analysis of heterogeneous gene expression data.,True,測定性質+セット,除外 E2,部分集団に感度のある網解析手法の提案,"<h4>Background</h4>Transcriptomic datasets often contain undeclared heterogeneity arising from biological variation such as diversity of disease subtypes, treatment subgroups, time-series gene expression, nested experimental conditions, as well as technical variation due to batch effects, platform differences in integrated meta-analyses, etc. However, current analysis approaches are primarily designed to handle comparisons between experimental conditions represented by homogeneous samples, thus precluding the discovery of underlying subphenotypes. Unsupervised methods for subtype identification are typically based on individual gene level analysis, which often result in irreproducible gene signatures for potential subtypes. Emerging methods to study heterogeneity have been largely developed in the context of single-cell datasets containing hundreds to thousands of samples, limiting their use to select contexts.<h4>Results</h4>We present a novel analysis method, SPSNet, which identifies subtype-specific gene expression signatures based on the activity of subnetworks in biological pathways. SPSNet identifies the gene subnetworks capturing the diversity of underlying biological mechanisms, indicating potential sample subphenotypes. In the presence of extrinsic or non-biological heterogeneity (e.g. batch effects), SPSNet identifies subnetworks that are particularly affected by such variation, thus helping eliminate factors irrelevant to the biology of the phenotypes under study.<h4>Conclusion</h4>Using multiple publicly available datasets, we illustrate that SPSNet is able to consistently uncover patterns within gene expression data that correspond to meaningful heterogeneity of various origins. We also demonstrate the performance of SPSNet as a sensitive and reliable tool for understanding the structure and nature of such heterogeneity."
[3] Venet 2011,前向き,MED,28916538,2017,Neurology,Analysis of blood-based gene expression in idiopathic Parkinson disease.,True,測定性質+セット,除外 E1,パーキンソン病の血液シグネチャ。患者対対照の群間比較,"<h4>Objective</h4>To examine whether gene expression analysis of a large-scale Parkinson disease (PD) patient cohort produces a robust blood-based PD gene signature compared to previous studies that have used relatively small cohorts (≤220 samples).<h4>Methods</h4>Whole-blood gene expression profiles were collected from a total of 523 individuals. After preprocessing, the data contained 486 gene profiles (n = 205 PD, n = 233 controls, n = 48 other neurodegenerative diseases) that were partitioned into training, validation, and independent test cohorts to identify and validate a gene signature. Batch-effect reduction and cross-validation were performed to ensure signature reliability. Finally, functional and pathway enrichment analyses were applied to the signature to identify PD-associated gene networks.<h4>Results</h4>A gene signature of 100 probes that mapped to 87 genes, corresponding to 64 upregulated and 23 downregulated genes differentiating between patients with idiopathic PD and controls, was identified with the training cohort and successfully replicated in both an independent validation cohort (area under the curve [AUC] = 0.79, <i>p</i> = 7.13E-6) and a subsequent independent test cohort (AUC = 0.74, <i>p</i> = 4.2E-4). Network analysis of the signature revealed gene enrichment in pathways, including metabolism, oxidation, and ubiquitination/proteasomal activity, and misregulation of mitochondria-localized genes, including downregulation of <i>COX4I1</i>, <i>ATP5A1</i>, and <i>VDAC3</i>.<h4>Conclusions</h4>We present a large-scale study of PD gene expression profiling. This work identifies a reliable blood-based PD signature and highlights the importance of large-scale patient cohorts in developing potential PD biomarkers."
