set,family,n_genes_present,ic_spearman,ic_pearson,null_spearman,null_pearson,z_spearman,z_pearson,p_spearman,p_pearson,pe_spearman,pe_pearson,skew_spearman,skew_pearson,q_spearman,pass_spearman,q_pearson,pass_pearson
complex|Multisubunit ACTR coactivator complex (human),complex,4,0.14587099032012496,0.18794933684540704,0.021042692515143978,0.02111358141939833,1.1140151449599702,1.4717711727279432,0.1326363447304506,0.0705413403065118,0.13088691130886912,0.08699130086991301,0.9060264604059826,0.9035776234836718,0.39141249362802144,False,0.31835182818351826,False
complex|BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),complex,3,0.09598788482283631,0.10002078671617635,0.010996515939503518,0.01083742981546828,0.6275223140869436,0.6485974433245528,0.2651584569809058,0.2582993042445448,0.24767523247675233,0.24267573242675733,0.5543759126216082,0.5488503833563438,0.5300844184587389,False,0.5131726711721891,False
complex|NCOR complex (human),complex,6,0.11781576849115899,0.10614167452839413,0.014036497431207226,0.01407022003114911,1.6872399948599535,1.4876624720285048,0.045778606925581465,0.06841996460972073,0.0633936606339366,0.08239176082391761,0.9639252766593683,0.9579229810086025,0.3024341194390281,False,0.31240679718603004,False
complex|BLOC-1 (biogenesis of lysosome-related organelles complex 1) (human),complex,7,-0.013552263130144085,0.0010383775904394227,0.012223392713472916,0.011913054813656964,-0.5207213772427812,-0.21829949149675093,0.6987195598540321,0.5864021146833821,0.6576342365763423,0.5225477452254774,1.0132520243981484,0.9971250977359704,0.8019484162694842,False,0.7088951179047731,False
complex|9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),complex,3,-0.08569106659018022,-0.04497227677293562,0.028825410709196093,0.02995209631892521,-0.7266664869806402,-0.46943271785419544,0.7662848560103181,0.6806198166616753,0.7468253174682532,0.6455354464553544,0.6205168686470941,0.6414891386491023,0.8573648388299245,False,0.7819814045085558,False
complex|Arp2/3 protein complex (human),complex,5,-0.04599487504194135,-0.05195564244568325,0.03403813569503523,0.035451255436225564,-0.865025870701857,-0.9341538277700087,0.8064877052807757,0.8248877254860316,0.8061193880611939,0.8348165183481652,0.9057873338390906,0.9003603297424836,0.8887152470086994,False,0.9031159476462408,False
complex|PA700 complex (human),complex,18,0.04288702362784255,0.046508821684945745,0.019605946739889153,0.019993921435886894,0.7950524700065532,0.9034401621119538,0.21329149054495022,0.18314616636093756,0.18898110188981102,0.1683831616838316,1.145032004282849,1.1354746885246767,0.47299146938213815,False,0.43947619456063874,False
complex|AP1 adaptor complex (human),complex,5,-0.012159328289552018,-0.011049703069008609,0.01637897863428256,0.016541288919132372,-0.35281416888503087,-0.33714533496200005,0.6378861196088852,0.6319963282213614,0.5814418558144185,0.5755424457554245,0.9584548846580568,0.9472936475362563,0.7523485438389651,False,0.7405456761115458,False
complex|immunoproteasome (mouse),complex,12,0.19816996473813697,0.2222055002153112,0.03822925198628819,0.04071586205103613,3.2755785941169644,3.6661395056860338,0.0005272288505033703,0.00012311981474756467,0.0081991800819918,0.004199580041995801,1.1440505568293118,1.1230559410008798,0.11390633088589874,False,0.06930885858782543,False
complex|Mi-2/NuRD-MTA2 complex (human),complex,5,0.01771858189650506,0.008358305840663504,0.013192001601887632,0.013775282079653022,0.06343465154697898,-0.0751721638207601,0.4747101974296616,0.529961134136885,0.41345865413458655,0.46795320467953205,0.9478254014762885,0.9426498522305581,0.6538485200471307,False,0.6695940575433982,False
"complex|Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN variant) (human)",complex,4,-0.0022952722667792433,0.006369238918275751,0.016367194247816356,0.016935984517338104,-0.18645839086582883,-0.1044416289984569,0.5739573470560398,0.5415905559303363,0.5212478752124787,0.4871512848715128,0.7666227102617079,0.7552256135607669,0.7119720510836284,False,0.6847096980442801,False
complex|DNA polymerase alpha-primase complex (mouse),complex,4,0.0164222795871171,0.05175720624153705,0.01749606380762196,0.017817304788726437,-0.012228915284230712,0.383468710370159,0.5048785097561205,0.3506861329561033,0.4520547945205479,0.30716928307169283,0.7425976117784266,0.7537619793387794,0.6695413454605956,False,0.562229610372296,False
complex|DNMT3B complex (human),complex,6,0.0013542985788659164,0.01464890646436139,0.008925173691160394,0.00916571835661349,-0.15399338074779678,0.11061180072774712,0.5611925226350528,0.45596209464331944,0.5029497050294971,0.40415958404159585,0.8514737393341679,0.8506257162286213,0.7009092872438644,False,0.6327605470551375,False
complex|CCT complex (chaperonin containing TCP1 complex) (mouse),complex,8,0.04078884654813316,0.04774440067750563,0.014608711737731105,0.014931817587423067,0.5137128661703326,0.6408487223074089,0.3037263776096053,0.2608104870462059,0.25037496250374963,0.21947805219478053,1.1532015077896645,1.1365640247482804,0.5320164982533693,False,0.4876055916675539,False
complex|SMRT complex (human),complex,5,0.12160627117359919,0.11752446420492166,0.018454307954779148,0.018551870405639045,1.2506088699986113,1.191787627112024,0.10553860643471957,0.11667226423505134,0.11178882111788821,0.12058794120587941,0.9344289955361537,0.9342280105808065,0.3650369384426543,False,0.3626028938715951,False
complex|AP3 adapter complex (human),complex,5,0.08454692556634305,0.07576261417992405,0.01935207007446613,0.019538703818625144,0.7863417836340085,0.6713598830448219,0.21583363983209175,0.2509956473991528,0.19138086191380863,0.21747825217478253,0.9728163025747122,0.9716349863538568,0.4760300996927334,False,0.48507991840409864,False
complex|Interferon-stimulated gene factor 3 transcription complex ISGF3 (human),complex,3,0.4954811615850028,0.5513835816492652,0.04961869545374191,0.05179749755282395,2.704418307121164,2.992860215014691,0.0034212046048909973,0.0013818815161107624,0.0096990300969903,0.005099490050994901,0.5371822198094763,0.5637041875728697,0.12449924598183455,False,0.07666699083516307,False
complex|Mi2/NuRD complex (human),complex,7,-0.06950777518527629,-0.06899057802632107,0.014988126201222446,0.015260202176200183,-1.419394117255043,-1.40162301284023,0.922107926733946,0.9194860743825846,0.9739026097390261,0.9708029197080292,1.089523789433395,1.082342163528652,0.984166654664492,False,0.9828931774719207,False
complex|AP4 adaptor complex (human),complex,3,0.2654515410952727,0.2577685831343448,0.009118139393086665,0.006931161369496564,2.5055992550076893,2.4212219772536376,0.00611220414146958,0.0077342142094047744,0.013498650134986502,0.0150984901509849,0.437469665529733,0.44139757390837403,0.14560495169995194,False,0.14991134815089918,False
"complex|Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1) (human)",complex,3,-0.021755816764259084,-0.01979528454541583,0.004523735897796717,0.005961312015076695,-0.25638142717685275,-0.24849836199545802,0.6011718361641806,0.5981255813601747,0.5823417658234177,0.5797420257974203,0.360827916425865,0.36274010373268956,0.7523485438389651,False,0.7408181320159676,False
complex|NUMAC complex (nucleosomal methylation activator complex) (human),complex,10,0.024308614715959583,0.023149242280807197,0.026648144904085177,0.02741102739737888,-0.044064604294225075,-0.07951369465406719,0.5175735464768327,0.5316879803286427,0.43495650434956507,0.45155484451554845,1.2100622259758653,1.2018285151710324,0.6653167435869654,False,0.6590178748082638,False
complex|Nup 107-160 subcomplex (human),complex,9,0.14533747875875358,0.15354403697454813,0.01920132328605841,0.01923036768871581,2.8648215361376157,3.0293854594401926,0.0020862215901656083,0.0012252590292623007,0.013998600139986002,0.011198880111988802,1.0190892253388524,0.9956425207300112,0.14843926235395785,False,0.12670897858667743,False
complex|Anaphase-promoting complex (human),complex,7,0.12572782032469662,0.11916308709977932,0.011112040443023982,0.010975006017655284,2.373247319346731,2.2092821447777977,0.008816226462238539,0.013577511164533084,0.025997400259974,0.0326967303269673,1.0023909929001162,1.0034586528962357,0.21213492033696257,False,0.22783912084981978,False
complex|Anaphase-promoting complex (mouse),complex,7,0.12090076800925259,0.10926840450102022,0.01098716084874274,0.010183979127520833,2.336943967275507,2.085656138711598,0.009721048893327632,0.018504891101280358,0.028097190280971903,0.0392960703929607,0.98589907580823,0.9877917611770812,0.22260229493064929,False,0.24093540366633726,False
complex|p300-MDM2-p53 protein complex (human),complex,3,0.10907853578811795,0.11535281993419726,0.00507927007681127,0.003942112804486521,1.109259607763774,1.1789467139426382,0.13365910234737982,0.11920969738776377,0.13638636136386362,0.12258774122587741,0.3525952058560748,0.36413249365478556,0.4023764290237643,False,0.3641137915978362,False
complex|hNURF complex (human),complex,3,0.22601227392278478,0.2519554479297537,0.016754624864254487,0.016684625904026827,1.7284857380116656,1.9208162439148115,0.041950587898210275,0.027377438924695515,0.05299470052994701,0.0397960203979602,0.6487555571854141,0.6438640217894965,0.2830252254579895,False,0.24264517992645177,False
complex|RNA polymerase II holoenzyme complex (human),complex,24,0.04105967447108454,0.04369365120074458,0.015924142455508484,0.01606248477741957,1.2280202790820567,1.355759977954622,0.10971967772954899,0.08758777453232686,0.11158884111588842,0.09549045095490451,1.259220252049344,1.2421867925744516,0.3650369384426543,False,0.3295621695692066,False
complex|RNA polymerase II core complex (human),complex,12,0.047636108790604384,0.04610397738609238,0.014680517449636808,0.014936914186199465,0.9562595318254333,0.9000461136768625,0.16947056491505658,0.1840478554321488,0.15328467153284672,0.16368363163683633,1.2545998200277766,1.2428411601219125,0.4253601188553711,False,0.4339197722739804,False
