対照数,p 値の作り方,経験 p の下限,合格セット数,合格率,発現量マッチ z の中央値,帰無分布の歪度の中央値
20,正規近似,0.04762,24,0.0797,0.429,0.543
20,経験分布,0.04762,0,0.0,0.429,0.543
100,正規近似,0.0099,22,0.0731,0.383,0.835
100,経験分布,0.0099,0,0.0,0.383,0.835
500,正規近似,0.002,22,0.0731,0.383,0.938
500,経験分布,0.002,13,0.0432,0.383,0.938
2000,正規近似,0.0005,24,0.0797,0.389,0.973
2000,経験分布,0.0005,13,0.0432,0.389,0.973
10000,正規近似,0.0001,24,0.0797,0.387,0.986
10000,経験分布,0.0001,13,0.0432,0.387,0.986
50000,正規近似,2e-05,24,0.0797,0.382,0.983
50000,経験分布,2e-05,13,0.0432,0.382,0.983
