set,family,n_genes,ic,expr_z_20,expr_pn_20,expr_pe_20,expr_skew_20,expr_z_100,expr_pn_100,expr_pe_100,expr_skew_100,expr_z_500,expr_pn_500,expr_pe_500,expr_skew_500,expr_z_2000,expr_pn_2000,expr_pe_2000,expr_skew_2000,expr_z_10000,expr_pn_10000,expr_pe_10000,expr_skew_10000,expr_z_50000,expr_pn_50000,expr_pe_50000,expr_skew_50000,var_z_20,var_pn_20,var_pe_20,var_skew_20,var_z_100,var_pn_100,var_pe_100,var_skew_100,var_z_500,var_pn_500,var_pe_500,var_skew_500,var_z_2000,var_pn_2000,var_pe_2000,var_skew_2000,var_z_10000,var_pn_10000,var_pe_10000,var_skew_10000,var_z_50000,var_pn_50000,var_pe_50000,var_skew_50000,expr_qpn_20,var_qpn_20,pass_pn_20,expr_qpe_20,var_qpe_20,pass_pe_20,expr_qpn_100,var_qpn_100,pass_pn_100,expr_qpe_100,var_qpe_100,pass_pe_100,expr_qpn_500,var_qpn_500,pass_pn_500,expr_qpe_500,var_qpe_500,pass_pe_500,expr_qpn_2000,var_qpn_2000,pass_pn_2000,expr_qpe_2000,var_qpe_2000,pass_pe_2000,expr_qpn_10000,var_qpn_10000,pass_pn_10000,expr_qpe_10000,var_qpe_10000,pass_pe_10000,expr_qpn_50000,var_qpn_50000,pass_pn_50000,expr_qpe_50000,var_qpe_50000,pass_pe_50000
"complex|Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1) (human)",complex,3,-0.021755816764259084,-0.025625492271085192,0.5102219735739595,0.6190476190476191,-0.53636450268669,-0.2441272482004878,0.5964338650704923,0.6039603960396039,0.21531259891767676,-0.31870292340311657,0.6250241011927022,0.6167664670658682,0.2886233364101724,-0.2836285706582786,0.6116524801724157,0.5882058970514743,0.42898897160690724,-0.26826742038975415,0.6057532589399719,0.5877412258774123,0.41499287809810587,-0.2566171549001301,0.601262834657144,0.5838083238335233,0.40781433594064326,-0.15185327730312292,0.5603486699347786,0.47619047619047616,0.3887653567154587,-0.33606433248808254,0.6315888228463686,0.594059405940594,0.33248582020305656,-0.3774212239683788,0.6470697016454318,0.6207584830339321,0.6082870154581466,-0.3750633066205508,0.6461933072826076,0.6146926536731634,0.5882826957170283,-0.394878681223663,0.6535337879723901,0.6300369963003699,0.4745124909911338,-0.4087397892534776,0.6586346847249083,0.6355872882542349,0.4629798885604415,0.7835551737028663,0.7666588620471289,False,0.7962962962962964,0.6697819314641744,False,0.805088909068784,0.8265575464206825,False,0.7703054203725457,0.7707408671901672,False,0.8144253439783695,0.8271104869129714,False,0.7858544514346834,0.7785345974717232,False,0.8070879745281859,0.8235051941277354,False,0.768909536647985,0.7806856065638066,False,0.8134809355076817,0.8291440912976076,False,0.7630624868547627,0.7806790749496478,False,0.8092559415847503,0.8329791600932663,False,0.763551282165846,0.7808643827123458,False
complex|NUMAC complex (nucleosomal methylation activator complex) (human),complex,10,0.024308614715959603,0.20211809386747104,0.4199122014575416,0.38095238095238093,1.6892395933010547,0.029735797616451815,0.4881388810835597,0.38613861386138615,1.0042632832760725,0.00787897509874874,0.4968567762278838,0.41916167664670656,1.1867470200807162,0.015684048082716257,0.49374322660962516,0.41679160419790107,1.0509349067399243,-0.033353067575668714,0.5133034822655667,0.42505749425057493,1.1909703826417262,-0.026881263991243264,0.5107227813566819,0.42289154216915664,1.1988453462885778,0.021541385467636003,0.4914068951419265,0.38095238095238093,0.7625231213964354,0.015048838749938419,0.49399660854811805,0.38613861386138615,0.8863114451150915,0.06896882233862707,0.47250721827746567,0.3812375249500998,1.273767713371758,0.10029573484160552,0.46005477176176757,0.3758120939530235,1.077343522257582,0.09999916535875565,0.460172494035953,0.38306169383061695,1.0736574751496384,0.10702958535125587,0.4573827544213257,0.38065238695226095,1.1201121271883445,0.7454144740624993,0.7171755932623693,False,0.647834274952919,0.6035087719298246,False,0.7681692592938163,0.7080618055856358,False,0.6493168869959621,0.5899884404684124,False,0.7708963383741909,0.7122960542625091,False,0.6774960716864145,0.5915077062370105,False,0.7692072497282472,0.7016597614753792,False,0.6717382049715883,0.5922483784285867,False,0.7824617109511466,0.6924217532752452,False,0.6756147301936474,0.5899624323281958,False,0.7788099262190702,0.6920949421271807,False,0.6776166581931519,0.5933574185659144,False
complex|Anaphase-promoting complex (mouse),complex,7,0.12090076800925259,1.818165619275451,0.034519411539465736,0.09523809523809523,1.0223780204336528,1.806253358877032,0.035439386809919204,0.06930693069306931,1.1621793391101787,2.137649462158244,0.016272602050576426,0.043912175648702596,1.0823167008184058,2.3431251547804104,0.009561483567690664,0.026486756621689155,1.0377642692764664,2.3310276548517326,0.009875950745178413,0.027097290270972903,0.9795361974008124,2.343246375855777,0.009558377313214657,0.026939461210775784,0.98793754606184,2.2632142344238813,0.011811243087300105,0.047619047619047616,0.698989379382587,2.0514764845753453,0.020110283685171787,0.0297029702970297,0.6462380637552114,1.8546265861747055,0.03182478444137485,0.04790419161676647,0.7576694761230851,1.8471943171387615,0.032359491359208625,0.05147426286856572,0.8576365742295012,1.857039422377726,0.03165277279739791,0.0491950804919508,0.9019373590586374,1.8447209120014862,0.03253907362378474,0.050838983220335594,0.9019695792489472,0.19981428602652282,0.0697094935152418,False,0.44791666666666663,0.27044025157232704,False,0.18714483210150318,0.11421123375918317,False,0.3419899366985879,0.19022540551927533,False,0.13994437763495726,0.165159657187135,False,0.3174029299890785,0.2529677487131001,False,0.09283892109273839,0.17088082279161046,False,0.25717786268156245,0.27182023023575935,False,0.09291823855354239,0.16148279003418253,False,0.2631059474697692,0.25978454786100336,False,0.09280876036379393,0.16600442645354588,False,0.2533993070138597,0.2684655078828248,False
complex|Rnase/Mrp complex (human),complex,8,0.06389401719709868,0.8562538225701202,0.19592869870834329,0.23809523809523808,1.0463098438160479,1.2148352815207033,0.11221446073413588,0.13861386138613863,1.0301908783176734,1.1482112427124165,0.12544068458338575,0.13373253493013973,1.1973991412698026,1.1093604621325694,0.13363735580718727,0.12893553223388307,1.1611901577638608,1.1362509525344333,0.12792577576889358,0.12688731126887312,1.0632963582224935,1.1109593787807805,0.13329291730850767,0.13149737005259896,1.0480296136590752,0.8625152278227162,0.19420202853277924,0.19047619047619047,0.8351114935448882,0.8942380564283554,0.18559726721883113,0.18811881188118812,0.7260251654879271,0.7844126879043817,0.2163989979370055,0.19560878243512975,1.0452710801487666,0.794597704438211,0.21342377704900406,0.19990004997501248,0.8299801486720124,0.7908688365629399,0.21451026768408804,0.1907809219078092,1.005812544150474,0.7767114550356999,0.2186645135039028,0.19183616327673447,1.052882710755886,0.519422327556045,0.4845156477948873,False,0.5643044619422573,0.46612466124661245,False,0.37851976326252407,0.45799327421052216,False,0.4391870766023971,0.4423731435643564,False,0.4005917833935219,0.48554293704427726,False,0.4193072188955423,0.4322290670457646,False,0.41900879268711844,0.4758559769759276,False,0.4032004616248577,0.43710391181220987,False,0.4106606735694059,0.4818476908426157,False,0.40491311693572907,0.42626255892929227,False,0.41174931866641923,0.48754087825685,False,0.4038847794472682,0.42772359367627466,False
complex|Condensin II (human),complex,5,0.062039322011884265,1.0699904261800457,0.1423118090502749,0.19047619047619047,0.2440410243147266,0.9586315016219258,0.1688722085436798,0.1782178217821782,0.6284864332088708,1.066962238106646,0.14299444411792195,0.15169660678642716,0.5940560056348813,1.019704073397093,0.15393441461656576,0.14842578710644677,0.8729875223658866,1.0683333795762455,0.1426850783111826,0.13538646135386462,0.8286839778777653,1.0741618953171508,0.14137506368344338,0.1381972360552789,0.7702031140434017,1.068781042352643,0.1425841718027428,0.14285714285714285,0.9080218398829294,1.065504175293617,0.14332391858026255,0.10891089108910891,0.8130737901730638,0.875232255283981,0.19072377306219435,0.18762475049900199,0.8180490981174164,0.8487129483559883,0.19802051970498857,0.18290854572713644,0.7570833142625388,0.8276488967876164,0.20393468404002985,0.19008099190080993,0.7148754504852752,0.8323303230225383,0.2026112596384535,0.1892762144757105,0.6777302525415693,0.4279271283256199,0.4126714972367845,False,0.5259938837920489,0.4056603773584906,False,0.47953334690233607,0.39944906937647245,False,0.47896039603960394,0.3576237623762376,False,0.43476088565145965,0.4514619822633709,False,0.44330755963800555,0.42784128712272423,False,0.4587550376196663,0.4549937132152791,False,0.442338236822183,0.4139509192772035,False,0.42948208571665963,0.4685827472980838,False,0.4075132486751325,0.42626255892929227,False,0.42553894168716455,0.4655419019173626,False,0.41597368052638944,0.42772359367627466,False
"complex|Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7) (human)",complex,5,-0.00600829626262298,-0.47911006343804885,0.6840698345413302,0.8095238095238095,1.587265399793354,-0.3155227675635,0.6238176163883881,0.5742574257425742,1.0445357299091642,-0.3073801661118287,0.6207229884606256,0.5608782435129741,0.7851976509767012,-0.296855911263902,0.6167117413338298,0.5572213893053474,0.8445846337146549,-0.3239937342011008,0.6270286110100289,0.5629437056294371,0.890675737459922,-0.3271624983073233,0.628227508262343,0.5682086358272834,0.9141604432728452,-0.09362447116969021,0.5372962650940727,0.5238095238095238,0.2919859568862532,-0.3881075039637246,0.6510317604956485,0.6138613861386139,1.0496349346844043,-0.3764686148518642,0.6467157280374317,0.6087824351297405,0.8384665303011342,-0.35828811818683687,0.6399361454884068,0.5997001499250375,0.8221305445914163,-0.36809471376252023,0.6435986937929769,0.5987401259874012,0.7727770422139887,-0.37054495334418386,0.6445117557764883,0.5981880362392752,0.8086492220543816,0.8514817271372884,0.7592778206258962,False,0.8925518925518926,0.7134238310708899,False,0.8147339727908509,0.8325854529050102,False,0.7450495049504949,0.7763541059988353,False,0.8123374762028187,0.8271104869129714,False,0.7496688039849504,0.7775038158976166,False,0.8070879745281859,0.8235051941277354,False,0.7467755011383198,0.7714091672112662,False,0.8135155685949081,0.8291440912976076,False,0.7497613070551352,0.7701742646248195,False,0.8118271217755209,0.8290514465330042,False,0.7546860516534162,0.7694640978975292,False
"complex|Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1) (human)",complex,5,-0.027907886049506957,-0.5027368876727515,0.6924253643346701,0.6190476190476191,0.48339835146071974,-0.7995876915867967,0.7880251394545645,0.7623762376237624,0.5879434339617001,-0.6379729351976174,0.7382543508828207,0.7045908183632734,0.8408614750757849,-0.6102362862398419,0.7291473520478067,0.6831584207896052,0.9651565317160846,-0.6171200776505199,0.7314222367203367,0.6919308069193081,1.0024703664052517,-0.6241577610487304,0.7337380082754794,0.6976460470790584,0.9657657547084332,-0.32444962957075196,0.6272011744505868,0.6190476190476191,0.29868941490689976,-0.4573016142813849,0.676272865209331,0.6435643564356436,0.6889841714639923,-0.41629366149091257,0.6614024349038224,0.624750499001996,0.7830358567846993,-0.4310318796187176,0.666777404737781,0.624687656171914,0.9373219231745732,-0.43891460152713824,0.6696382918952923,0.625037496250375,0.9144228271478194,-0.43008183851576426,0.6664319446619958,0.624927501449971,0.9729958731736811,0.8514817271372884,0.8137394547828732,False,0.7962962962962964,0.7862165963431786,False,0.8806109131265043,0.8325854529050102,False,0.8758597233769179,0.797172309823575,False,0.865186054210691,0.8309600036342915,False,0.8382681277760684,0.780290042321995,False,0.8634996919835333,0.8324463294227351,False,0.8225227386306847,0.7825818495710822,False,0.8636371408194906,0.8319319726394951,False,0.8232062169277145,0.7806790749496478,False,0.8656094339404021,0.8345591379640651,False,0.8267380321684905,0.7808643827123458,False
complex|NAT complex (human),complex,5,0.04323391888820338,0.5652311154975196,0.2859582876276353,0.3333333333333333,0.263282856789785,0.34455794331539435,0.3652133639983626,0.297029702970297,0.9461453307394747,0.28309573095561524,0.38855172700113183,0.3273453093812375,0.9597786926093571,0.3067882295367737,0.3795022839972929,0.32233883058470764,1.0007676361743256,0.32915339558162604,0.371019873426749,0.31856814318568144,0.9266775792852224,0.3224314163559101,0.37356294359008646,0.3226535469290614,0.9161868153964255,0.24023447804747738,0.40507424327324193,0.38095238095238093,0.3740370946867621,0.23883277874528247,0.4056176259281419,0.38613861386138615,0.4266853332440945,0.2252998974499769,0.4108729897211198,0.3413173652694611,1.0234993389066647,0.18257728080101643,0.42756485598792493,0.3713143428285857,0.9688457761142336,0.20955989554163051,0.41700559163902245,0.36106389361063895,0.9458101505202191,0.21801311476120563,0.41370944654552866,0.3572328553428931,0.8902722252559017,0.619977403899186,0.6574314302850267,False,0.6270833333333332,0.6035087719298246,False,0.7046745036122253,0.66353752937158,False,0.6040941932031041,0.5899884404684124,False,0.713134572117931,0.6756970320110981,False,0.608215667430571,0.564486411791801,False,0.7095042700818955,0.6845586258104543,False,0.6203909879379836,0.5882400904810753,False,0.703394450529872,0.6821667558877487,False,0.6146731480698084,0.57808634030214,False,0.707185195098214,0.6767746924467616,False,0.6162337622812762,0.57501117357332,False
complex|Dysbindin-pallidin-muted-beta-dystrobrevin complex (mouse),complex,3,0.1643973258578577,1.784774461512438,0.03714895368362428,0.09523809523809523,0.2052787012933328,1.263739997240033,0.10316168200420739,0.10891089108910891,0.7265874289967219,1.2594609913466608,0.10393193575593251,0.10578842315369262,0.45914297776803953,1.2205687054417136,0.11112468061447806,0.11594202898550725,0.5377753997464068,1.2558149859134558,0.10459152849277292,0.10728927107289271,0.5204203974117707,1.2529374749993938,0.10511423113170404,0.10859782804343913,0.5451616697481454,1.9576683116610512,0.025134472943026412,0.09523809523809523,1.0284541754600236,1.570237912407228,0.05817988623408221,0.09900990099009901,0.23328239464731815,1.4676620765032447,0.0710980184264334,0.08183632734530938,0.4525543987831643,1.4320742836600526,0.07606128164613728,0.0864567716141929,0.43603264751346904,1.4000929502293658,0.08074274293700356,0.0862913708629137,0.5077404515620332,1.385350382184855,0.0829726775219819,0.08639827203455931,0.4704918642216532,0.20707101960686866,0.12646765164153087,False,0.44791666666666663,0.3412698412698413,False,0.36106588701472586,0.23989240762272254,False,0.39026402640264024,0.3576237623762376,False,0.37458454333571495,0.26750629432945566,False,0.3798150824787207,0.32411492803865954,False,0.37582616702199884,0.2861805721935915,False,0.4011327669498584,0.3271739130434782,False,0.36186264455545575,0.3037945703004759,False,0.383825146897075,0.32467128287171276,False,0.35953844966639675,0.30090091486887416,False,0.38456407342441384,0.32507349853002937,False
complex|SMCC complex (human),complex,14,0.04271082847729924,0.5521543354058582,0.29042130880327316,0.3333333333333333,0.6931202004378328,1.1349034859997407,0.1282078795850552,0.12871287128712872,0.9399161704172365,1.1370270334283632,0.12776349237800033,0.1277445109780439,0.9277403111868093,1.067221533180207,0.14293590556190505,0.13393303348325838,1.1769586905055203,1.1069439501794376,0.13415908115928066,0.12708729127087293,1.1755215962256815,1.0987112358309694,0.13594702005100145,0.13039739205215894,1.1786250977376056,0.5334818805829599,0.2968500252862323,0.3333333333333333,0.3189759288725851,0.742909692438496,0.22876817859927306,0.22772277227722773,0.6774629103105511,0.6147214728742687,0.2693693382715525,0.19560878243512975,1.245243065573873,0.5875671687005616,0.27841142667659347,0.2413793103448276,1.0164022213357067,0.6174100693416193,0.2684821410184972,0.23177682231776822,0.9992202743228666,0.6397109225807501,0.2611802765449891,0.22365552688946222,1.051440588702942,0.619977403899186,0.5691201121729677,False,0.6270833333333332,0.5733333333333333,False,0.40198512244897516,0.4918515839884371,False,0.4211149375807146,0.4827081299679264,False,0.4005917833935219,0.5571340407929353,False,0.4154457043360088,0.4322290670457646,False,0.4383517936730548,0.5662286447949637,False,0.40721053614606845,0.4956951054674005,False,0.4106606735694059,0.5573318927349494,False,0.40491311693572907,0.48113671391481544,False,0.4133338690439539,0.542174229241667,False,0.4038847794472682,0.4653989678827113,False
