対象,主張の向き,検定数,BH 通過,BY 通過,BH 通過率,BY 通過率,差（ポイント）,BY の閾値の厳しさ（倍）
主コホート 条件効果,多い,2195,1992,1882,0.9075170842824601,0.8574031890660593,5.011389521640091,8.271380763547446
主コホート 共変動（発現量そろえ対照）,少ない,2195,106,55,0.04829157175398633,0.025056947608200455,2.3234624145785876,8.271380763547446
主コホート 共変動（分散そろえ対照）,少ない,2195,247,111,0.11252847380410023,0.05056947608200456,6.195899772209567,8.271380763547446
GSE81046 条件効果,多い,2514,2219,2092,0.8826571201272871,0.8321400159108989,5.0517104216388224,8.407044927103552
GSE81046 共変動（発現量そろえ対照）,少ない,2514,724,359,0.28798727128082735,0.1428003182179793,14.518695306284805,8.407044927103552
GSE81046 共変動（分散そろえ対照）,少ない,2514,752,370,0.29912490055688146,0.147175815433572,15.194908512330947,8.407044927103552
反復測定 ICC,少ない,2093,17,0,0.008122312470138558,0.0,0.8122312470138557,8.223808259867717
反復測定 内部整合性,少ない,2093,554,356,0.2646918299092212,0.17009077878643097,9.460105112279026,8.223808259867717
反復測定 再測定順位相関,少ない,2093,0,0,0.0,0.0,0.0,8.223808259867717
表現型相関（接種直前）,少ない,2093,14,0,0.006688963210702341,0.0,0.6688963210702341,8.223808259867717
表現型相関（接種 7 日前）,少ない,2093,0,0,0.0,0.0,0.0,8.223808259867717
