set,family,n_genes,pc1_frac,method_agreement_min,internal_consistency
complex|Multisubunit ACTR coactivator complex (human),complex,4,0.3613699456287492,0.6865451332813051,0.1458709903201249
complex|BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),complex,3,0.41872665738057646,0.7017120885275634,0.0959878848228363
complex|NCOR complex (human),complex,6,0.2780768729295184,0.4306257350318536,0.1178157684911589
complex|BLOC-1 (biogenesis of lysosome-related organelles complex 1) (human),complex,7,0.2575348360872119,-0.0646641458992904,-0.013552263130144
complex|9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),complex,3,0.4457514293971739,0.0095322493905882,-0.0856910665901802
complex|Arp2/3 protein complex (human),complex,5,0.4448513561217994,0.2944905455061943,-0.0459948750419413
complex|PA700 complex (human),complex,18,0.2647567499772235,0.5539147690742167,0.0428870236278425
complex|AP1 adaptor complex (human),complex,5,0.36173082490012065,-0.2712063450510087,-0.012159328289552
complex|immunoproteasome (mouse),complex,12,0.3546071634958035,0.5463102395481524,0.1981699647381369
complex|Mi-2/NuRD-MTA2 complex (human),complex,5,0.26424046526486583,0.2791483017236904,0.017718581896505
"complex|Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN variant) (human)",complex,4,0.4308681811338958,-0.1151013290003989,-0.0022952722667792
complex|DNA polymerase alpha-primase complex (mouse),complex,4,0.33062629907577057,0.1234632625596766,0.0164222795871171
complex|DNMT3B complex (human),complex,6,0.405249964729081,0.3301714993884685,0.0013542985788659
complex|CCT complex (chaperonin containing TCP1 complex) (mouse),complex,8,0.4240802035249145,-0.3526384736576162,0.0407888465481331
complex|SMRT complex (human),complex,5,0.347397042063426,0.4910385015306814,0.1216062711735991
complex|AP3 adapter complex (human),complex,5,0.28806177036828273,0.3093967202364433,0.084546925566343
complex|Interferon-stimulated gene factor 3 transcription complex ISGF3 (human),complex,3,0.6637056356304988,0.8319744021011741,0.4954811615850028
complex|Mi2/NuRD complex (human),complex,7,0.35451914944741497,0.1412218181424597,-0.0695077751852762
complex|AP4 adaptor complex (human),complex,3,0.5122755159567431,0.65499837308112,0.2654515410952727
"complex|Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1) (human)",complex,3,0.37334360882181383,-0.6841881135613225,-0.021755816764259
complex|NUMAC complex (nucleosomal methylation activator complex) (human),complex,10,0.21310151672460198,0.1721043298025684,0.0243086147159595
complex|Nup 107-160 subcomplex (human),complex,9,0.29258244072525813,0.7331322395700255,0.1453374787587535
complex|Anaphase-promoting complex (human),complex,7,0.2665976297167882,0.3191558160426881,0.1257278203246966
complex|Anaphase-promoting complex (mouse),complex,7,0.2636373765448972,0.5846873305756842,0.1209007680092525
complex|p300-MDM2-p53 protein complex (human),complex,3,0.41751073371270375,0.5579750954329997,0.1090785357881179
complex|hNURF complex (human),complex,3,0.4948748908226788,0.7363692111880872,0.2260122739227847
complex|RNA polymerase II holoenzyme complex (human),complex,24,0.25933060506168043,0.2416320312584559,0.0410596744710845
complex|RNA polymerase II core complex (human),complex,12,0.31836191926947077,0.1878126162707843,0.0476361087906043
complex|Prefoldin complex (human),complex,5,0.3082576273668593,0.032609691990327,-0.0313411208883982
complex|SNAPc (small nuclear RNA-activating protein) complex (human),complex,5,0.38374717355545146,-0.04651634748958,-0.0471569200463248
"complex|Polycomb repressive complex 1 (PRC1, hPRC-H) (human)",complex,9,0.3046117389674981,-0.1705342924830447,-0.0233119673152387
complex|GPR56-CD81-Galphaq/11-Gbeta complex (human),complex,7,0.28297917331203465,-0.5596054254713431,-0.0303052090726214
complex|GPI-GnT activity complex (human),complex,4,0.382787998312495,-0.1536282766797704,-0.1534450054659003
complex|Lymphotoxin beta receptor complex (human),complex,3,0.447573325196506,0.6236356342767726,0.1191309218430366
complex|Rnase/Mrp complex (human),complex,8,0.35195749436125773,0.3095352854383169,0.0638940171970986
