set,family,n_genes_annotated,n_genes_present,coverage,mean_expression,internal_consistency,internal_consistency_perturbed,cronbach_alpha,alpha_null_expected,split_half,split_half_sb,split_half_null,null_mean,null_sd,null_z,null_p_empirical,null_p,var_null_mean,var_null_sd,var_null_z,var_null_p_empirical,var_null_p,delta_mean,delta_p,cohens_d,n_genes_tested,frac_same_direction,direction_p,cross_perturbation_rho,cross_perturbation_p,cross_perturbation_tertile_swap,method_agreement_mean,method_agreement_min,delta_q,direction_q,null_q,var_null_q
complex|Multisubunit ACTR coactivator complex (human),complex,4,4,1.0,10.014566,0.14587099032012496,0.10804974809651098,0.4058699893968769,0.11498725460228723,0.2606456825572312,0.4135114031858802,0.06360152376368156,0.03145993206408994,0.11392182331757075,1.0042944795318143,0.19047619047619047,0.15761834687998982,-0.00895474126267709,0.08571247275641551,1.806338407979409,0.047619047619047616,0.03543274796611168,1.175179323835672,9.412357811262907e-27,1.7893119713403467,4,1.0,0.0625,0.20086687506042344,0.012206189918916302,0.1897810218978102,0.8411707331985494,0.6865451332813051,5.986029998260496e-26,0.23820036540803896,0.46726488206172506,0.15036651154001437
complex|BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),complex,3,3,1.0,9.257248166666665,0.09598788482283631,-0.00026565119687756617,0.2415851578544328,-0.024888723719308448,,,,-0.008160832765096177,0.11255170313860927,0.9253411070969901,0.2857142857142857,0.1773942512577284,0.009449987011721919,0.11343420888731053,0.7628906540626041,0.2857142857142857,0.22276430520030382,0.3427249371974638,3.99965258704228e-09,0.5029462943282527,3,0.6666666666666666,0.5,0.22156230865908286,0.00559494624325246,0.1773049645390071,0.7938291788759074,0.7017120885275634,5.842629759502938e-09,0.5379986244841822,0.4933925441648286,0.5058269310390063
complex|NCOR complex (human),complex,6,6,1.0,8.922829,0.11781576849115899,0.13785974030269765,0.4448455243759362,0.05041225418364798,0.3030650206905374,0.4651571730932248,0.046852406804884485,0.008770492616524708,0.05403129926852217,2.0181871868878494,0.047619047619047616,0.021785885041391655,0.010761063487424819,0.07576556100404556,1.4129731712541256,0.19047619047619047,0.07883180634379894,0.09072633440601112,0.07744611630809377,0.13545473679047607,6,0.5,0.65625,0.16254390770519803,0.04330736333854606,0.2014388489208633,0.6375686221026039,0.43062573503185364,0.08467117328023249,0.6761298156075074,0.13911843733574386,0.2639735881614161
complex|BLOC-1 (biogenesis of lysosome-related organelles complex 1) (human),complex,8,7,0.875,9.092803857142856,-0.013552263130144085,0.03524271423166855,-0.10326248404228888,0.0006169550152623534,-0.024664623111514395,-0.05057670150384468,-0.021308201230529056,8.81830635946327e-05,0.04917111622615783,-0.2774076986782402,0.5238095238095238,0.6092664645864379,0.01874370558150635,0.042065072446818196,-0.7677621083972079,0.7619047619047619,0.7786857350952843,-0.1020679980661094,0.02094397503494692,-0.1914391719594399,7,0.5714285714285714,0.5,0.05266024298282363,0.5152017189955361,0.2158273381294964,0.33323409143899435,-0.06466414589929041,0.023556325623418015,0.5379986244841822,0.8299498335615865,0.8750416981010746
complex|9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),complex,4,3,0.75,10.876034333333331,-0.08569106659018022,-0.19232526456585153,-0.3102433703936729,0.2055147121351954,,,,0.07938086050950131,0.17905180798112733,-0.9219227047239908,0.8571428571428571,0.8217155524202211,0.057233839515392904,0.15061541131954648,-0.9489394534955182,0.9047619047619048,0.8286742965184879,-0.08558068785307775,0.030098752251531934,-0.15657697738584767,3,0.6666666666666666,0.5,0.13519706100351264,0.09348873580894203,0.18181818181818182,0.41979049470506596,0.00953224939058825,0.03363535564108694,0.5379986244841822,0.9022078630716214,0.9015722787921936
complex|Arp2/3 protein complex (human),complex,7,5,0.7142857142857143,11.5846342,-0.04599487504194135,0.06481775500964412,-0.2818242620828604,0.031582538218713825,-0.023943769636800352,-0.04906227508612009,0.019972120067573026,0.006480237523135378,0.07108824216016356,-0.7381686615185814,0.8095238095238095,0.7697940180281212,-0.020239687848383498,0.049807377641088516,-0.5170958282355174,0.6190476190476191,0.6974553671691237,0.9895397503886761,4.2395002993899565e-27,1.7940345768996049,5,1.0,0.03125,0.03992781412136251,0.621821644690226,0.24285714285714285,0.4874358522810906,0.2944905455061943,3.36685188751045e-26,0.17349956965042374,0.8866742841551509,0.8372886443814528
complex|PA700 complex (human),complex,20,18,0.9,9.926889999999998,0.04288702362784255,0.2305790369162134,0.44646094595429936,0.16409768024567947,0.31197103708530277,0.4755761038420222,0.07201588115186888,0.010788561355783818,0.02044648935792145,1.5698764570370136,0.09523809523809523,0.0582219278620652,0.014471053878504284,0.016289594166082083,1.7444246590566093,0.047619047619047616,0.04054253411806489,0.303561548634767,5.5166177194478804e-08,0.4942622212104186,18,0.7222222222222222,0.048126220703125,0.3745673681157552,1.5744074133543783e-06,0.16546762589928057,0.6847223078022434,0.5539147690742167,7.751008910710561e-08,0.21983495559135494,0.2587733128982983,0.16389869412845612
complex|AP1 adaptor complex (human),complex,8,5,0.625,9.502038200000001,-0.012159328289552018,-0.010226123952641775,-0.06390479917767672,0.13674913976124659,-0.00955240918618198,-0.019289075514501645,0.06422776542784167,0.030709417042785552,0.09603985017383915,-0.44636414212165065,0.7619047619047619,0.6723328848779412,0.05928647000248943,0.10616613922734143,-0.6729621969114772,0.7619047619047619,0.7495143293865816,0.19499540649025102,5.413597801427566e-05,0.33978771363396143,5,0.6,0.5,0.15853501337372305,0.04881009426320183,0.23357664233576642,0.2531170149289831,-0.27120634505100877,6.808339035637803e-05,0.5379986244841822,0.8518171724041022,0.8583965596539771
complex|immunoproteasome (mouse),complex,14,12,0.8571428571428571,11.395400916666667,0.19816996473813697,0.20073622123529394,0.747841851060235,0.16956966469781556,0.6091203572558048,0.7570848936304543,0.10057193149012225,0.016731536309944926,0.025856640341328105,7.017092167932929,0.047619047619047616,1.1326659268375534e-12,0.02262368731474895,0.03468472345305087,5.061198704986272,0.047619047619047616,2.083143619099654e-07,0.18380240470112016,0.0006100108657803796,0.2911096367392742,12,0.5,0.61279296875,0.031265508684863524,0.6993514816167357,0.2391304347826087,0.6747074358734554,0.5463102395481524,0.0007355391133051282,0.648656697976573,5.2897189329473204e-11,3.581404606682867e-06
complex|Mi-2/NuRD-MTA2 complex (human),complex,5,5,1.0,9.5502758,0.01771858189650506,0.03175596474798281,0.08272951101763043,0.02439665788391232,0.03698208676955855,0.07132637533743016,-0.006237615603595785,0.00497645874598176,0.05702762082072307,0.22343774765881488,0.5238095238095238,0.41159741422095336,0.026256730904525342,0.07317296200674721,-0.11668447981144989,0.5238095238095238,0.5464449552152719,0.22511422227304767,6.478321403956959e-07,0.41042990448219463,5,0.6,0.5,-0.025696883761399888,0.750950431521411,0.2835820895522388,0.5209172432616509,0.2791483017236904,8.707331474648335e-07,0.5379986244841822,0.7453057344313444,0.7750799024789601
