set,family,n_genes_annotated,n_genes_present,coverage,mean_expression,internal_consistency,internal_consistency_perturbed,cronbach_alpha,alpha_null_expected,split_half,split_half_sb,split_half_null,null_mean,null_sd,null_z,null_skew,n_control,null_p_empirical,null_p,var_null_mean,var_null_sd,var_null_z,var_null_skew,var_n_control,var_null_p_empirical,var_null_p,delta_mean,delta_p,cohens_d,n_genes_tested,frac_same_direction,direction_p,cross_perturbation_rho,cross_perturbation_p,cross_perturbation_tertile_swap,method_agreement_mean,method_agreement_min,delta_q,direction_q,null_q,var_null_q,null_q_normal,var_null_q_normal
complex|Multisubunit ACTR coactivator complex (human),complex,4,4,1.0,10.014566,0.14587099032012496,0.10804974809651098,0.4058699893968769,0.07766482129397743,0.2606456825572312,0.4135114031858802,-0.02678457920872762,0.020617124277978023,0.1107926292328495,1.1305252606552436,0.8964298338747643,10000,0.13008699130086993,0.12912748024990534,0.01219684434450687,0.10418793082876025,1.2830098929147598,0.9404236801633311,10000,0.10918908109189081,0.09974430508111976,1.175179323835672,9.412357811262907e-27,1.7893119713403467,4,1.0,0.0625,0.20086687506042344,0.012206189918916302,0.1897810218978102,0.8413657196955825,0.6870466135485511,5.737853711990519e-26,0.214125,0.3677211486772115,0.3284424189160031,0.36380818037514445,0.305656519863968
complex|BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),complex,3,3,1.0,9.257248166666665,0.09598788482283631,-0.00026565119687756617,0.2415851578544328,0.030355725892560765,,,,0.010327576008485707,0.13421353679910378,0.6382389649903228,0.582959539718774,10000,0.23827617238276172,0.26165906813653217,0.02387889364223791,0.144959219074836,0.4974432922639555,0.6607950336596681,10000,0.27607239276072393,0.30943824147531496,0.3427249371974638,3.99965258704228e-09,0.5029462943282527,3,0.6666666666666666,0.5,0.22156230865908286,0.00559494624325246,0.1773049645390071,0.7949109103820815,0.7027768222593166,5.826024559186587e-09,0.5383406662476431,0.5002047589358711,0.5168437254635192,0.5567974953017137,0.5915934237134091
complex|NCOR complex (human),complex,6,6,1.0,8.922829,0.11781576849115899,0.13785974030269765,0.4448455243759362,0.08172094534547258,0.28811386894212937,0.4473422356344078,0.08514012891410658,0.01461548349767113,0.0584012506887308,1.767090323861875,0.8482627779076964,10000,0.057194280571942806,0.038606551370824506,0.022496305412143317,0.06612201455200964,1.4415692523106685,0.9483567132599818,10000,0.0888911108889111,0.07471196387306635,0.09072633440601112,0.07744611630809377,0.13545473679047607,6,0.5,0.65625,0.16254390770519803,0.04330736333854606,0.2014388489208633,0.674140537675358,0.4315818312808994,0.0856457051231534,0.6788383152173914,0.262276897310269,0.30212395427123956,0.17312309554508476,0.25510950609753813
complex|BLOC-1 (biogenesis of lysosome-related organelles complex 1) (human),complex,8,6,0.75,9.390832949999998,0.0008879833172783809,0.02219210819549448,0.005304349036403755,0.08170339075246279,-0.016276012723960745,-0.03309060861477924,0.045949138468836644,0.014612114545789092,0.06678033454615685,-0.20551156746639151,1.1208369065387416,10000,0.5105489451054894,0.5814137692776685,0.009386352647985194,0.05997668064586093,-0.1416945592719009,1.0308008327271438,10000,0.4884511548845116,0.5563393636739331,-0.059967686641121926,0.24419161481679308,-0.1066560995885345,6,0.5,0.65625,0.10469530469530469,0.19481665716803734,0.22627737226277372,0.3997488076944538,-0.1702122909866845,0.25949146165084774,0.6788383152173914,0.7067801169008696,0.6903604194036042,0.7924778240838437,0.7786023937691564
complex|9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),complex,4,3,0.75,10.876034333333331,-0.08569106659018022,-0.19232526456585153,-0.3102433703936729,0.10420589088968285,,,,0.03732853227045927,0.16341086718379896,-0.7528238542561019,0.6043887521803509,10000,0.7593240675932407,0.7742221148561383,0.01994396793699245,0.15123785832928935,-0.6984695214155578,0.6670683596760759,10000,0.7368263173682632,0.7575581939198701,-0.08558068785307775,0.030098752251531934,-0.15657697738584767,3,0.6666666666666666,0.5,0.13519706100351264,0.09348873580894203,0.18181818181818182,0.4198767687805966,0.010400166954939375,0.03392050171504882,0.5383406662476431,0.8537169905056738,0.8482415871316095,0.8696672018023377,0.8683956718143027
complex|Arp2/3 protein complex (human),complex,7,5,0.7142857142857143,11.5846342,-0.04599487504194135,0.06481775500964412,-0.2818242620828604,0.13548721415479373,-0.04784828136877309,-0.10050558210945154,0.06428283878036296,0.03039157914461365,0.08796747077568856,-0.8683488738847066,0.9081542779335867,10000,0.8044195580441956,0.8073983128888065,0.004383751826476606,0.06862732117391639,-0.7340899514458343,0.9140146102663385,10000,0.7566243375662434,0.7685530413030044,0.9895397503886761,4.2395002993899565e-27,1.7940345768996049,5,1.0,0.03125,0.03992781412136251,0.621821644690226,0.24285714285714285,0.4884992866181541,0.29467780406128546,3.013387557201243e-26,0.1556140988372093,0.8872562904481256,0.8583427087754801,0.8855506264160803,0.8713114737804217
complex|PA700 complex (human),complex,20,18,0.9,9.926889999999998,0.04288702362784255,0.2305790369162134,0.44646094595429936,0.2848173424773187,0.34280832844966425,0.5105841558868685,0.21761804803841986,0.0216457718362065,0.0313771184753717,0.6769662997674111,1.214433734724621,10000,0.21227877212278773,0.24921366829922387,0.025555432505592363,0.026413480756641704,0.6561646032922843,0.9943457690799091,10000,0.22087791220877911,0.25585911053768695,0.303561548634767,5.5166177194478804e-08,0.4942622212104186,18,0.7222222222222222,0.048126220703125,0.3745673681157552,1.5744074133543783e-06,0.16546762589928057,0.6904826583976984,0.5636497086092661,7.77774992050553e-08,0.19961311395751363,0.4661968418542762,0.4569611879391771,0.5431336053391482,0.5261544494010297
complex|AP1 adaptor complex (human),complex,8,5,0.625,9.502038200000001,-0.012159328289552018,-0.010226123952641775,-0.06390479917767672,0.07166774710967751,-0.05493040222121921,-0.11624625815987188,0.0898496061199996,0.015205335111103897,0.08260674224725732,-0.33126428492662735,0.9843342196756156,10000,0.5757424257574243,0.62977756688725,0.03596369270275243,0.08843979813486269,-0.5441330940050451,0.9922611472776128,10000,0.6701329867013298,0.706825055738359,0.19499540649025102,5.413597801427566e-05,0.33978771363396143,5,0.6,0.5,0.15853501337372305,0.04881009426320183,0.23357664233576642,0.2540659473418823,-0.2693030218784063,6.854022937062395e-05,0.5383406662476431,0.7371052132454916,0.7992008732320922,0.8068847947854033,0.8414304175444774
complex|immunoproteasome (mouse),complex,14,11,0.7857142857142857,11.762757363636364,0.23118517545490946,0.2293439045031401,0.7678595294946216,0.34145635666285984,0.6312583918967186,0.7739526675019688,0.2034378785404236,0.04501472784883613,0.05492636615386616,3.3894550221026982,1.0702375163843052,10000,0.006999300069993001,0.00035015848259175756,0.023319458966880875,0.03647681254937141,5.698571282967285,0.9407581142085643,10000,9.999000099990002e-05,6.040780839663288e-09,0.18940906030166252,0.0007536224193137423,0.2905059467805978,11,0.5454545454545454,0.5,0.04178079984531598,0.6057275047197611,0.25925925925925924,0.5244281946950159,0.016540347804223518,0.0009123358334165658,0.5383406662476431,0.08751679576567892,0.0022837716228377163,0.004837270005481296,1.1497619531492458e-07
complex|Mi-2/NuRD-MTA2 complex (human),complex,5,4,0.8,10.064964,-0.0074732206960995695,0.030395871966459653,-0.030578441101071142,0.06695178503343475,0.0011030810161130331,0.0022037311382428534,0.011692773011128416,0.017622857588040688,0.10319026850979775,-0.24320198645240879,0.833398723898642,10000,0.5404459554044595,0.5960755359558427,0.03152745266494212,0.10134075020414654,-0.38484689803930333,0.8092764968907293,10000,0.6059394060593941,0.6498245747495108,0.5167785181901446,8.927710887800049e-19,0.9401885901280174,4,0.75,0.3125,0.0017111920337726791,0.9831405696352227,0.26277372262773724,0.3777803670550504,-0.12679620687660684,2.0336660572874312e-18,0.49201516544117646,0.7182187134273383,0.7631812642911533,0.7959253992310259,0.8222930131621969
