set,family,n_genes_present,ic_none,ic_monocyte_subset,ic_platelet,ic_lymphocyte,ic_global_pc1,ic_all,null_all_mean,null_all_z,null_all_p,retained_frac
complex|Multisubunit ACTR coactivator complex (human),complex,4,0.8559599156118143,0.8671454073352809,0.8612828627069135,0.845139565076274,0.15246267445634532,0.17912203829925355,0.025982229795520957,1.1706361403089165,0.1208725320068002,0.20926451698526388
complex|BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),complex,3,0.013631937682570575,0.0558828302499188,0.012057773450178555,0.02878935410580974,-0.1045196364816617,-0.07251703992210319,0.01797874066861411,-0.6615143776127486,0.7458587513547463,-5.319642857142863
complex|NCOR complex (human),complex,6,-0.05492210321324246,-0.04920480363518343,-0.053273287893541056,-0.05700259655955856,0.0047160012982798115,0.016092177864329718,0.014798117494320038,0.02199112502657697,0.4912275175150977,-0.29300002954820703
complex|BLOC-1 (biogenesis of lysosome-related organelles complex 1) (human),complex,5,0.20846640701071087,0.21835199610516068,0.19481012658227853,0.19407497565725418,0.12339581304771179,0.11435248296007794,0.03029138266796495,0.9484184668810214,0.17145823094961676,0.5485415352997501
complex|9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),complex,3,-0.2627150275884453,-0.26510061668289514,-0.2589175592340149,-0.25129827977929237,0.06846802986043492,0.07958455047062651,0.010941658552418045,0.5320603010952958,0.29734211583243786,-0.3029310930598886
complex|Arp2/3 protein complex (human),complex,5,-0.061555501460564765,-0.05493670886075948,-0.07314751703992213,-0.05636806231742941,0.061545764362220104,0.04668938656280432,0.04970995618305745,-0.050545439574477234,0.5201561299431108,-0.7584925060307672
complex|PA700 complex (human),complex,18,0.34011127657814183,0.3251371467119792,0.33928155488095924,0.34235033188867886,0.5157893731981595,0.5102220440269585,0.0366760696488917,15.185788682363961,2.196240399278108e-52,1.500162091537512
complex|AP1 adaptor complex (human),complex,5,-0.02112706913339828,-0.014717624148003905,0.011231742940603695,-0.021555501460564664,0.01109785783836421,0.041360759493670865,0.05558519961051609,-0.14523838085769714,0.557738668176271,-1.9577140223528016
complex|immunoproteasome (mouse),complex,11,0.6933349561830575,0.6964229441444632,0.6742520138089759,0.6929038682836152,0.28679649464459595,0.2915977693192883,0.041958307515269556,5.836656054306128,2.6629439559423687e-09,0.42057272133600504
complex|Mi-2/NuRD-MTA2 complex (human),complex,5,-0.002770204479065219,-0.007088607594936703,-0.0004357351509249874,0.0076095423563778295,0.07587390457643624,0.0838510223953262,0.02962573028237586,0.8369425790412571,0.20131242256206655,-30.268892794376313
"complex|Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN variant) (human)",complex,4,0.033876987990912065,0.03556069457968203,0.029057124310288913,0.04918451801363203,0.2362625770853619,0.2501338851022396,0.0015723385264524666,2.553643772766352,0.005330112890115385,7.383592814371254
complex|DNA polymerase alpha-primase complex (mouse),complex,4,0.3312560856864655,0.3135102239532619,0.3306069457968192,0.32896381045115214,0.49383722817267134,0.5012252515417072,0.0309434842583577,4.709026969672475,1.244510696673071e-06,1.513105036253184
