set,family,n_genes_annotated,n_genes_present,coverage,mean_expression,internal_consistency,internal_consistency_perturbed,cronbach_alpha,alpha_null_expected,split_half,split_half_sb,split_half_null,null_mean,null_sd,null_z,null_p_empirical,null_p,var_null_mean,var_null_sd,var_null_z,var_null_p_empirical,var_null_p,delta_mean,delta_p,cohens_d,n_genes_tested,frac_same_direction,direction_p,cross_perturbation_rho,cross_perturbation_p,cross_perturbation_tertile_swap,method_agreement_mean,method_agreement_min,delta_q,direction_q,null_q,var_null_q
complex|Multisubunit ACTR coactivator complex (human),complex,4,4,1.0,4.8855239,0.8559599156118143,0.7340676728334956,0.9596286605466614,0.13902056468200844,0.924735671421901,0.9608962780211283,0.09994485693841391,0.03880071405387862,0.1467401697743381,5.568749189908872,0.047619047619047616,1.2828724707878566e-08,0.02331487341772152,0.23652833434135648,3.520276099321038,0.047619047619047616,0.0002155488957497761,0.2478266882427606,0.00012000117970230994,0.48397049203875836,4,0.75,0.3125,0.7335443037974684,1.4887299453731696e-14,0.014285714285714285,0.99185329438494,0.9866358325219085,0.00015786654409817227,0.5223570478723404,7.660668388505158e-08,0.0007643017262552003
complex|BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),complex,3,3,1.0,4.847926433333334,0.013631937682570575,0.0011035378123985435,0.03981042654028427,0.15500803240902436,,,,0.05762414800389489,0.2701280425918495,-0.162856880386145,0.5238095238095238,0.5646844390244796,-0.018184436871145702,0.18368863161754054,0.17320818535989416,0.38095238095238093,0.43124389495060317,-0.507074763597328,3.931038392541718e-12,-1.123847462810311,3,0.6666666666666666,0.5,0.6497809152872445,9.23170949720122e-11,0.058823529411764705,0.823333220397913,0.6676971762414801,8.093882488820541e-12,0.541110632802411,0.6664867040880478,0.5522909586886482
complex|NCOR complex (human),complex,6,6,1.0,4.653007916666667,-0.05492210321324246,-0.011580655631288562,-0.45428370079532837,-0.11583606857850583,-0.09874181085338925,-0.2191199193360707,-0.020970043407303247,-0.017606458941901968,0.0739680936614344,-0.5044829794065137,0.6666666666666666,0.693038990053485,-0.006809964297306051,0.12223291831826966,-0.3936103267260803,0.5238095238095238,0.6530656220753885,-0.8058546442445587,1.149055714851407e-14,-3.1383421295951823,6,0.8333333333333334,0.109375,0.8267770204479065,6.2891480830717125e-21,0.0,0.4964813772952585,0.2634144560324828,5.980472525003373e-14,0.3304416403785489,0.7628283804704297,0.7349180724697971
complex|BLOC-1 (biogenesis of lysosome-related organelles complex 1) (human),complex,8,5,0.625,4.953583159999999,0.20846640701071087,0.24020934761441093,0.5683797215644216,-0.01403422615750823,0.37893230063798383,0.5496024720904211,-0.005497951945449414,-0.002775681596884122,0.12748939643969215,1.65693849454783,0.09523809523809523,0.048765955331778035,0.020705817916260947,0.10706195114047362,1.7537564661799727,0.14285714285714285,0.03973612274125778,-0.029265425388837314,0.4371327770494121,-0.06657223898105576,5,0.6,0.5,0.7295764362220057,2.420485937774183e-14,0.014925373134328358,0.7351142277320731,0.41651908787947484,0.45637533284976,0.541110632802411,0.10043918361986688,0.08437213899621795
complex|9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),complex,4,3,0.75,6.482197466666666,-0.2627150275884453,-0.16124634858812073,-1.660756420339911,0.20978368671320086,,,,0.08129787406686143,0.3061818218857028,-1.1235575630735066,0.9047619047619048,0.8693996161673081,0.02853091528724443,0.23407344046137818,-1.244250275903237,0.9523809523809523,0.8932962673358522,0.3726755499668843,1.958878969218888e-12,1.193358438124574,3,0.6666666666666666,0.5,0.6093962999026291,2.522871952750182e-09,0.13846153846153847,0.4675577553053761,0.2727117818889971,4.2453635591519695e-12,0.541110632802411,0.8838134391607814,0.9041410539032638
complex|Arp2/3 protein complex (human),complex,7,5,0.7142857142857143,7.793725140000001,-0.061555501460564765,-0.06915530671859789,-0.40831320320876274,0.0059531337140819995,-0.1720352000961968,-0.4155616280213474,0.014306921864318672,0.001196324245374892,0.12393567663076277,-0.5063257603611103,0.6190476190476191,0.6936860090602739,-0.016094449853943506,0.10669923355432234,-0.4260672742646861,0.6190476190476191,0.6649705871350711,-0.044473062357193546,0.2199524921368119,-0.11509542750190835,5,0.6,0.5,0.4660905550146057,1.4980553130442152e-05,0.09722222222222222,0.25126789177566233,-0.426037159435588,0.2357035657425171,0.541110632802411,0.7632064012155486,0.7410232191899218
complex|PA700 complex (human),complex,20,18,0.9,5.916801411111112,0.34011127657814183,0.27843710025392826,0.9026984280442062,0.33367367092634576,0.8543840928432764,0.9214747863084531,0.21040612086146293,0.027067319625026266,0.04622378473438974,6.772356672044986,0.047619047619047616,6.335065223417025e-12,0.01893809146508328,0.02135155390309267,15.042145717859821,0.047619047619047616,1.9437120259359652e-51,0.8190698780119966,1.193962786621037e-14,2.16242173027518,18,0.8888888888888888,0.0006561279296875,0.8384858812074002,5.361939716680031e-22,0.0,0.8655900806323981,0.7980939514141913,5.980472525003373e-14,0.008912043187827352,5.008287412474969e-11,4.442265484730015e-50
complex|AP1 adaptor complex (human),complex,8,5,0.625,5.93043328,-0.02112706913339828,-0.007877312560856886,-0.1153864562172277,0.10775984795637997,-0.11056333652833215,-0.24861429952028066,0.07578305118071767,0.023585199610516062,0.13425943286389308,-0.33302888139890985,0.5714285714285714,0.6304437589361206,0.029377677702044802,0.09618132807099049,-0.5250992874434633,0.6666666666666666,0.7002429142855157,-0.8293237408887746,1.149055714851407e-14,-2.8640049022734066,5,0.8,0.1875,0.6878286270691334,2.5127751331067684e-12,0.045454545454545456,0.6492979979455266,0.411655519582719,5.980472525003373e-14,0.4131244522348817,0.717876736371175,0.7669148479672641
complex|immunoproteasome (mouse),complex,14,11,0.7857142857142857,6.1161404,0.6933349561830575,0.6048743029122776,0.9613448214493928,0.2074085905826712,0.9243786206360086,0.9607034818652275,0.11880098247981292,0.02323667787908295,0.05490056304226032,12.205672240340395,0.047619047619047616,1.449520954878984e-34,0.015867575462512183,0.07267658480409755,9.321673308489714,0.047619047619047616,5.72598743182813e-21,0.8679316610776293,1.621140829033298e-14,1.8665099220706258,11,0.9090909090909091,0.005859375,0.8046007789678676,4.1683217807145906e-19,0.015151515151515152,0.9338276664508749,0.8778344430353617,6.318679138278622e-14,0.049933792372881355,2.3210800513157744e-33,6.854824954102818e-20
complex|Mi-2/NuRD-MTA2 complex (human),complex,5,5,1.0,5.28654008,-0.002770204479065219,-0.046677215189873375,-0.014006222799865797,0.07521699740563997,-0.02588607701466626,-0.05314794584874444,-0.005495158559060392,0.016006572541382692,0.14552483418103257,-0.12902799117496086,0.47619047619047616,0.5513322499002589,0.0011207400194742072,0.11528497994520467,-0.0337506629258105,0.38095238095238093,0.5134620106052002,-0.25127657790856917,9.894202155358185e-09,-0.7926165060733004,5,0.6,0.5,0.6243427458617332,7.838079795724308e-10,0.109375,0.5512711225482647,0.15856961155120533,1.5985876747153262e-08,0.541110632802411,0.6535442645325146,0.6210568775309543
