set,family,n_genes_annotated,n_genes_present,coverage,mean_expression,internal_consistency,internal_consistency_perturbed,cronbach_alpha,alpha_null_expected,split_half,split_half_sb,split_half_null,null_mean,null_sd,null_z,null_skew,n_control,null_p_empirical,null_p,var_null_mean,var_null_sd,var_null_z,var_null_skew,var_n_control,var_null_p_empirical,var_null_p,delta_mean,delta_p,cohens_d,n_genes_tested,frac_same_direction,direction_p,cross_perturbation_rho,cross_perturbation_p,cross_perturbation_tertile_swap,method_agreement_mean,method_agreement_min,delta_q,direction_q,null_q,var_null_q,null_q_normal,var_null_q_normal
complex|Multisubunit ACTR coactivator complex (human),complex,4,4,1.0,4.8855239,0.8559599156118143,0.7340676728334956,0.9596286605466614,0.09907144093738644,0.924735671421901,0.9608962780211283,-0.008662760433519661,0.026755920967218485,0.1889332688850359,4.388872322688487,1.2287556457131295,10000,9.999000099990002e-05,5.69699671616446e-06,0.009305347695553442,0.1856276474531879,4.561036998164686,1.279430931147551,10000,0.00019998000199980003,2.54508051317529e-06,0.2478266882427606,0.00012000117970230994,0.48397049203875836,4,0.75,0.3125,0.7335443037974684,1.4887299453731696e-14,0.014285714285714285,0.9918857513794223,0.9866358325219085,0.0001593698805317993,0.5266398170779896,0.0010385415641702763,0.0016763596952201886,2.8235875359393057e-05,1.2710775666375443e-05
complex|BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),complex,3,3,1.0,4.847926433333334,0.013631937682570575,0.0011035378123985435,0.03981042654028427,0.09298083180476747,,,,0.03304177864329771,0.2671228681482783,-0.07266259566347891,0.836015943600444,10000,0.44065593440655937,0.5289626929149756,0.012206180623174365,0.2082405294605233,0.006846683799209675,0.7134146962010867,10000,0.4326567343265673,0.4972685896920619,-0.507074763597328,3.931038392541718e-12,-1.123847462810311,3,0.6666666666666666,0.5,0.6497809152872445,9.23170949720122e-11,0.058823529411764705,0.8233991349838226,0.6676971762414801,8.101357382890323e-12,0.5377475247524759,0.5243222368771795,0.5150393179860095,0.6333689428104079,0.6032476562713845
complex|NCOR complex (human),complex,6,6,1.0,4.653007916666667,-0.05492210321324246,-0.011580655631288562,-0.45428370079532837,0.119191763813267,-0.15819360849926636,-0.37584321073458726,0.14618967299021932,0.022056042843232752,0.119876258337183,-0.6421467196611547,1.600052120627012,10000,0.7127287271272873,0.7396110381786151,0.015489287406686173,0.10030884343027537,-0.7019459921185469,1.4723736758728083,10000,0.7417258274172582,0.7586435774105369,-0.8058546442445587,1.149055714851407e-14,-3.1383421295951823,6,0.8333333333333334,0.109375,0.8267770204479065,6.2891480830717125e-21,0.0,0.49661653324745597,0.2636960041091638,5.990150412456258e-14,0.33184826883910384,0.7624471857286984,0.7870082344634889,0.7931575386802342,0.8059428713566706
complex|BLOC-1 (biogenesis of lysosome-related organelles complex 1) (human),complex,8,5,0.625,4.953583159999999,0.20846640701071087,0.24020934761441093,0.5683797215644216,0.09906606985468504,0.40906837370861365,0.5806224613954842,0.01919561808493382,0.02151862658227852,0.14103990378576353,1.3254956605217334,1.4223171567783326,10000,0.10118988101189881,0.09250340388542122,0.011731114410905588,0.10330885520743577,1.9043410383822066,1.2401662157573774,10000,0.054594540545945404,0.02843289139124072,-0.029265425388837314,0.4371327770494121,-0.06657223898105576,5,0.6,0.5,0.7295764362220057,2.420485937774183e-14,0.014925373134328358,0.7351142277320731,0.41651908787947484,0.4551138777028025,0.5377475247524759,0.19047077241734311,0.12041283181326537,0.1744980998041195,0.06324620124314383
complex|9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),complex,4,3,0.75,6.482197466666666,-0.2627150275884453,-0.16124634858812073,-1.660756420339911,0.04555569065293557,,,,0.01566085767607927,0.24547251004474482,-1.134040977597785,0.9146624265054686,10000,0.9183081691830817,0.871611320180695,0.011459293248945221,0.2436931941037266,-1.1250799261988818,0.8992168721262147,10000,0.9119088091190881,0.8697224165967753,0.3726755499668843,1.958878969218888e-12,1.193358438124574,3,0.6666666666666666,0.5,0.6093962999026291,2.522871952750182e-09,0.13846153846153847,0.46760164513108754,0.2727117818889971,4.223984675561324e-12,0.5377475247524759,0.9311666266278856,0.9264794487036098,0.8803915969434606,0.8836189945704571
complex|Arp2/3 protein complex (human),complex,7,5,0.7142857142857143,7.793725140000001,-0.061555501460564765,-0.06915530671859789,-0.40831320320876274,0.10637745617016395,-0.10986349097484874,-0.2468463878538533,0.06320632302771646,0.02325449440116849,0.13561401528388453,-0.6253778098391835,1.5520452669650193,10000,0.7206279372062794,0.7341384387541985,0.015014367818890009,0.1194285937163644,-0.6411351494375253,1.2562685258846435,10000,0.7115288471152885,0.7392825604702694,-0.044473062357193546,0.2199524921368119,-0.11509542750190835,5,0.6,0.5,0.4660905550146057,1.4980553130442152e-05,0.09722222222222222,0.25126789177566233,-0.426037159435588,0.2355859272804719,0.5377475247524759,0.7690041065480026,0.7630422478114179,0.7885862834084035,0.794439256037095
complex|PA700 complex (human),complex,20,18,0.9,5.916801411111112,0.34011127657814183,0.27843710025392826,0.9026984280442062,0.2858994108822627,0.8325945639683286,0.908651133576884,0.21046204705068164,0.02175842621761461,0.03973743346171013,8.011409460233084,1.8772404851063105,10000,9.999000099990002e-05,5.670060257716066e-16,0.02270993944543089,0.031738823635608086,10.000412768185125,1.4402917363079157,10000,9.999000099990002e-05,7.58815762921208e-24,0.8190698780119966,1.193962786621037e-14,2.16242173027518,18,0.8888888888888888,0.0006561279296875,0.8384858812074002,5.361939716680031e-22,0.0,0.8654751484691711,0.7980939514141913,5.990150412456258e-14,0.00872568957162501,0.0010385415641702763,0.000961896430283171,6.3170286717375145e-15,1.150135287171854e-22
complex|AP1 adaptor complex (human),complex,8,6,0.75,5.064168583333333,-0.04069620253164556,-0.024230769230769233,-0.30655542312276524,0.04697845749275793,-0.1320104503577161,-0.30417520674556575,-0.017487604720697943,0.008148756247971468,0.1041539310361718,-0.46896894138977413,1.5449205061768918,10000,0.6173382661733826,0.6804540817774005,0.027776911879260013,0.083063325600545,-0.8243483380402519,1.1782513046762122,10000,0.8012198780121987,0.7951291698964256,-0.41130809079780684,1.81745417393149e-14,-1.6717370930728908,6,0.6666666666666666,0.34375,0.6750243427458618,8.967957493828463e-12,0.028985507246376812,0.6070877961700746,0.3577653359298929,6.682796941381375e-14,0.5377475247524759,0.6813720829441188,0.83718646171455,0.7507167969503525,0.8308223430541009
complex|immunoproteasome (mouse),complex,14,11,0.7857142857142857,6.1161404,0.6933349561830575,0.6048743029122776,0.9613448214493928,0.1850594251775528,0.9277506459733764,0.9625214214413386,0.06437844776486094,0.02022638740373552,0.05876423875112482,11.454391022234384,1.8961171720723364,10000,9.999000099990002e-05,1.1176435920545365e-30,0.012902091484464915,0.06037666440792599,11.269798876290164,1.9101304017441068,10000,9.999000099990002e-05,9.249598989574903e-30,0.8679316610776293,1.621140829033298e-14,1.8665099220706258,11,0.9090909090909091,0.005859375,0.8046007789678676,4.1683217807145906e-19,0.015151515151515152,0.9338276664508749,0.8778344430353617,6.384160334274633e-14,0.049434921116504854,0.0010385415641702763,0.000961896430283171,1.9555012379101857e-29,1.61836943394777e-28
complex|Mi-2/NuRD-MTA2 complex (human),complex,5,5,1.0,5.28654008,-0.002770204479065219,-0.046677215189873375,-0.014006222799865797,0.08698873338463686,-0.042265018788552294,-0.0882603634986599,0.08782871883999424,0.018699030671859823,0.13332964252988705,-0.161023720933719,1.4402938255396394,10000,0.46495350464953505,0.5639626410876171,0.016644035783836456,0.10080296818069948,-0.19259591868465314,1.1692038545213266,10000,0.49875012498750126,0.5763622792470013,-0.25127657790856917,9.894202155358185e-09,-0.7926165060733004,5,0.6,0.5,0.6243427458617332,7.838079795724308e-10,0.109375,0.5545148184729375,0.15856961155120533,1.6031190192056427e-08,0.5377475247524759,0.5472387298516198,0.5758377218079787,0.6623064457252764,0.6701946752885515
