set,family,n_genes_annotated,n_genes_present,coverage,mean_expression,internal_consistency,internal_consistency_perturbed,cronbach_alpha,alpha_null_expected,split_half,split_half_sb,split_half_null,null_mean,null_sd,null_z,null_skew,n_control,null_p_empirical,null_p,var_null_mean,var_null_sd,var_null_z,var_null_skew,var_n_control,var_null_p_empirical,var_null_p,delta_mean,delta_p,cohens_d,n_genes_tested,frac_same_direction,direction_p,cross_perturbation_rho,cross_perturbation_p,cross_perturbation_tertile_swap,method_agreement_mean,method_agreement_min,delta_q,direction_q,null_q,var_null_q,null_q_normal,var_null_q_normal
complex|Multisubunit ACTR coactivator complex (human),complex,4,4,1.0,4.8855239,0.8136927945472251,0.6938007140538786,0.9458579013083663,0.014472642041048837,0.9006990098642882,0.9477555417136762,0.02616896872695788,0.0036578647354755444,0.1756786144002471,4.610890930447879,1.2964374835764343,10000,0.00019998000199980003,2.0047343746415966e-06,-0.0042257116196039776,0.17177345043710848,4.761611902686289,1.3628442055392818,10000,0.0004999500049995,9.602637744663755e-07,0.16999257390487793,0.007512538598515294,0.3366763408757479,4,0.75,0.3125,0.7378042843232716,8.749299805913084e-15,0.02857142857142857,0.9932327166504381,0.9866114897760468,0.009011451802142507,0.5250921581769437,0.0017347746194238708,0.0032386942184334535,8.974766209333005e-06,4.253323820825448e-06
complex|BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),complex,3,3,1.0,4.847926433333334,-0.1125202856215514,-0.07920318078545933,-0.43558519883567515,-0.008352983195252028,,,,-0.0027689086335604633,0.2500749166875288,-0.4388739920090683,0.9650652326489088,10000,0.5840415958404159,0.669623578624828,0.0023850770853619673,0.20590527775536646,-0.5580496233973712,0.7618296643454392,10000,0.6556344365563443,0.7115947504624565,-0.6549294497910146,3.730210735941023e-14,-1.675842593295761,3,1.0,0.125,0.6197663096397273,1.1285050818339918e-09,0.07352941176470588,0.7954017906901916,0.5680136319376825,1.3227211195196811e-13,0.33161375661375664,0.6527830052482937,0.7193328369570045,0.7437954415651058,0.7780061227254158
complex|NCOR complex (human),complex,6,6,1.0,4.653007916666667,-0.08079519636481661,-0.006123012009087958,-0.8133416832303205,0.014585406945187871,-0.26583612084442243,-0.7241874148049411,-0.05130975620528967,0.002460811100292142,0.10686960000927954,-0.7790429407228958,1.622821450117451,10000,0.796020397960204,0.7820227899388472,0.00407671470301853,0.09851306197988433,-0.8615295206758001,1.5261791496016515,10000,0.8363163683631637,0.8055267652532201,-0.8460784699181624,1.149055714851407e-14,-3.379042784737068,6,0.8333333333333334,0.109375,0.8193037974683545,2.754707468895257e-20,0.0,0.49140394376240293,0.2936970161752061,7.344262574141904e-14,0.33161375661375664,0.8318562474723765,0.8699772346416811,0.8220256328623438,0.8405578684667631
complex|BLOC-1 (biogenesis of lysosome-related organelles complex 1) (human),complex,8,5,0.625,4.953583159999999,0.32210564751703996,0.29286757546251213,0.7037722160998381,0.005192286904364042,0.5263893714168164,0.6897183395979943,0.0026933269560697705,0.0010427889483934155,0.13013188399802095,2.4672113298039187,1.5297480389248883,10000,0.029597040295970403,0.006808498303721935,0.0011155340798442424,0.10321137139706561,3.1100266287743734,1.284128557989793,10000,0.013398660133986601,0.0009353523911973839,-0.13043398526639796,0.015769268623695324,-0.28352014785137025,5,0.8,0.1875,0.7443281402142162,3.799071970707841e-15,0.02857142857142857,0.8207623068624169,0.6259775193489784,0.0185342505577141,0.4080403645833333,0.077452797517743,0.041215264976569826,0.017651401496826157,0.002804938331018949
complex|9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),complex,4,3,0.75,6.482197466666666,-0.282822135670237,-0.20649951314508275,-1.953390622081076,0.026583506155566244,,,,0.009021042680947817,0.25165566625156627,-1.159692458740211,0.9327721249636032,10000,0.9328067193280672,0.8769129791797181,-0.004212238721194351,0.24816265178110042,-1.1226906827011147,0.9686091252754908,10000,0.9204079592040796,0.8692155567610225,0.17326170116206596,4.560087662290085e-06,0.5168081981036441,3,0.6666666666666666,0.5,0.5364410905550145,3.4750971424361254e-07,0.15625,0.5061270773085346,0.266699123661149,6.426160634829254e-06,0.5410012947777302,0.9444856402889598,0.9364702734272028,0.8855878149115306,0.8843844970778747
complex|Arp2/3 protein complex (human),complex,7,5,0.7142857142857143,7.793725140000001,0.03248296007789677,-0.02601509250243428,0.14373858191720393,0.05292385533620848,0.07032012921301226,0.13140018073792076,0.08793241340321048,0.01105273369036031,0.1345176438638165,0.1593116395142341,1.4407583146069924,10000,0.34026597340265974,0.4367116754348509,-0.0006377200584225529,0.11638136858816493,0.28458747768745035,1.3904678189935902,10000,0.29487051294870514,0.3879801030375054,-0.6524157182808763,3.2084747233419055e-14,-2.0147743494330093,5,0.8,0.1875,0.5919425511197663,9.16881773465354e-09,0.07462686567164178,0.3366382327519029,-0.395170369836735,1.1759716566400815e-13,0.4080403645833333,0.4370116779305676,0.39071901477928317,0.562319553320581,0.5127391240458756
complex|PA700 complex (human),complex,20,18,0.9,5.916801411111112,0.3456098732904392,0.29063027028403055,0.904821074104969,0.11508172202265854,0.8359179696498973,0.9106267093287438,-0.03246513698651469,0.007173056239698093,0.0354823380291036,9.538176902918455,2.0451805637229197,10000,0.00019998000199980003,7.2682595502046765e-22,0.010466931652570156,0.02880833442836978,11.633541066776427,1.5348937619415373,10000,9.999000099990002e-05,1.3915399294832718e-31,0.5004860852878624,1.154674111604643e-12,1.1523796425154422,18,0.6666666666666666,0.1189422607421875,0.7726874391431354,7.378791547743932e-17,0.015151515151515152,0.9266073842223359,0.9016486225131823,2.6753863195867284e-12,0.33161375661375664,0.0017347746194238708,0.0009049636552590229,7.467838808345543e-21,1.735617215529633e-30
complex|AP1 adaptor complex (human),complex,8,5,0.625,5.93043328,-0.059143135345666974,0.0007108081791626031,-0.38735268608744433,0.03110134219394834,-0.055910522110676444,-0.11844326924535618,-0.047159182039626754,0.006378984420642686,0.1396604386809147,-0.4691530428026901,1.5398159560611475,10000,0.6154384561543845,0.6805198764664455,0.01745776898734181,0.10220234398453969,-0.7495024218289585,1.168904519943847,10000,0.7653234676532347,0.7732227802543067,-1.0067988218946806,1.149055714851407e-14,-4.12261444937557,5,0.8,0.1875,0.7759737098344694,4.504988854222963e-17,0.015151515151515152,0.6006526953698885,0.2831843327699222,7.344262574141904e-14,0.4080403645833333,0.6808932963720398,0.8123056449647161,0.753316333161883,0.8203113217926202
complex|immunoproteasome (mouse),complex,14,11,0.7857142857142857,6.1161404,0.7082539612286449,0.5938545631583607,0.963904162210617,0.07974675092193169,0.9237199540366386,0.9603476349022116,0.05828276557483307,0.007816368239355597,0.05680847685670256,12.329807658038767,1.8215161822416188,10000,9.999000099990002e-05,3.129798036897566e-35,0.0005564154642825666,0.053203607487184716,13.301683460747041,1.832984458112899,10000,9.999000099990002e-05,1.1315734010453587e-40,0.6111815740205209,1.154674111604643e-12,1.236271269662987,11,0.8181818181818182,0.03271484375,0.7977117818889972,1.3770210061618975e-18,0.015384615384615385,0.9401770837738797,0.8778344430353617,2.6753863195867284e-12,0.1985862307052058,0.0009830389510068602,0.0009049636552590229,4.408091954214718e-34,1.5760302869003967e-39
complex|Mi-2/NuRD-MTA2 complex (human),complex,5,5,1.0,5.28654008,0.011852482960077904,-0.03496835443037973,0.05657996262863854,0.015266479688208648,-0.017778183490008516,-0.03619993608608198,-0.08495015949887823,0.0030910474683544676,0.12734161733586893,0.06880260888013365,1.4633495822751799,10000,0.36696330366963303,0.4725733707125596,0.0053645520934761815,0.09921498260690519,0.06539265236085597,1.087708632269684,10000,0.3895610438956104,0.47393068706325686,-0.5287601872163653,4.500876741291729e-14,-1.6577347536187292,5,0.8,0.1875,0.6737585199610516,1.0135083848746184e-11,0.04411764705882353,0.5809329523749243,0.18141541757527752,1.5248240527592384e-13,0.4080403645833333,0.461835844527997,0.4818103290805601,0.5929226272287668,0.5917052950535782
"complex|Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN variant) (human)",complex,4,4,1.0,6.325362924999999,-0.025490912041544928,-0.05371226874391429,-0.11040675479174578,0.03914808461849277,0.00912973756318603,0.01809427910673255,-0.04012662183398004,0.010083070837390509,0.1741776403259556,-0.20423966481783984,1.2943482566515132,10000,0.48465153484651535,0.5809168917363555,-0.0010535008925673009,0.13314504466600402,-0.18353977206045613,1.0936345271620571,10000,0.49825017498250174,0.572812742414146,-0.2110729124570248,8.815380957745087e-07,-0.5766827797095024,4,0.75,0.3125,0.6682083739045764,1.7208987746455253e-11,0.05970149253731343,0.5975961687100381,0.16034566699123662,1.2819118364888012e-06,0.5250921581769437,0.5648635043515638,0.5812532287953149,0.6756667528247216,0.6735925129663776
complex|DNA polymerase alpha-primase complex (mouse),complex,4,4,1.0,2.1933711750000002,0.20735150925024345,0.2298076923076923,0.5113305519704655,0.00909977807906286,0.39047624617610355,0.5616438932343326,-0.05315554657395327,0.002290577328789402,0.12935192649827143,1.585294765008346,1.0307926323669692,10000,0.0785921407859214,0.05644968895643537,0.0019098377150276367,0.15356638644785,1.337803644972673,1.2076408376862149,10000,0.10838916108389161,0.09048022669360073,-0.6269203655869987,1.5318604346258757e-13,-1.4694846800471328,4,1.0,0.0625,0.6901898734177215,1.973160782909589e-12,0.07692307692307693,0.8774657333375377,0.7279543324529267,4.1652647609621154e-13,0.276833038869258,0.1580254774522548,0.19340329312264504,0.11468344425752307,0.16557221045318032
