set,family,n_genes_annotated,n_genes_present,coverage,mean_expression,internal_consistency,internal_consistency_perturbed,cronbach_alpha,alpha_null_expected,split_half,split_half_sb,split_half_null,null_mean,null_sd,null_z,null_skew,n_control,null_p_empirical,null_p,var_null_mean,var_null_sd,var_null_z,var_null_skew,var_n_control,var_null_p_empirical,var_null_p,delta_mean,delta_p,cohens_d,n_genes_tested,frac_same_direction,direction_p,cross_perturbation_rho,cross_perturbation_p,cross_perturbation_tertile_swap,method_agreement_mean,method_agreement_min,delta_q,direction_q,null_q,var_null_q,null_q_normal,var_null_q_normal
complex|Multisubunit ACTR coactivator complex (human),complex,4,4,1.0,2.810833175,0.934603213242454,0.8791747809152873,0.9828075553322815,0.5970474765078392,0.9680000109291166,0.9837398430420862,0.32421557861716266,0.27029695553391764,0.26065110586661305,2.5486416238283365,0.3845100954675195,10000,0.00019998000199980003,0.0054071683609320164,0.27595754016553076,0.2995152828161648,2.199038616273828,0.3129026710962529,10000,0.00039996000399960006,0.013937588296402431,-0.11311538256860447,0.08992127450585077,-0.21282141213930925,4,0.75,0.3125,0.8158471275559884,5.3318757816024226e-20,0.0,0.9756694255111977,0.9635345666991237,0.10042939572986014,0.4601857490864799,0.002505448936971588,0.0071637280716372815,0.019281724584356938,0.06726764171796622
complex|BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),complex,3,3,1.0,3.9859487999999996,0.5918776371308018,0.5308828302499189,0.8131098444594727,0.4776599429810324,,,,0.2336110864978904,0.3139744858340451,1.1410689938107816,0.3137847285201232,10000,0.17248275172482752,0.1269206064964314,0.1312137682570595,0.2751618527419189,1.6741560077581332,0.519689784670913,10000,0.07649235076492351,0.04704997140950472,-0.7702028567331042,1.4233043784270078e-13,-1.432535745536176,3,1.0,0.125,0.6922103213242453,1.6015175236373028e-12,0.057971014492753624,0.7667310948140261,0.5584780730461515,5.214469677328038e-13,0.25789249146757676,0.2864445698287314,0.22311037895004227,0.22498493241836737,0.14660674080951341
complex|NCOR complex (human),complex,6,5,0.8333333333333334,4.52840446,0.07889727361246353,0.031222005842259027,0.29985530415732264,0.449660385430965,0.16441545783599637,0.28239999173757735,0.27404278761083,0.14045924294060375,0.20203344134239679,-0.30471177899607166,0.9427477971717928,10000,0.5297470252974702,0.6197071611725692,0.1012447879746836,0.14700282038120133,-0.15202099051072265,0.8298147232776941,10000,0.48185181481851813,0.5604148099833781,-1.1006739094784768,1.149055714851407e-14,-3.5714171239829464,5,1.0,0.03125,0.5634615384615385,6.434610089974413e-08,0.08695652173913043,0.37217315035122844,0.0018500599444107471,1.0026108386660634e-13,0.1164291217257319,0.6008106506422528,0.606260724576893,0.6949366006655585,0.6947527879697517
complex|BLOC-1 (biogenesis of lysosome-related organelles complex 1) (human),complex,8,5,0.625,5.590484999999999,-0.0633812074001947,0.1789849074975658,-0.42453660827256906,0.28925385359676126,-0.050056198375401297,-0.105387704598514,0.15777307211255862,0.07526802336903607,0.17238973126762155,-0.8042777823812992,1.2377534487486261,10000,0.7886211378862114,0.7893817170088064,0.11026283179162615,0.1526194921990637,-1.1377579409406928,0.9105003889413383,10000,0.9128087191280871,0.8723892140898641,-0.5641836860374493,1.2154308233340164e-11,-1.0910026159581425,5,1.0,0.03125,0.5703748782862708,4.078065553227719e-08,0.08823529411764706,0.17198574232489725,-0.6479552093476144,3.0773944825357606e-11,0.1164291217257319,0.8121319895267713,0.9332648976117187,0.8163922120304935,0.8972510079410002
complex|9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),complex,4,3,0.75,5.7755497,-0.0429892891918208,0.23350373255436555,-0.14109939277724504,0.13477797515178952,,,,0.0493611927945473,0.2659930901188164,-0.3471912820935164,0.8325498154752413,10000,0.5454454554544546,0.6357761900703356,0.10569432083739053,0.25096013409828066,-0.5924590794607404,0.5296771246291251,10000,0.6686331366863314,0.7232283926173813,-0.1277135063007415,0.01304159840718316,-0.3110387331799419,3,0.6666666666666666,0.5,0.6115141187925998,2.145688946822356e-09,0.07352941176470588,0.09135156556537193,-0.8398157221894221,0.015511355114888777,0.5245119305856836,0.6124089540906634,0.7471141055949858,0.7060569291387375,0.8073713081019519
complex|Arp2/3 protein complex (human),complex,7,5,0.7142857142857143,7.1954533,0.2133860759493671,0.2504333008763389,0.575616335450386,0.12609073085467784,0.3425852064932474,0.5103366323960318,0.04106083139142367,0.02804735540408962,0.14384277432080902,1.288481270056159,1.4484810203734013,10000,0.10308969103089691,0.09878924231916297,0.1221863184031159,0.17381316154259752,0.5246999521604138,0.8536269567882872,10000,0.26377362263773624,0.2998958952893631,-0.5995706032631745,1.3718978554505278e-13,-1.3734360931480454,5,0.8,0.1875,0.7044060370009737,4.3791131722511304e-13,0.058823529411764705,0.749803644427974,0.46927945472249266,5.041411876108474e-13,0.33558475203552923,0.20432038763336782,0.4318243869587313,0.18720406577408782,0.47488426641105436
complex|PA700 complex (human),complex,20,18,0.9,6.024173138888889,0.24758147660232546,0.2622525154170724,0.8555509463869386,0.530983187392024,0.7850595105884293,0.8795891744019686,0.33729901334410367,0.05917377406431576,0.059989929750318936,3.140655495383507,1.442104150800643,10000,0.011698830116988301,0.0008428509740059355,0.10189656735462767,0.06361528920673773,2.2900926972798823,0.8765456175331386,10000,0.027897210278972105,0.011007971810370139,0.21964896857216842,5.308625758845015e-05,0.47258467586381386,18,0.6666666666666666,0.1189422607421875,0.5907010710808179,1.0021070668518962e-08,0.05714285714285714,0.5503286270691333,-0.07901655306718598,7.351808181493267e-05,0.25789249146757676,0.04698965319414903,0.12799896480940143,0.004326992898399898,0.06045505737804437
complex|AP1 adaptor complex (human),complex,8,5,0.625,5.426754,0.24740993184031163,0.29829844206426487,0.6217455563385798,0.34114939947127554,0.4128797442990292,0.5844513603723165,0.2374546806820645,0.09384089070107113,0.17963743353210385,0.8548832953115836,1.1999382762553796,10000,0.17518248175182483,0.19630787963542068,0.09963083958130482,0.15743739915291138,0.9386530332318059,0.9733854080022176,10000,0.1728827117288271,0.17395445733778836,-1.0529080897797956,1.149055714851407e-14,-2.9890770065254473,5,0.8,0.1875,0.6187925998052581,1.2185796404564922e-09,0.057971014492753624,0.5558511702436979,0.23169566514344064,1.0026108386660634e-13,0.33558475203552923,0.29013098690130984,0.34736526347365265,0.31269595056551197,0.33812048058100663
complex|immunoproteasome (mouse),complex,14,11,0.7857142857142857,6.8825223,0.3174612729043109,0.3655443923165443,0.836502504209022,0.2642992659937299,0.75342427033633,0.859374748122784,0.12256427801863176,0.031626066035230604,0.0634599345757635,4.50418376224179,1.519262238077465,10000,0.0030996900309969004,3.3314267114291963e-06,0.08348081880145174,0.062186794876480135,3.7625424266937686,0.9980945327385834,10000,0.0031996800319968005,8.409738201478296e-05,0.4798885972405345,2.8889062429499654e-09,0.8413857477144411,11,0.6363636363636364,0.2744140625,0.6822541382667966,4.406942490302096e-12,0.08695652173913043,0.8403104500228645,0.7713458051423973,5.4530642431327225e-09,0.44147252370259477,0.018831785163192224,0.032236776322367766,3.633420829191766e-05,0.0013466719848459947
complex|Mi-2/NuRD-MTA2 complex (human),complex,5,5,1.0,4.69665238,0.12167478091528725,0.1907035053554041,0.4092111812632629,0.348114087180455,0.1492771610365817,0.2597757374764888,0.17439523873713064,0.0964961538461539,0.17652209525434706,0.14263725474623434,1.1587867353975174,10000,0.3477652234776522,0.44328833663331846,0.10714734469328145,0.15497838048252732,0.09373846969347867,0.9071687444577466,10000,0.38946105389461055,0.46265845520375554,-0.6249186582681058,2.1159763394809065e-14,-1.674871559208922,5,0.8,0.1875,0.5142891918208374,1.2459585037652063e-06,0.10294117647058823,0.7682880766063332,0.6903846153846154,1.1816237387678595e-13,0.33558475203552923,0.4509002475958192,0.5405951942119221,0.5581933771872831,0.6232357351992651
