set,family,n_genes_present,internal_consistency,internal_consistency_stored,hr_n_control,hr_null_mean,hr_null_sd,hr_null_median,hr_null_p975,hr_null_skew,hr_null_z,hr_exceed,hr_p_empirical,hr_var_n_control,hr_var_null_mean,hr_var_null_sd,hr_var_null_median,hr_var_null_p975,hr_var_null_skew,hr_var_null_z,hr_var_exceed,hr_var_p_empirical,null_q_stored,null_p_stored,null_sd_stored,hr_q,hr_var_q
complex|Multisubunit ACTR coactivator complex (human),complex,4,0.8559599156118146,0.8559599156118143,10000,0.02247391025641031,0.1849798305669451,-0.02593719571567669,0.5056969125283997,1.2190053524510924,4.5058210011375355,0,9.999000099990002e-05,10000,0.009303836416747861,0.18560021408176622,-0.03921413502109703,0.5034513956507628,1.2947394239535828,4.5617193028779175,1,0.00019998000199980003,7.660668388505159e-08,1.2828724707878566e-08,0.1467401697743381,0.0010473952604739527,0.0018483445773069753
complex|BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),complex,3,0.013631937682570724,0.0136319376825705,10000,0.019482388023369105,0.2602859072336524,-0.045857676079195,0.6556444741966896,0.9353303389126709,-0.022477015382729008,4184,0.41845815418458154,10000,0.014356372930866673,0.21304023019475457,-0.024046575787082098,0.516127271989614,0.7842241592763317,-0.003400462192674563,4319,0.43195680431956807,0.6664867040880478,0.5646844390244796,0.2701280425918495,0.5048002877255461,0.5185957048994242
complex|NCOR complex (human),complex,6,-0.05492210321324243,-0.0549221032132424,10000,0.019123099156118175,0.11652254488799729,-0.01097370983446928,0.3362138915936381,1.593727774891697,-0.6354581634011996,7129,0.712928707129287,10000,0.02046172801038627,0.10634853505252957,-0.0050770853618954765,0.3016201720220708,1.4678731454528802,-0.708837514182906,7510,0.7510248975102489,0.7628283804704297,0.693038990053485,0.0739680936614344,0.7623576221705775,0.7965328309007985
complex|BLOC-1 (biogenesis of lysosome-related organelles complex 1) (human),complex,5,0.20846640701071087,0.2084664070107108,10000,0.018372134128529737,0.13950617584107147,-0.01541139240506324,0.39289368305744893,1.4394015886765155,1.3626226347050094,985,0.09859014098590141,10000,0.015196880477117855,0.10400531666615054,-0.00630233690360269,0.276710929892892,1.1817564185350706,1.8582658341782092,562,0.05629437056294371,0.1004391836198668,0.048765955331778,0.1274893964396921,0.18877046034924305,0.12749914197769413
complex|9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),complex,3,-0.2627150275884453,-0.2627150275884453,10000,0.01726524018175924,0.25126383672478664,-0.04049821486530347,0.6294800795196364,0.9089344392145962,-1.1142879589030212,9122,0.9122087791220878,10000,0.002467263063940349,0.24345015670295228,-0.05183787731256081,0.6003738640051937,0.9377189969049404,-1.0892672826493597,8989,0.8989101089891011,0.8838134391607814,0.8693996161673081,0.3061818218857028,0.9250878865320405,0.9164071427407137
complex|Arp2/3 protein complex (human),complex,5,-0.061555501460564724,-0.0615555014605647,10000,0.024114962512171413,0.13492918638424536,-0.0065542843232716304,0.3852256572541382,1.5448921050848534,-0.6349290784928295,7170,0.7170282971702829,10000,0.01718505233690364,0.12272061676833255,-0.01228334956183057,0.3392108081791627,1.343419773243288,-0.6416244953047446,7102,0.7102289771022897,0.7632064012155486,0.6936860090602739,0.1239356766307627,0.7657642901810073,0.7628223081151945
complex|PA700 complex (human),complex,18,0.3401112765781418,0.3401112765781418,10000,0.020628625032616102,0.03871454051664301,0.01091859658501504,0.12533549633745092,1.9058217438941554,8.252265099418734,1,0.00019998000199980003,10000,0.029453003003863023,0.0332658650902305,0.02287024839146954,0.11422841848521291,1.4303547909326904,9.338650076637048,0,9.999000099990002e-05,5.008287412474969e-11,6.335065223417025e-12,0.0462237847343897,0.0018483445773069753,0.0010517776674215423
complex|AP1 adaptor complex (human),complex,5,-0.02112706913339819,-0.0211270691333982,10000,0.014830103213242489,0.13658045492129756,-0.017317429406036956,0.37433118305744895,1.4688234545029188,-0.2632673347541598,5140,0.514048595140486,10000,0.035018817185978615,0.1008840190146653,0.016669912366114925,0.28553371470301847,1.0276183138999313,-0.5565389530250078,6731,0.6731326867313269,0.717876736371175,0.6304437589361206,0.134259432863893,0.5914499625552319,0.7306802998456631
complex|immunoproteasome (mouse),complex,11,0.6933349561830573,0.6933349561830575,10000,0.02048879432592725,0.05783854415312158,0.006766398158803234,0.16787648269452046,1.7995999194405905,11.633179425744869,0,9.999000099990002e-05,10000,0.01513416110471808,0.0618470682310874,-0.0009367531202973935,0.18152848101265795,1.931508187508799,10.965771126681181,0,9.999000099990002e-05,2.3210800513157744e-33,1.449520954878984e-34,0.0549005630422603,0.0010473952604739527,0.0010517776674215423
complex|Mi-2/NuRD-MTA2 complex (human),complex,5,-0.002770204479065219,-0.0027702044790652,10000,0.014376855647517079,0.1300628736280756,-0.015777750730282314,0.3595862950340799,1.4204391503324199,-0.13183670057618121,4549,0.45495450454954506,10000,0.022203915287244438,0.10587023510076651,0.0007728821811100461,0.284553493184031,1.1425868488827742,-0.23589368383417184,5154,0.5154484551544846,0.6535442645325146,0.5513322499002589,0.1455248341810325,0.5387449950247556,0.5930192891049414
