set,family,n_genes,internal_consistency,agreement_mean_4,agreement_min_4,agreement_mean_5,agreement_min_5,agreement_mean_ssgsea,agreement_min_ssgsea,bin
pathway|Protein Lipoylation,pathway,9,0.0019447149193984,0.4220294490563364,-0.05513766159524616,0.5278022864622647,-0.05513766159524616,0.6864615425711568,0.3606709025144227,<0.02
pathway|TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway,pathway,13,-0.0109308291513744,0.30610597208698476,0.10133885102239533,0.4232351509250244,0.10133885102239533,0.5989289191820838,0.33556475170399225,<0.02
pathway|InlA-mediated Entry of Listeria Monocytogenes Into Host Cells,pathway,8,-0.0757181110029211,0.36212650576602073,0.08069620253164558,0.4706867091689012,0.08069620253164558,0.633527014273222,0.31711295034079845,<0.02
complex|RBP-Jkappa-RING1-KyoT2 complex (human),complex,3,-0.1228172671210644,0.499741786692728,0.04427945472249271,0.44552611493367095,-0.09724926971762415,0.36420260729508536,-0.09724926971762415,<0.02
"complex|SNARE complex (Vti1b, Stx6, Stx7) (mouse)",complex,3,-0.1936465433300876,0.5502771733776717,0.27156767283349564,0.6364688246541158,0.27156767283349564,0.7657563015687824,0.5611489776046739,<0.02
pathway|TRAF6-mediated Induction of TAK1 Complex Within TLR4 Complex,pathway,16,-0.0188234339500162,0.6022387354262161,0.36496305946057134,0.6552524207726489,0.36496305946057134,0.7347729487922979,0.6047468354430381,<0.02
complex|snRNP-free U1A (SF-A) complex (human),complex,4,0.0198717948717948,0.1491656521220123,-0.7589337877312561,0.053575883127140324,-0.7589337877312561,-0.08980877036516771,-0.6947419668938657,<0.02
regulon|TP73 human,regulon,12,0.0120717889705231,0.28887536514118795,-0.4624391431353457,0.4194328140214217,-0.4624391431353457,0.615268987341772,0.0441333982473223,<0.02
"complex|Multicomponent signaling complex, anti-CD40 stimulated,(Birc2, Birc3, Cd40, Ikbkg, Map3k1, Traf2, Ube2n) (mouse)",complex,5,-0.0014703018500486,0.3715722535640469,-0.13927871567141295,0.48986616664481736,-0.13927871567141295,0.667307036265973,-0.03422590068159689,<0.02
complex|P-TEFb-SKP2 complex (human),complex,3,-0.1075624797143783,0.757372863515453,0.5936952288218111,0.7710975676612459,0.5570593962999026,0.7916846238799353,0.5570593962999026,<0.02
"complex|Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1) (human)",complex,6,-0.0659444985394352,0.5091812723141836,0.18585686465433301,0.586124634858812,0.18585686465433301,0.7015396786757546,0.2687439143135346,<0.02
complex|PGAM5-KEAP1-NRF2 complex (human),complex,3,-0.1469490425186627,0.2983697888532541,-0.5468697701088544,0.4464957268916153,-0.5468697701088544,0.6686846339491572,0.3601696720963969,<0.02
pathway|Caspase Activation via Extrinsic Apoptotic Signalling Pathway,pathway,23,0.0067591049566833,0.3367517167915766,-0.2277521163145651,0.4441009628978649,-0.2277521163145651,0.6051248320572973,0.35090068159688415,<0.02
pathway|DNA Damage Reversal,pathway,8,-0.0651238002503825,0.15895407335280753,-0.49264849074975664,0.24058909444985394,-0.6237098344693283,0.36304162609542356,-0.6237098344693283,<0.02
pathway|Senescence-Associated Secretory Phenotype (SASP),pathway,50,0.004164318502474,0.034146813880183424,-0.8218526159634661,0.1991751705924004,-0.8218526159634661,0.44671770566072583,-0.38215676728334963,<0.02
complex|SMAD3-SMAD4-FOXO4 complex (human),complex,3,0.0179730606945797,0.7105728659526127,0.3815968841285297,0.7640628042843233,0.3815968841285297,0.844297711781889,0.7684761441090555,<0.02
complex|BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),complex,3,0.0136319376825705,0.823333220397913,0.6676971762414801,0.8591974581662882,0.6676971762414801,0.9129938148188503,0.8301119766309639,<0.02
complex|LIG1-9-1-1 complex (human),complex,4,-0.0771259331385913,0.4317313253846111,-0.09671372930866602,0.4874994312216187,-0.09671372930866602,0.57115158997713,-0.045034079844206425,<0.02
regulon|FOXO3 human,regulon,14,-0.0306068566292519,0.4228213242453749,-0.008787731256085687,0.5004284323271666,-0.008787731256085687,0.616839094449854,0.3571567672833496,<0.02
"complex|Grb2-Lab-Blnk complex, BCR stimulated (mouse)",complex,3,-0.0315238558909444,0.5817991272217489,0.330379746835443,0.6405654309292015,0.330379746835443,0.7287148864903803,0.43629503407984427,<0.02
complex|RAF1-PPP2-PIN1 complex (human),complex,5,-0.051755111976631,0.35959349529142165,-0.1968244694806986,0.4157423176208905,-0.20533106134371956,0.4999655511150939,-0.20533106134371956,<0.02
"complex|Ubiquitin E3 ligase (SKP1A, BTRC, CUL1) (human)",complex,3,-0.1939954560207724,0.5057533013918688,0.21012658227848102,0.5994063540082933,0.21012658227848102,0.7398859329329299,0.41019961051606624,<0.02
