pc,var_ratio,factor,kind,r2,r2_chance,excess,p,n_groups,weighted
PC1,0.29316847175820326,SMRIN,技術,0.03554825704260689,0.004952669905668225,0.030595587136938666,0.004975124378109453,5,0.014678239306231262
PC1,0.29316847175820326,SMTSISCH,技術,0.640466994073201,0.004787872270882092,0.6356791218023189,0.004975124378109453,5,0.3049671911843877
PC1,0.29316847175820326,SMGEBTCH,技術,0.2096787647679943,0.18242276750118042,0.02725599726681388,0.06467661691542288,138,0.013076070369941252
PC1,0.29316847175820326,SMNABTCH,技術,0.46781154712406015,0.4423688146517404,0.025442732472319762,0.12437810945273632,335,0.012206156206829296
PC1,0.29316847175820326,SMCENTER,技術,0.19621164705493388,0.0026624212679691533,0.19354922578696473,0.004975124378109453,3,0.09285528141432217
PC1,0.29316847175820326,AGE,生物学,0.11320405565924196,0.007335567612619598,0.10586848804662237,0.004975124378109453,6,0.05079042920738973
PC1,0.29316847175820326,SEX,生物学,0.009633382307399962,0.001337924286670543,0.00829545802072942,0.014925373134328358,2,0.003979747714534146
PC1,0.29316847175820326,DTHHRDY,生物学,0.6229649193970415,0.006717684870189673,0.6162472345268518,0.004975124378109453,6,0.29564473921363743
PC1,0.29316847175820326,組成:Neutrophils,血球組成,0.7870970587366413,0.005301382626878816,0.7817956761097624,0.004975124378109453,5,0.3750666385696354
PC1,0.29316847175820326,組成:T Cells Naive,血球組成,0.13887214811916704,0.0053881018791428195,0.13348404624002422,0.004975124378109453,5,0.06403899900680773
PC1,0.29316847175820326,組成:B Cells,血球組成,0.022192144276921066,0.004755989708123865,0.017436154568797203,0.004975124378109453,5,0.008364998788738753
PC1,0.29316847175820326,組成:NK Cells,血球組成,0.5321847427765785,0.0050476852850948875,0.5271370574914835,0.004975124378109453,5,0.25289411320696675
PC1,0.29316847175820326,組成:Monocytes,血球組成,0.6112586653073651,0.00567829982884777,0.6055803654785172,0.004975124378109453,5,0.2905273065643174
PC1,0.29316847175820326,組成:Platelets,血球組成,0.676623548536767,0.0052075671471922096,0.6714159813895748,0.004975124378109453,5,0.32211195702029555
PC2,0.13689517059310888,SMRIN,技術,0.22242284881850738,0.005592481843648341,0.21683036697485905,0.004975124378109453,5,0.048574254185689794
PC2,0.13689517059310888,SMTSISCH,技術,0.020827165955904725,0.005340323828386557,0.015486842127518167,0.004975124378109453,5,0.003469356329240264
PC2,0.13689517059310888,SMGEBTCH,技術,0.3516053832589181,0.1813526899936829,0.1702526932652352,0.004975124378109453,138,0.0381399418994789
PC2,0.13689517059310888,SMNABTCH,技術,0.5009571845515188,0.4454464209277483,0.055510763623770554,0.01990049751243781,335,0.012435499602393856
PC2,0.13689517059310888,SMCENTER,技術,0.011206076227449846,0.0027791629664565298,0.008426913260993317,0.014925373134328358,3,0.0018877938198929045
PC2,0.13689517059310888,AGE,生物学,0.0017188960694309863,0.006420435070442643,-0.004701539001011657,0.9353233830845771,6,-0.0010532369321016447
PC2,0.13689517059310888,SEX,生物学,0.008819257056494445,0.0014691355998947492,0.007350121456599696,0.029850746268656716,2,0.0016465713401202817
PC2,0.13689517059310888,DTHHRDY,生物学,0.012006798083112447,0.006726758939056792,0.005280039144055655,0.09950248756218906,6,0.0011828323083707592
PC2,0.13689517059310888,組成:Neutrophils,血球組成,0.05626592223647919,0.005235133720469638,0.051030788516009555,0.004975124378109453,5,0.011431897327186817
PC2,0.13689517059310888,組成:T Cells Naive,血球組成,0.07573420480880244,0.0049676038917669,0.07076660091703554,0.004975124378109453,5,0.01585310631882072
PC2,0.13689517059310888,組成:B Cells,血球組成,0.09231909500607627,0.0056273632166599285,0.08669173178941635,0.004975124378109453,5,0.019420647921630865
PC2,0.13689517059310888,組成:NK Cells,血球組成,0.007285097444388988,0.0057196553603106985,0.0015654420840782897,0.29850746268656714,5,0.0003506897247183624
PC2,0.13689517059310888,組成:Monocytes,血球組成,0.06743586460811979,0.004859344847524632,0.06257651976059515,0.004975124378109453,5,0.014018367534559512
