pc,var_ratio,group,paper_sum,paper_sum_capped,oneway_group,unique,shapley,w_paper_sum,w_paper_sum_capped,w_oneway_group,w_unique,w_shapley
PC1,0.29316847175820326,技術,0.9078756150408264,0.8702122236890325,0.6221657356485215,-0.015703704171032506,0.2175665640379069,0.4355535155516716,0.41748449570016416,0.2984841413603994,-0.007533855349302535,0.10437760444633915
PC1,0.29316847175820326,生物学,0.7317959559178757,0.7316031509584451,0.6125668278051855,-0.003629383145007492,0.2188042706292514,0.3510792623857329,0.3509867641662582,0.29387906332178115,-0.0017411973203189392,0.10497139444152183
PC1,0.29316847175820326,血球組成,2.7368698323287717,2.7355310485053472,0.8583707334186822,0.1490229492447147,0.4180323896308608,1.3130138725275764,1.3123715907092353,0.41180353827474636,0.07149379096220686,0.2005511260592673
PC2,0.13689517059310888,技術,0.4703253126336511,0.2590285802998879,0.2622807843203598,0.15789448658733213,0.21159541265783077,0.10536209297879337,0.05802748146574866,0.058756038941152645,0.03537146126262532,0.04740152176267411
PC2,0.13689517059310888,生物学,0.008335108134646852,0.007519847933067286,0.010974980036627691,0.0060207308299909945,0.01000563263729418,0.0018672276713182466,0.0016845933991381228,0.002458610744517332,0.001348761770778679,0.002241457918433139
PC2,0.13689517059310888,血球組成,0.34660830672234627,0.34677273106206774,0.18036331845726736,0.10189635748632397,0.1426376151757805,0.07764705759850926,0.07768389187492254,0.0404049202090482,0.022826782236228485,0.031953622883423474
PC3,0.08286980358276266,技術,0.24923698878886935,0.2110433364647178,0.14272419287265398,0.06056869714265267,0.10858234605757767,0.03379922280775867,0.028619751770898996,0.019354939322617056,0.008213768348944193,0.014724936796994085
PC3,0.08286980358276266,生物学,0.21114548834908362,0.21123792789559698,0.16925557655702786,0.038032229114880134,0.11057980388587835,0.028633604667761096,0.028646140466897643,0.022952880996137764,0.005157580309311485,0.014995813613938085
PC3,0.08286980358276266,血球組成,0.2944522671643207,0.2943753700920565,0.26417894159818667,0.3084870289828756,0.29326888634045545,0.03993090204025533,0.03992047396819688,0.03582551270413093,0.041834167057475544,0.03977042284201669
PC4,0.06558896205029993,技術,0.12397103886047693,0.061274163606303146,0.055179676727221544,0.04993645982192957,0.050944357708949464,0.013306042545491887,0.006576670126984234,0.005922537496884485,0.005359773258895193,0.005467952816713464
PC4,0.06558896205029993,生物学,0.05423714948169625,0.054097419511742156,0.05575073074382936,0.011426215392832673,0.03197476250270492,0.005821374291796243,0.005806376813819294,0.005983829788298686,0.0012263969839124804,0.003431910824929208
PC4,0.06558896205029993,血球組成,0.6521876424620088,0.6512130934204127,0.31683764202095044,0.28715544786732755,0.3003828343785129,0.07000051462027534,0.0698959144561617,0.03400677435226484,0.03082092915904874,0.03224064919448041
PC5,0.03256324993056438,技術,0.09227013923323037,0.03495982267578994,0.03464209420888727,0.0054268996935066816,0.01835407423662318,0.004916848507346062,0.0018629228628998875,0.001845991895295266,0.0002891861210926337,0.0009780434197237968
PC5,0.03256324993056438,生物学,0.020373057068185554,0.021381238982723094,0.016782139687483745,0.0005674277529760241,0.006994361005656093,0.0010856300431343491,0.001139353574742958,0.0008942788984408548,3.0236827682623817e-05,0.0003727122745915863
PC5,0.03256324993056438,血球組成,0.17153606322708492,0.17080582124487276,0.2722612852165863,0.24178577329508216,0.2553431065412604,0.009140734407067657,0.009101821610034094,0.01450813345411299,0.012884168468831057,0.013606605373001866
