pc,var_ratio,shared_between,value,weighted
PC1,0.29316847175820326,技術 x 生物学,0.015365578195376983,0.007371639342003473
PC1,0.29316847175820326,技術 x 血球組成,0.10851715141915153,0.05206112601244286
PC1,0.29316847175820326,生物学 x 血球組成,0.08684392254979045,0.04166338994484102
PC1,0.29316847175820326,技術 x 生物学 x 血球組成,0.5139867102050254,0.24658523135525556
PC2,0.13689517059310888,技術 x 生物学,0.01996012459631502,0.0044714593220785415
PC2,0.13689517059310888,技術 x 血球組成,0.0934728363606217,0.020939748321159607
PC2,0.13689517059310888,生物学 x 血球組成,-0.005959212165769279,-0.0013349803836290818
PC2,0.13689517059310888,技術 x 生物学 x 血球組成,-0.009046663223909068,-0.002026629964710812
PC3,0.08286980358276266,技術 x 生物学,0.14965116842819204,0.020294311890562258
PC3,0.08286980358276266,技術 x 血球組成,-0.025880266398644602,-0.003509643149608633
PC3,0.08286980358276266,生物学 x 血球組成,0.023187585313501735,0.003144486563544769
PC3,0.08286980358276266,技術 x 生物学 x 血球組成,-0.041615406299546076,-0.005643497767280751
PC4,0.06558896205029993,技術 x 生物学,0.0051016373544546245,0.0005475682410505756
PC4,0.06558896205029993,技術 x 血球組成,-0.009540683842919173,-0.0010240193701195313
PC4,0.06558896205029993,生物学 x 血球組成,0.02954061460278551,0.0031706491962773787
PC4,0.06558896205029993,技術 x 生物学 x 血球組成,0.009682263393756496,0.0010392153670582458
PC5,0.03256324993056438,技術 x 生物学,0.0024359291204706923,0.000129804664429006
PC5,0.03256324993056438,技術 x 血球組成,0.016696729107467168,0.0008897275789527098
PC5,0.03256324993056438,生物学 x 血球組成,0.0036962465265942823,0.00019696387550830724
PC5,0.03256324993056438,技術 x 生物学 x 血球組成,0.010082536287442767,0.0005372735308209189
