pc,var_ratio,group,paper_sum,paper_sum_capped,oneway_group,unique,shapley,w_paper_sum,w_paper_sum_capped,w_oneway_group,w_unique,w_shapley
PC1,0.17002160892767634,技術,0.4718450852720859,0.4480177621781597,0.3634893631667839,-0.009542237141271226,0.12232995199331069,0.1805709552002633,0.17145244867082785,0.13910417541874637,-0.003651730046850421,0.04681459438810701
PC1,0.17002160892767634,生物学,0.6566674398234272,0.6569632582721988,0.576186473589374,0.02793210542315394,0.24741567848681834,0.25130084122726903,0.2514140483402132,0.22050148482421772,0.010689370546489715,0.09468379938751274
PC1,0.17002160892767634,細胞組成,1.4600933694733238,1.4609259322878234,0.6728306963678409,0.12033293930899414,0.34193820681897186,0.5587648629535624,0.5590834774043025,0.25748637704076316,0.046050355235873086,0.13085673784047716
PC2,0.1198920375514288,技術,0.1697869181530963,0.13927634763367927,0.107143986261521,-0.007540855526854573,0.04416594137529081,0.04581829292656768,0.037584783109546153,0.028913620679680067,-0.00203495729355783,0.011918515639031796
PC2,0.1198920375514288,生物学,0.28228549903997996,0.2813160078341164,0.23858380964527018,0.0076376402941087385,0.11747510097764705,0.07617689174541552,0.07591526716006358,0.06438365803899304,0.002061075400094651,0.03170155066551452
PC2,0.1198920375514288,細胞組成,1.2887937507316258,1.2898035841351865,0.649887763053266,0.4021261741017414,0.5203713445854612,0.34779080882842806,0.3480633200630666,0.17537716227416744,0.10851681059326383,0.14042617037968627
PC3,0.06209946471086226,技術,0.4161732670585064,0.058271784747954955,0.04899531463045212,0.01963335996362145,0.03424829948698524,0.05817097920480385,0.00814498923190941,0.006848362578993281,0.0027442699100701596,0.00478708575238024
PC3,0.06209946471086226,生物学,0.015759989703022587,0.016536010126168156,0.01447851188514005,0.013617397440827184,0.01398191685293208,0.002202866223873933,0.002311335151290546,0.0020237465509013223,0.0019033835329037296,0.001954334549751047
PC3,0.06209946471086226,細胞組成,0.28800886504234846,0.28805866337640423,0.20700443256519724,0.1744012664506408,0.19063681169786748,0.04025668880077859,0.04026364940609393,0.02893422402443613,0.02437708821543664,0.026646425627784902
PC4,0.048395714429030456,技術,0.09309972664688805,0.052276161503110284,0.059246830513535485,0.001937700467535497,0.023889407976821223,0.010141440552333953,0.005694491308216131,0.006453812822094998,0.00021107552951550804,0.002602295619473585
PC4,0.048395714429030456,生物学,0.07619327140542188,0.07765846577052131,0.06341562195154846,0.001007355665780446,0.025508631294950186,0.00829980452441813,0.008459409520978742,0.006907923183815383,0.0001097321975854659,0.002778679134368757
PC4,0.048395714429030456,細胞組成,0.0734835286749538,0.07227593213387663,0.19276850993667333,0.12812257841835056,0.15374268666379767,0.008004629707016236,0.007873085083056296,0.020998454606634614,0.013956512647665,0.016747335070818138
PC5,0.043870047877594874,技術,0.20734960794580606,0.01915668368151462,0.023012860278967644,0.00925856238112871,0.016468024896905346,0.02047461126474834,0.0018916151102792245,0.0022723909293572444,0.0009142311263669178,0.0016261251294502589
PC5,0.043870047877594874,生物学,0.016709815434344383,0.016492428395309698,0.015821156845282916,0.009122692390308551,0.012804238184652903,0.0016500005894070134,0.001628534838097789,0.0015622505360629588,0.0009008147265379162,0.0012643467328886152
PC5,0.043870047877594874,細胞組成,0.373262393805996,0.3732045651340008,0.21129238269127093,0.20229346107388857,0.20712523544943692,0.036857568666947435,0.036851858409808355,0.020863938165424027,0.01997534510878319,0.020452455738691786
