pc,var_ratio,group,paper_sum,paper_sum_capped,oneway_group,unique,shapley,w_paper_sum,w_paper_sum_capped,w_oneway_group,w_unique,w_shapley
PC1,0.17002160892767634,安定した個人属性,0.07674859042375183,0.07690298435224799,0.07551082668185846,-0.007793622413653445,0.019140415735791946,0.029371009078327504,0.029430094273905194,0.028897327804192675,-0.0029825506032177367,0.007324868394780691
PC1,0.17002160892767634,採取時の状況,0.934622828759317,0.9337464380602531,0.5958650269349519,0.04502211576425452,0.2942284307470816,0.35767191862075776,0.35733653162490225,0.22803229373901504,0.017229566869389663,0.11259862706091037
PC1,0.17002160892767634,その他の技術,0.11834972383092643,0.09370609630503375,0.10132161695999348,-0.011476501030204922,0.027641774403799266,0.04529139615285936,0.035860497112374656,0.038774889742363476,-0.0043919557881712794,0.010578263424416144
PC1,0.17002160892767634,細胞組成,1.4609155400485494,1.4607784006486646,0.6728306963678409,0.11946460795748759,0.36997143641623287,0.5590795003859316,0.5590270183463688,0.25748637704076316,0.04571805248129113,0.14158480771706972
PC2,0.1198920375514288,安定した個人属性,0.06905520703031266,0.06838207648780045,0.07010483844814203,-0.002202560137843257,0.025868855940108335,0.018635073527671197,0.018453424124347712,0.018918324559553817,-0.0005943776274511715,0.006980907787432203
PC2,0.1198920375514288,採取時の状況,0.22159139078352108,0.2219924644861525,0.21659104553491257,0.015701630338625372,0.10257383847742471,0.05979812439831216,0.059906357191463755,0.05844874315135337,0.004237204527330657,0.0276803314948171
PC2,0.1198920375514288,その他の技術,0.1615911602966477,0.13085506925896392,0.11036083656127144,-0.007619063636703727,0.04096931527573875,0.043606605251764734,0.035312237005370097,0.029781712231951377,-0.002056062347617829,0.011055881741207457
PC2,0.1198920375514288,細胞組成,1.2895852826113088,1.2889664228871958,0.6493729492939474,0.4041477112098021,0.5139274258590889,0.34800440973430785,0.347837405724645,0.17523823586049744,0.10906233777749327,0.1386872298357882
PC3,0.06209946471086226,安定した個人属性,0.005990461265404985,0.0058284179844832135,0.005763618117995344,0.005643155319209281,0.00580548847782916,0.0008373219168065104,0.0008146721767321354,0.0008056147192155046,0.0007887769270798761,0.0008114671850608135
PC3,0.06209946471086226,採取時の状況,0.023853632244480314,0.024650441325463616,0.036135257832021546,0.007261974741021637,0.020407341451646185,0.0033341621268951735,0.003445536806983798,0.005050836990957529,0.0010150488152003132,0.002852453843562602
PC3,0.06209946471086226,その他の技術,0.3958086174679711,0.04486791736366048,0.03919625045894477,0.009809176190667901,0.02305325585881049,0.05532449265313976,0.0062714520477775695,0.005478689889115394,0.0013710861061226748,0.0032222888237013144
PC3,0.06209946471086226,細胞組成,0.28876187030455613,0.2882764318004286,0.20761670699838528,0.17530076024441135,0.18971968141591172,0.04036194076412209,0.04029408817635643,0.02901980521414673,0.024502815740277684,0.02651823294751781
PC4,0.048395714429030456,安定した個人属性,0.011337072736959606,0.010999178084542743,0.012075124247550629,-0.004936212690776376,0.0013154704390218844,0.0012349579675506488,0.0011981507861135406,0.0013153546109007214,-0.000537706278634475,0.00014329542885010196
PC4,0.048395714429030456,採取時の状況,0.10956755716023762,0.10921299051076795,0.0686870146743919,0.012946609867891062,0.03919164172990756,0.011935296777180648,0.01189667349946604,0.007482140937745915,0.0014102863569886335,0.004269182295880711
PC4,0.048395714429030456,その他の技術,0.04989344173418885,0.009017114663221292,0.0068165529468864235,0.0036450723309359168,0.004886555053408951,0.0054349394087670755,0.0009822427584291326,0.0007425335065148251,0.0003970611481315191,0.0005322970256165669
PC4,0.048395714429030456,細胞組成,0.0726767466247001,0.0734422600424303,0.19297053287999416,0.1279211436102362,0.15903173211063806,0.007916746181510618,0.008000134276164968,0.021020461155350556,0.013934570165068777,0.017323475752532128
PC5,0.043870047877594874,安定した個人属性,0.009023806334546428,0.00825707815416973,0.008834698898441566,0.0009330626885902527,0.0049191785247951845,0.0008910502829429088,0.0008153401738452164,0.0008723769838714572,9.213470921787081e-05,0.0004857412996093237
PC5,0.043870047877594874,採取時の状況,0.010555967192158542,0.010466261785290658,0.009322457403601334,0.0063574285518965545,0.008020191375032255,0.00104234257746642,0.0010334846714777767,0.0009205404016042323,0.0006277604261374572,0.0007919489325274812
PC5,0.043870047877594874,その他の技術,0.2005144970518709,0.015682154880605384,0.019441254561416595,0.011192992026137744,0.015887349538261222,0.019799682385493615,0.0015485248713751694,0.0019197148892032493,0.0011052452082981308,0.001568786693380661
PC5,0.043870047877594874,細胞組成,0.37268367588982176,0.37322294602630407,0.21193528604944545,0.20066750752322762,0.20699734055565114,0.0368004235173472,0.03685367341986956,0.020927421267561676,0.019814791311676315,0.020439826834981994
