pc,var_ratio,shared_between,value,weighted
PC1,0.17002160892767634,技術 x 生物学,0.020463272649377307,0.007831114075694456
PC1,0.17002160892767634,技術 x 細胞組成,0.02470666154200396,0.009455021602856556
PC1,0.17002160892767634,生物学 x 細胞組成,0.1999294294001689,0.07651123041498774
PC1,0.17002160892767634,技術 x 生物学 x 細胞組成,0.327861666116674,0.12546976978704583
PC2,0.1198920375514288,技術 x 生物学,0.03202783911787899,0.00864295630352839
PC2,0.1198920375514288,技術 x 細胞組成,0.04884325871824213,0.013180725345533563
PC2,0.1198920375514288,生物学 x 細胞組成,0.1651045862810281,0.04455473001119408
PC2,0.1198920375514288,技術 x 生物学 x 細胞組成,0.03381374395225434,0.009124896324175917
PC3,0.06209946471086226,技術 x 生物学,-0.0013881619318610594,-0.0001940315374938245
PC3,0.06209946471086226,技術 x 細胞組成,0.03035388973838249,0.004242741253508071
PC3,0.06209946471086226,生物学 x 細胞組成,0.0018530495158647076,0.0002590116025825462
PC3,0.06209946471086226,技術 x 生物学 x 細胞組成,0.0003962268603091845,5.538295290886629e-05
PC4,0.048395714429030456,技術 x 生物学,0.007427159865579819,0.0008090474909248949
PC4,0.048395714429030456,技術 x 細胞組成,0.009664825098134572,0.001052798463664589
PC4,0.048395714429030456,生物学 x 細胞組成,0.014763961337902587,0.0016082521573150155
PC4,0.048395714429030456,技術 x 生物学 x 細胞組成,0.040217145082285605,0.004380891337990006
PC5,0.043870047877594874,技術 x 生物学,0.006723861068286985,0.0006639435827017971
PC5,0.043870047877594874,技術 x 細胞組成,0.009024318230694967,0.0008911008298175959
PC5,0.043870047877594874,生物学 x 細胞組成,0.0019684847878304046,0.00019437683635231272
PC5,0.043870047877594874,技術 x 生物学 x 細胞組成,-0.0019938814011430384,-0.00019688460952906845
