set,family,n_genes_present,internal_consistency,internal_consistency_stored,hr_n_control,hr_null_mean,hr_null_sd,hr_null_median,hr_null_p975,hr_null_skew,hr_null_z,hr_exceed,hr_p_empirical,hr_var_n_control,hr_var_null_mean,hr_var_null_sd,hr_var_null_median,hr_var_null_p975,hr_var_null_skew,hr_var_null_z,hr_var_exceed,hr_var_p_empirical,null_q_stored,null_p_stored,null_sd_stored,hr_q,hr_var_q
complex|Multisubunit ACTR coactivator complex (human),complex,4,0.14587099032012496,0.1458709903201249,10000,0.021042692515143978,0.1120526039252962,0.004521995288141345,0.2872047590764612,0.9060264604059826,1.1140151449599702,1308,0.13088691130886912,10000,0.007498419714402205,0.10108410782869802,-0.0073871959029197885,0.2534271634953622,1.0066947934950012,1.3688855110658498,922,0.0922907709229077,0.4291990788418044,0.1576183468799898,0.1139218233175707,0.3935572196205037,0.29453764580251934
complex|BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),complex,3,0.09598788482283631,0.0959878848228363,10000,0.014055716871773257,0.13794140298307733,0.0016828388768027245,0.32506681296518747,0.5640668745594508,0.5939635684372044,2518,0.2518748125187481,10000,0.025885053513509643,0.14241465723658112,0.008756489629220784,0.35579391075249034,0.663726303601233,0.4922444969471851,2793,0.2793720627937206,0.4617708254046117,0.1773942512577284,0.1125517031386092,0.5323240534464359,0.5140164944109109
complex|NCOR complex (human),complex,6,0.11781576849115899,0.1178157684911589,10000,0.015801225931097184,0.061874910104610915,0.004641144700241403,0.16415895938637604,0.9586121099717829,1.6487222751126014,698,0.06989301069893011,10000,0.01594806370028827,0.061677606173898544,0.006254442171495844,0.16552839291705906,0.9799140045351599,1.6516157339773718,675,0.0675932406759324,0.1127830605326761,0.0217858850413916,0.0540312992685221,0.3101897471543168,0.25141563677811574
complex|BLOC-1 (biogenesis of lysosome-related organelles complex 1) (human),complex,7,-0.013552263130144106,-0.013552263130144,10000,0.012853436868464308,0.050235498680880356,0.003977756800677854,0.1330929712670426,1.1022387490252585,-0.5256382576462495,6599,0.6599340065993401,10000,0.0066768554940674,0.04407964921727329,-0.0007234393578843045,0.11402210088232669,1.0291823711689654,-0.45892195113668044,6301,0.6301369863013698,0.8134856531866652,0.6092664645864379,0.0491711162261578,0.8025236257537682,0.7714170021926975
complex|9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),complex,3,-0.08569106659018015,-0.0856910665901802,10000,0.029733866889992924,0.15748464486524485,0.01373690799608914,0.3839087749347882,0.6057404691658897,-0.7329281758163719,7487,0.7487251274872513,10000,0.010191143392393952,0.14834193784694918,-0.0064098054283786565,0.3507213793370928,0.7307722614355668,-0.646359427241,7243,0.7243275672432756,0.9017835924835094,0.8217155524202211,0.1790518079811273,0.8573039409674056,0.8383853557772185
complex|Arp2/3 protein complex (human),complex,5,-0.04599487504194131,-0.0459948750419413,10000,0.035813920281737396,0.09380817605979262,0.01820760409563702,0.25926689626154076,0.9399364751001712,-0.872085981839519,8104,0.8104189581041896,10000,-0.00011674976458745825,0.06018477574180691,-0.008596548906278745,0.14106380762195456,0.883951950935771,-0.7622878828056338,7688,0.7688231176882312,0.8908767517763414,0.7697940180281212,0.0710882421601635,0.8912172410013508,0.8629885988906223
complex|PA700 complex (human),complex,18,0.04288702362784255,0.0428870236278425,10000,0.018841578765877307,0.029427344413142365,0.012637913795326961,0.09285666392575785,1.2606110983118275,0.8171122927159699,1788,0.17888211178882113,10000,0.019240598515204956,0.023910746784770648,0.01471698888702836,0.07711628043340665,1.0928079822430328,0.9889454865415829,1545,0.15458454154584542,0.2290271176652923,0.0582219278620652,0.0204464893579214,0.46082671920381235,0.37246220493208637
complex|AP1 adaptor complex (human),complex,5,-0.012159328289552018,-0.012159328289552,10000,0.016822401099674214,0.08147523222491347,0.004366970267666814,0.21172955496206328,0.9615854656208527,-0.3557121421786412,5837,0.5837416258374163,10000,0.03468944479170049,0.0858630631582794,0.01998787760712617,0.24296179078589908,1.030498298997996,-0.5456219631355544,6697,0.6697330266973303,0.8432975327469034,0.6723328848779412,0.0960398501738391,0.7530856785061798,0.7989478226090434
complex|immunoproteasome (mouse),complex,12,0.19816996473813697,0.1981699647381369,10000,0.039191823044632784,0.04861911998556694,0.0294564655713875,0.15853726631349044,1.0912557763298054,3.2698687623449043,77,0.007799220077992201,10000,0.015652823673383512,0.029401305907395484,0.01071408921503897,0.08734040315073986,1.0939334206081512,6.2077902811399905,0,9.999000099990002e-05,4.520366744378963e-11,1.1326659268375534e-12,0.0258566403413281,0.10973902609739028,0.002552070374357913
complex|Mi-2/NuRD-MTA2 complex (human),complex,5,0.01771858189650506,0.017718581896505,10000,0.013003062175969523,0.06992357106447507,0.0028386828803671714,0.1775977841456418,0.8810808618825099,0.06743819929030016,4138,0.41385861413858616,10000,0.019327167851847044,0.06854928733790562,0.009694599582210328,0.18033778993624913,0.8673807751467797,-0.02346612222841429,4512,0.45125487451254875,0.7102036380255303,0.4115974142209533,0.057027620820723,0.6549528897146335,0.6458598931773489
"complex|Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN variant) (human)",complex,4,-0.00229527226677928,-0.0022952722667792,10000,0.01666551866974778,0.09980171022029237,0.0037343554386610003,0.24876322729847436,0.7444569103911414,-0.18998462946852207,5225,0.5225477452254774,10000,0.033269561609536286,0.10123038071122444,0.018551139541008732,0.27586024793179714,0.857910391247296,-0.3513256951761334,5883,0.5883411658834117,0.8223971763247041,0.6321304740081042,0.077742735345962,0.7104837503865712,0.7434708457766774
complex|DNA polymerase alpha-primase complex (mouse),complex,4,0.0164222795871171,0.0164222795871171,10000,0.01617740578537593,0.08674054791886367,0.004989325258953792,0.2194021648934058,0.7685261058042161,0.002823060352007718,4472,0.44725527447255276,10000,-9.879777251030081e-05,0.07276864197254551,-0.006222535203645388,0.16277689723566136,0.5737023737438275,0.2270356696482057,3733,0.37336266373362664,0.770622634009688,0.5252079643601202,0.1059109217865708,0.6664801951576736,0.5900151525524194
complex|DNMT3B complex (human),complex,6,0.0013542985788658867,0.0013542985788659,10000,0.008391600363311,0.04906035654182333,0.0010778917859964358,0.12360161794258431,0.8920316642389223,-0.14344171711116496,4970,0.49705029497050296,10000,0.008373876017866098,0.05270221818436484,0.0009297893373453104,0.13327072351924596,0.9501332895835509,-0.13319320667764054,4961,0.4961503849615039,0.8223971763247041,0.634655521115293,0.035840675224756,0.6958070136863864,0.6768490335553146
complex|CCT complex (chaperonin containing TCP1 complex) (mouse),complex,8,0.040788846548133195,0.0407888465481331,10000,0.014976183189611851,0.050898922709439895,0.0051612218336046945,0.1409976580027893,1.137613760102858,0.5071357503158713,2511,0.2511748825117488,10000,0.018378351961461925,0.04657302002142281,0.010039678029863768,0.13333405450167515,1.0672085173092856,0.4811904956209157,2644,0.26447355264473554,0.5959703123952496,0.2826446902977015,0.049120638229739,0.532170721151823,0.5026142407404282
complex|SMRT complex (human),complex,5,0.12160627117359923,0.1216062711735991,10000,0.018741603078221904,0.08288949602954739,0.0038877569243757513,0.2149653848859739,0.9303892973001069,1.2409855653931043,1141,0.1141885811418858,10000,0.02195225310095139,0.07515674269844091,0.010721620612397297,0.2011619638276455,0.876672116649944,1.3259491363602578,990,0.09909009099090091,0.2750858733620807,0.0761969070633918,0.0836555177813032,0.37109972434709193,0.3046256998949965
complex|AP3 adapter complex (human),complex,5,0.08454692556634305,0.084546925566343,10000,0.01702746713695057,0.08147938641711738,0.004108490004437604,0.21279691406630527,0.9149094588967752,0.8286692057760493,1824,0.18248175182481752,10000,0.03698028449740775,0.08021654804571815,0.025617213797880713,0.2247174203926789,0.8577884147754398,0.5929779107650637,2405,0.2405759424057594,0.5063817150599121,0.2041675707644748,0.0821884472186589,0.4652118992514221,0.4746484021858371
complex|Interferon-stimulated gene factor 3 transcription complex ISGF3 (human),complex,3,0.495481161585003,0.4954811615850028,10000,0.05358469818488815,0.16437169611129662,0.03766758486576978,0.4227500063137459,0.5503029576935249,2.6883975395673065,97,0.009799020097990201,10000,0.012616557934935973,0.1496577423550604,-0.007538613068372446,0.40856419095654956,1.4354081175435658,3.226459226576324,148,0.014898510148985102,0.0796843346948822,0.013686102132105,0.2003779813166581,0.12505144834353774,0.10093280795377252
complex|Mi2/NuRD complex (human),complex,7,-0.06950777518527625,-0.0695077751852762,10000,0.014979193113532498,0.05873668616687738,0.0035926504900755793,0.15572342550629797,1.0914164003223887,-1.4384020245672693,9783,0.9783021697830216,10000,0.02563644326570667,0.057705328186575096,0.016720604099244897,0.1666339398781885,1.0690864269516425,-1.6487943391181998,9938,0.9938006199380062,0.9575322808941528,0.944445279332957,0.0504469913932123,0.9859381371321086,0.9969800551937493
complex|AP4 adaptor complex (human),complex,3,0.2654515410952727,0.2654515410952727,10000,0.009260101407785066,0.10051006991574146,0.0034033347403968537,0.2241720874688374,0.384223211884439,2.5489131576791793,112,0.0112988701129887,10000,0.02095721837083702,0.10015790640866161,0.012723100734920187,0.2420057937641833,0.4291794164043937,2.4410885919166128,153,0.015398460153984602,0.0023334531488586,0.0001775337931022,0.0694144823460957,0.13626934009895714,0.10242309102423092
