set,family,n_genes_present,ic_day0,icc,retest_rho,hr_ic_null_mean,hr_ic_null_sd,hr_ic_null_skew,hr_ic_z,hr_ic_exceed,hr_ic_p_empirical,hr_ic_n_control,hr_icc_null_mean,hr_icc_null_sd,hr_icc_null_skew,hr_icc_z,hr_icc_exceed,hr_icc_p_empirical,hr_icc_n_control,hr_rho_null_mean,hr_rho_null_sd,hr_rho_null_skew,hr_rho_z,hr_rho_exceed,hr_rho_p_empirical,hr_rho_n_control,icc_q_stored,ic_q_stored,retest_rho_q_stored,hr_ic_q,hr_icc_q,hr_rho_q
complex|Multisubunit ACTR coactivator complex (human),complex,4,0.3068580542264752,0.45698100198000874,0.5339029391660971,0.05051355889724308,0.12341292306967534,0.677359396183147,2.0771284639657024,357,0.0357964203579642,10000,0.4435455948226898,0.12703648769541862,-0.258252264757756,0.10576022213028702,4801,0.4801519848015198,10000,0.46091060833902936,0.1303098287624276,-0.2611620177991398,0.5601444765931095,3014,0.30146985301469853,10000,0.999999873896792,0.1415380819015844,0.9999999961394392,0.10642316450173164,1.0,1.0
complex|BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),complex,3,0.006311232627022119,0.26490655098780513,0.2692412850307587,0.007631679197994984,0.1599943536050801,0.5323456048846635,-0.008253082319593423,4675,0.46755324467553244,10000,0.4313792479255103,0.13830912865502382,-0.3181524580071914,-1.2036276893402174,8799,0.8799120087991201,10000,0.43752762816131235,0.14108191551607852,-0.3378192332877103,-1.1928271778488486,8781,0.8781121887811218,10000,0.999999873896792,0.7421968183832948,0.9999999961394392,0.618186317817997,1.0,1.0
complex|NCOR complex (human),complex,5,-0.03653451811346549,0.496064023338626,0.4856459330143541,0.06395205263157894,0.0983141406867618,0.7282775270897717,-1.0220968219129758,8545,0.8545145485451455,10000,0.43134818490550586,0.12483118716842312,-0.2085929284349264,0.518426844293366,3161,0.31616838316168383,10000,0.45845109364319886,0.13196510385301416,-0.3065683366260037,0.20607598961499318,4371,0.43715628437156284,10000,0.9749173797280134,0.8508052534835735,0.9999999961394392,0.8955928643490183,1.0,1.0
complex|9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),complex,3,-0.2119161540214172,0.3178158045965922,0.2891319207108681,0.03022848712690818,0.15779496334675427,0.49789284469837103,-1.5345524091045464,9588,0.9588041195880412,10000,0.460797966626231,0.13473941451223387,-0.3017070169440516,-1.061175473763518,8531,0.8531146885311469,10000,0.46883433356117565,0.13512608745807775,-0.3101363162542427,-1.329886894757161,8988,0.8988101189881011,10000,0.999999873896792,0.9402093744321144,0.9999999961394392,0.9666555984093306,1.0,1.0
complex|PA700 complex (human),complex,18,0.25428544623591065,0.4228278996271172,0.503485987696514,0.045382680855436265,0.03582298006238941,0.7605894166531149,5.831529510293357,0,9.999000099990002e-05,10000,0.41764231798009943,0.10902066176476585,-0.2108657151891647,0.04756512722521085,4897,0.48975102489751027,10000,0.4440205536568694,0.11743035563558145,-0.2533461461342071,0.5063889461782959,3184,0.3184681531846815,10000,0.999999873896792,3.559185909537095e-16,0.9999999961394392,0.0008018355252597347,1.0,1.0
complex|AP1 adaptor complex (human),complex,5,0.010806561859193441,0.4708964606890293,0.42146274777853726,0.04396000751879699,0.1013850309008022,0.7875232484401696,-0.32700533170465523,5839,0.583941605839416,10000,0.4312188331638531,0.12451428555256422,-0.23768631255893807,0.3186592393723859,3936,0.39366063393660633,10000,0.4470374162679425,0.13036948844250476,-0.28609629111170615,-0.19617065921589574,5914,0.5914408559144085,10000,0.9450805396894022,0.5661629410501524,0.9999999961394392,0.7016014816428804,1.0,1.0
complex|immunoproteasome (mouse),complex,11,0.3280519480519481,0.4187529337658382,0.4495557074504444,0.04886238811905796,0.04720566777333399,0.8729160409566112,5.914322857870926,0,9.999000099990002e-05,10000,0.4006463894637864,0.11405057142348067,-0.1811738225499521,0.15875890910550988,4506,0.45065493450654937,10000,0.4357218523581681,0.1261820674535818,-0.25896240171784807,0.10963408169996315,4765,0.47655234476552344,10000,0.999999873896792,6.945946092260022e-11,0.9999999961394392,0.0008018355252597347,1.0,1.0
complex|Mi-2/NuRD-MTA2 complex (human),complex,5,-0.056527682843472336,0.285916391562288,0.23383458646616542,0.028424461380724533,0.09300278776912653,0.750643264113514,-0.9134365352045696,8191,0.8191180881911809,10000,0.43753486478242193,0.12651575841739496,-0.2438182220069206,-1.1984157160874873,8795,0.8795120487951205,10000,0.4474898974709501,0.13089757038307875,-0.28073598398639543,-1.6322328243336446,9393,0.9393060693930607,10000,0.999999873896792,0.8908165786140614,0.9999999961394392,0.8734709310525901,1.0,1.0
"complex|Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN variant) (human)",complex,4,0.5214855320118478,0.6535689203545935,0.6214627477785374,0.052346804511278176,0.1217432167519844,0.7223309393173427,3.8535101997206156,11,0.0011998800119988001,10000,0.4366950849037096,0.1280775984971714,-0.20765324389336642,1.6933002960363401,362,0.0362963703629637,10000,0.45707030075187965,0.13376926698832653,-0.2880741914701233,1.2289253782111518,1046,0.10468953104689531,10000,0.6546990428633584,0.0127862889777163,0.9999999961394392,0.0068243175682431755,0.571190249396113,1.0
complex|DNA polymerase alpha-primase complex (mouse),complex,3,0.4459557985873775,0.48849797047969523,0.47662337662337667,0.023979407609933924,0.171358630836155,0.5206881410145489,2.462533628556576,142,0.014298570142985701,10000,0.43727107079346045,0.13808772536527952,-0.36030523892590877,0.3709735934220491,3777,0.37776222377762225,10000,0.44311765550239235,0.14149506406544662,-0.3908297135755731,0.23679780875951054,4339,0.43395660433956607,10000,0.999999873896792,0.0153921913057215,0.9999999961394392,0.0532507247495891,1.0,1.0
