set,family,n_genes_present,internal_consistency,null_all_mean,null_annot_mean,null_pc1_mean,p_all,p_annot,p_pc1,q_all,q_annot,q_pc1,pass_all,pass_annot,pass_pc1
complex|Multisubunit ACTR coactivator complex (human),complex,4,0.14587099032012496,0.021211208230058492,0.02010675329577557,0.02403782554126846,0.1337866213378662,0.1252874712528747,0.06989301069893011,0.3961239138535676,0.3932574164679849,0.2759265440362439,False,False,False
complex|BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),complex,3,0.09598788482283631,0.014048257857006308,0.013129692601732523,0.00836071284901491,0.25747425257474255,0.2528747125287471,0.1488851114888511,0.53691876776235,0.54195019522438,0.3923203117863484,False,False,False
complex|NCOR complex (human),complex,6,0.11781576849115899,0.014838413418695183,0.015798930135691426,0.010521915347093694,0.0680931906809319,0.06259374062593741,0.054594540545945404,0.307891275649763,0.30874890039085984,0.261078467316667,False,False,False
complex|BLOC-1 (biogenesis of lysosome-related organelles complex 1) (human),complex,7,-0.013552263130144085,0.012894729568072751,0.01251467954387435,0.006439959893537353,0.6563343665633437,0.6662333766623337,0.6061393860613938,0.8008081904427679,0.8124345898743459,0.7659619760534021,False,False,False
complex|9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),complex,3,-0.08569106659018022,0.025721400578339187,0.029017721423082368,0.013300114459200603,0.7476252374762524,0.7595240475952405,0.7846215378462154,0.8569495346916248,0.8714873415951662,0.8752356471669906,False,False,False
complex|Arp2/3 protein complex (human),complex,5,-0.04599487504194135,0.03666274210962107,0.03876138944810641,0.03234701004426838,0.8116188381161884,0.8195180481951805,0.7212278772122788,0.8903065215717308,0.899509199929158,0.8377326288535167,False,False,False
complex|PA700 complex (human),complex,18,0.04288702362784255,0.019373919332464767,0.020311293436010062,0.013658093543616107,0.18168183181681832,0.19018098190180982,0.14458554144585542,0.46696911105142414,0.4844793620290347,0.3875661214366368,False,False,False
complex|AP1 adaptor complex (human),complex,5,-0.012159328289552018,0.016781962569406114,0.017618646093775368,0.023461894651535323,0.5895410458954105,0.5903409659034097,0.7231276872312768,0.7582085962464093,0.764934132324666,0.8389351339707466,False,False,False
complex|immunoproteasome (mouse),complex,12,0.19816996473813697,0.03887210536666796,0.041476889226633326,0.034528924218809195,0.006799320067993201,0.0071992800719928,0.017198280171982803,0.10222265444688408,0.10749945413621903,0.15337020514815988,False,False,False
complex|Mi-2/NuRD-MTA2 complex (human),complex,5,0.01771858189650506,0.012713289051422758,0.01398672202920198,0.0047071889036810945,0.40805919408059194,0.41755824417558246,0.38176182381761825,0.6487466304020829,0.6680323221322183,0.6202569972462414,False,False,False
"complex|Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN variant) (human)",complex,4,-0.0022952722667792433,0.01663076118074272,0.018532320112348614,0.05238937443852757,0.5203479652034797,0.531046895310469,0.5075492450754925,0.7101001080016222,0.7242503754581171,0.7027996822483997,False,False,False
complex|DNA polymerase alpha-primase complex (mouse),complex,4,0.0164222795871171,0.01607035626215397,0.01727468994995906,0.026795433132015035,0.45155484451554845,0.4507549245075492,0.5214478552144786,0.6701574602512703,0.6840677369719835,0.7135773330397633,False,False,False
