set,family,icc,最大相関の相手,最大相関,最大絶対相関,対照の最大絶対相関 中央値,超過,経験p,マーカーと共有する遺伝子数,重複除去後の最大絶対相関,重複除去後の相手,重複除去後の対照 中央値,重複除去後の超過,重複除去後の経験p,rho_B Cells,rho_Monocytes,rho_Neutrophils,rho_NK Cells,rho_Platelets,rho_T Cells,rho_T Cells Naive,rho_T Memory Cells,q,重複除去後のq
pathway|Binding of TCF LEF CTNNB1 to Target Gene Promoters,pathway,0.8077548361145754,T Cells,0.534,0.534,0.432,0.102,0.2448,1,0.457,NK Cells,0.423,0.034,0.4146,0.027,-0.446,-0.497,0.394,-0.395,0.534,0.387,0.527,0.2567,0.4837000000000001
pathway|RUNX3 Regulates WNT Signaling,pathway,0.8170223511101851,T Cells,0.534,0.534,0.43,0.104,0.2567,1,0.457,NK Cells,0.42,0.037,0.4086,0.027,-0.446,-0.497,0.394,-0.395,0.534,0.387,0.527,0.2567,0.4837000000000001
celltype|Alveolar Macrophages,celltype,0.6067663978419214,Neutrophils,0.988,0.988,0.734,0.254,0.001,87,0.769,Monocytes,0.447,0.322,0.004,0.152,0.986,0.988,-0.069,0.847,-0.365,-0.151,-0.384,0.0011333333333333334,0.009333333333333334
celltype|Basophils,celltype,0.5930123200364094,Monocytes,0.979,0.979,0.675,0.305,0.001,82,0.71,Monocytes,0.532,0.178,0.043,0.223,0.979,0.971,0.01,0.87,-0.278,-0.07,-0.292,0.0011333333333333334,0.06688888888888887
celltype|Eosinophils,celltype,0.546976466645058,Monocytes,0.943,0.943,0.705,0.238,0.001,99,0.51,Neutrophils,0.388,0.122,0.2258,0.4,0.943,0.922,0.213,0.876,-0.061,0.178,-0.076,0.0011333333333333334,0.31612
celltype|Hematopoietic Stem Cells,celltype,0.5710203529585554,Monocytes,0.975,0.975,0.715,0.26,0.001,53,0.903,Neutrophils,0.63,0.273,0.001,0.207,0.975,0.971,0.018,0.902,-0.264,-0.064,-0.284,0.0011333333333333334,0.0028
celltype|Kupffer Cells,celltype,0.5922740112187429,Monocytes,0.992,0.992,0.725,0.267,0.001,91,0.784,Monocytes,0.531,0.252,0.007,0.214,0.992,0.99,-0.011,0.859,-0.307,-0.081,-0.321,0.0011333333333333334,0.014
celltype|Macrophages,celltype,0.5336104818438653,Monocytes,0.979,0.979,0.7,0.279,0.001,112,0.817,Monocytes,0.58,0.237,0.001,0.281,0.979,0.959,0.033,0.863,-0.249,-0.032,-0.262,0.0011333333333333334,0.0028
celltype|Megakaryocytes,celltype,0.6325393206198285,Monocytes,0.939,0.939,0.684,0.255,0.001,96,0.205,T Memory Cells,0.442,-0.237,0.952,0.349,0.939,0.935,0.119,0.885,-0.146,0.088,-0.165,0.0011333333333333334,0.952
celltype|Microglia,celltype,0.5719088224592918,Monocytes,0.985,0.985,0.738,0.247,0.001,95,0.859,Monocytes,0.568,0.292,0.001,0.318,0.985,0.965,0.081,0.885,-0.201,0.028,-0.204,0.0011333333333333334,0.0028
celltype|Monocytes,celltype,0.5818468565565496,Monocytes,0.999,0.999,0.76,0.239,0.001,144,,,,,,0.235,0.999,0.983,0.014,0.867,-0.276,-0.056,-0.291,0.0011333333333333334,
celltype|Myeloid-derived Suppressor Cells,celltype,0.6039259804827177,Monocytes,0.987,0.987,0.74,0.247,0.001,97,0.442,Monocytes,0.431,0.011,0.4795,0.27,0.987,0.981,0.048,0.88,-0.237,-0.007,-0.246,0.0011333333333333334,0.5163846153846153
celltype|Neutrophils,celltype,0.6414391888036711,Neutrophils,0.999,0.999,0.709,0.289,0.001,114,,,,,,0.178,0.985,0.999,-0.047,0.87,-0.337,-0.118,-0.35,0.0011333333333333334,
celltype|Osteoclasts,celltype,0.617818032337657,Monocytes,0.967,0.967,0.656,0.311,0.001,35,0.916,Monocytes,0.616,0.301,0.001,0.211,0.967,0.966,-0.017,0.852,-0.308,-0.092,-0.334,0.0011333333333333334,0.0028
celltype|Platelets,celltype,0.596063938821906,Platelets,0.986,0.986,0.697,0.289,0.001,143,,,,,,0.318,0.92,0.912,0.141,0.986,-0.119,0.094,-0.125,0.0011333333333333334,
celltype|Red Pulp Macrophages,celltype,0.6111555976670547,Monocytes,0.985,0.985,0.744,0.242,0.001,74,0.911,Monocytes,0.53,0.381,0.001,0.188,0.985,0.985,-0.06,0.85,-0.353,-0.128,-0.356,0.0011333333333333334,0.0028
data_derived|MODULE_0201,data_derived,0.6712590486854071,T Cells,0.853,0.853,0.501,0.352,0.001,18,0.658,T Cells,0.41,0.248,0.035,0.13,-0.29,-0.328,0.831,-0.099,0.853,0.746,0.762,0.0011333333333333334,0.061250000000000006
