set,family,n_genes_present,icc,icc_null_mean,icc_p_empirical,icc_q
pathway|RUNX3 Regulates WNT Signaling,pathway,6,0.8170223511101851,0.4356381025180028,9.999000099990002e-05,0.0160983901609839
pathway|Binding of TCF LEF CTNNB1 to Target Gene Promoters,pathway,7,0.8077548361145754,0.4333173134885144,9.999000099990002e-05,0.0160983901609839
data_derived|MODULE_0201,data_derived,23,0.6712590486854071,0.3622459506762394,0.0003999600039996,0.0492421346100684
celltype|Neutrophils,celltype,120,0.6414391888036711,0.3248238600207832,9.999000099990002e-05,0.0160983901609839
celltype|Megakaryocytes,celltype,120,0.6325393206198285,0.3250356561583838,9.999000099990002e-05,0.0160983901609839
celltype|Osteoclasts,celltype,87,0.617818032337657,0.3494554525428295,9.999000099990002e-05,0.0160983901609839
celltype|Red Pulp Macrophages,celltype,88,0.6111555976670547,0.3326150554619347,0.0001999800019998,0.0279038762790387
celltype|Alveolar Macrophages,celltype,100,0.6067663978419214,0.3280147391114967,9.999000099990002e-05,0.0160983901609839
celltype|Myeloid-derived Suppressor Cells,celltype,104,0.6039259804827177,0.3219984509804058,9.999000099990002e-05,0.0160983901609839
celltype|Platelets,celltype,165,0.596063938821906,0.3146807090119891,9.999000099990002e-05,0.0160983901609839
celltype|Basophils,celltype,118,0.5930123200364094,0.3340492423182782,9.999000099990002e-05,0.0160983901609839
celltype|Kupffer Cells,celltype,110,0.5922740112187429,0.3226894293719552,9.999000099990002e-05,0.0160983901609839
celltype|Monocytes,celltype,151,0.5818468565565496,0.312143611133787,9.999000099990002e-05,0.0160983901609839
celltype|Microglia,celltype,123,0.5719088224592918,0.3139242829587563,9.999000099990002e-05,0.0160983901609839
celltype|Hematopoietic Stem Cells,celltype,112,0.5710203529585554,0.330486126802794,9.999000099990002e-05,0.0160983901609839
celltype|Eosinophils,celltype,111,0.546976466645058,0.3191533177437365,0.0001999800019998,0.0279038762790387
celltype|Macrophages,celltype,156,0.5336104818438653,0.3196242911585593,0.0003999600039996,0.0492421346100684
