set,family,n_genes_present,rho_day0,p_day0,rho_day-7,p_day-7,rho_day0_adj,p_day0_adj,abs_rho_null_mean,abs_rho_z,abs_rho_p,abs_rho_null_mean_day-7,abs_rho_z_day-7,q_day0,abs_rho_q,ic_q,icc_q,ic_day0,icc,cohens_d,delta_q,internal_consistency
complex|Multisubunit ACTR coactivator complex (human),complex,4,-0.3402694458159564,0.02746057952275462,-0.14708702292889483,0.352611944332146,-0.301703283080074,0.052165150734099504,0.15648037664437758,1.7536393563234147,0.03974616142219846,0.08447483079290112,0.8708208246282704,0.4857625830347534,0.40187785438000667,0.1415380819015844,0.999999873896792,0.3068580542264752,0.4569810019800087,1.7893119713403467,5.971134507434128e-26,0.1458709903201249
complex|BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),complex,3,0.09297503167365567,0.5581215628016012,-0.07885886004185416,0.6196017168853798,0.11143556746022089,0.482315383720436,0.12120737493725872,-0.3531674410133905,0.6380185422811964,0.10835033096026911,-0.4243959811533808,0.8270844989125001,0.9575854850937996,0.7421968183832948,0.999999873896792,0.0063112326270221,0.2649065509878051,0.5029462943282527,5.833380351201199e-09,0.0959878848228363
complex|NCOR complex (human),complex,5,0.06665969937239608,0.6748989659622525,0.1282654607531595,0.4182155654752717,0.1060016642434561,0.5040545822458425,0.14364511688286916,-0.7520837250889983,0.7739996447306323,0.10223332325315512,0.3487075757885889,0.8770401152061406,0.9575854850937996,0.8508052534835735,0.9749173797280134,-0.0365345181134654,0.496064023338626,0.135454736790476,0.0847428839961444,0.1178157684911589
complex|9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),complex,3,0.11597916322177666,0.4645217562675916,0.0029626533054398253,0.9851436305840214,-0.0031630182903556146,0.9841390138884888,0.13240010485148654,-0.19419506739009257,0.5769884274965311,0.12670571092470737,-1.2490702687074806,0.7852714064645103,0.9575854850937996,0.9402093744321144,0.999999873896792,-0.2119161540214172,0.3178158045965922,-0.1565769773858476,0.0336388804440491,-0.0856910665901802
complex|PA700 complex (human),complex,18,0.20119901418413402,0.2013619573223574,0.04017009334728704,0.8005948067027302,0.25360918446005143,0.10510489210802933,0.10148394624060271,1.471322159151325,0.07060200669459174,0.09812482021340552,-0.9900683463075384,0.5886181238487347,0.4883983857688208,3.559185909537095e-16,0.999999873896792,0.2542854462359106,0.4228278996271172,0.4942622212104186,7.76714297253887e-08,0.0428870236278425
complex|AP1 adaptor complex (human),complex,5,0.19387951778245915,0.21859303379530387,-0.006099580334729052,0.969418862881039,0.1886456549581323,0.23152222066176573,0.14531378778872717,0.4958313808573102,0.3100066912863214,0.0841611380899722,-1.3325276563998592,0.5991031748931795,0.8034300862339367,0.5661629410501524,0.9450805396894022,0.0108065618591934,0.4708964606890293,0.3397877136339614,6.852853041599485e-05,-0.012159328289552
complex|immunoproteasome (mouse),complex,11,0.21670937560673076,0.1680494563767567,-0.035813250251052,0.8218515556353029,0.2934307737052978,0.059293373883052176,0.16528119969877236,0.5578476240000974,0.28847421962157954,0.07716840492051497,-0.7841249788035802,0.5606597962433852,0.7859206431445838,6.945946092260022e-11,0.999999873896792,0.3280519480519481,0.4187529337658382,0.2911096367392742,0.0007401734938573,0.1981699647381369
complex|Mi-2/NuRD-MTA2 complex (human),complex,5,0.32536904242683257,0.035501990977579945,0.1291368293724065,0.41503405194020654,0.19910794622623162,0.20618422416008905,0.16417891839542492,1.3981211674774636,0.08103834220228556,0.08119412794143616,0.8786542033984209,0.48627586911918697,0.507227652697785,0.8908165786140614,0.999999873896792,-0.0565276828434723,0.285916391562288,0.4104299044821946,8.713183505934759e-07,0.017718581896505
"complex|Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN variant) (human)",complex,4,0.09907461200838474,0.5324708288579764,-0.03825308238494362,0.8099312445954779,0.19643154613439226,0.21247326700594904,0.1901674874644669,-0.8316590349717758,0.7971992852309338,0.0958854028619407,-0.923349094078157,0.821597399541051,0.9575854850937996,0.0127862889777163,0.6546990428633584,0.5214855320118478,0.6535689203545935,0.8352676645179994,3.283500829801664e-16,-0.0022952722667792
complex|DNA polymerase alpha-primase complex (mouse),complex,3,-0.08635263016737843,0.5866082745318107,-0.15527788794981673,0.32613974679353436,-0.11459858575057648,0.4698908923459799,0.12842230710462393,-0.4194696687105092,0.6625635413616313,0.11162232012554163,0.5948577758111446,0.8444092975206877,0.9575854850937996,0.0153921913057215,0.999999873896792,0.4459557985873775,0.4884979704796952,-1.355234228399137,2.4459327382647293e-24,0.0164222795871171
