set,family,n_genes_present,coverage,ic_day0,ic_null_mean,ic_z,ic_p,ic_p_empirical,icc,icc_null_mean,icc_z,icc_p,icc_p_empirical,n_control,retest_rho,retest_rho_null,retest_rho_p,retest_rho_p_empirical,retest_tertile_swap,ic_q,icc_q,retest_rho_q,ic_q_normal,icc_q_normal,retest_rho_q_normal
complex|Multisubunit ACTR coactivator complex (human),complex,4,1.0,0.3068580542264752,0.05051355889724308,2.0771284639657024,0.018894852054258247,0.0357964203579642,0.45698100198000874,0.4435455948226898,0.10576022213028702,0.4578862989343982,0.4801519848015198,10000,0.5339029391660971,0.46091060833902936,0.28769044770877705,0.30146985301469853,0.10204081632653061,0.10642316450173164,1.0,1.0,0.05682029504247487,0.9999954046225645,0.9999999835291469
complex|BLOC-2 (biogenesis of lysosome-related organelles complex 2) (human),complex,3,1.0,0.006311232627022119,0.007631679197994984,-0.008253082319593423,0.5032924661040511,0.46755324467553244,0.26490655098780513,0.4313792479255103,-1.2036276893402174,0.8856332438342068,0.8799120087991201,10000,0.2692412850307587,0.43752762816131235,0.8835314680756594,0.8781121887811218,0.16,0.618186317817997,1.0,1.0,0.6704329301709357,0.9999954046225645,0.9999999835291469
complex|NCOR complex (human),complex,5,0.8333333333333334,-0.03653451811346549,0.06395205263157894,-1.0220968219129758,0.8466324613951997,0.8545145485451455,0.496064023338626,0.43134818490550586,0.518426844293366,0.3020802446055426,0.31616838316168383,10000,0.4856459330143541,0.45845109364319886,0.4183657768722303,0.43715628437156284,0.10638297872340426,0.8955928643490183,1.0,1.0,0.8882214244111042,0.9802386852083732,0.9999999835291469
complex|9S-cytosolic aryl hydrocarbon (Ah) receptor non-ligand activated complex (mouse),complex,3,0.75,-0.2119161540214172,0.03022848712690818,-1.5345524091045464,0.9375530948390537,0.9588041195880412,0.3178158045965922,0.460797966626231,-1.061175473763518,0.8556949183477989,0.8531146885311469,10000,0.2891319207108681,0.46883433356117565,0.908222230022701,0.8988101189881011,0.24489795918367346,0.9666555984093306,1.0,1.0,0.9434128016817978,0.9999954046225645,0.9999999835291469
complex|PA700 complex (human),complex,18,0.9,0.25428544623591065,0.045382680855436265,5.831529510293357,2.7460797991229996e-09,9.999000099990002e-05,0.4228278996271172,0.41764231798009943,0.04756512722521085,0.48103141249944986,0.48975102489751027,10000,0.503485987696514,0.4440205536568694,0.3062918164515587,0.3184681531846815,0.08163265306122448,0.0008018355252597347,1.0,1.0,2.5098449867093617e-08,0.9999954046225645,0.9999999835291469
complex|AP1 adaptor complex (human),complex,5,0.625,0.010806561859193441,0.04396000751879699,-0.32700533170465523,0.6281680736991934,0.583941605839416,0.4708964606890293,0.4312188331638531,0.3186592393723859,0.37499246336370906,0.39366063393660633,10000,0.42146274777853726,0.4470374162679425,0.5777617037989378,0.5914408559144085,0.09615384615384616,0.7016014816428804,1.0,1.0,0.75430624110867,0.9999954046225645,0.9999999835291469
complex|immunoproteasome (mouse),complex,11,0.7857142857142857,0.3280519480519481,0.04886238811905796,5.914322857870926,1.666218298999008e-09,9.999000099990002e-05,0.4187529337658382,0.4006463894637864,0.15875890910550988,0.4369294119576844,0.45065493450654937,10000,0.4495557074504444,0.4357218523581681,0.45634979014128946,0.47655234476552344,0.1,0.0008018355252597347,1.0,1.0,1.5362973126893938e-08,0.9999954046225645,0.9999999835291469
complex|Mi-2/NuRD-MTA2 complex (human),complex,5,1.0,-0.056527682843472336,0.028424461380724533,-0.9134365352045696,0.8194935011305853,0.8191180881911809,0.285916391562288,0.43753486478242193,-1.1984157160874873,0.8846223914398008,0.8795120487951205,10000,0.23383458646616542,0.4474898974709501,0.9486847757920811,0.9393060693930607,0.17307692307692307,0.8734709310525901,1.0,1.0,0.8738708547335065,0.9999954046225645,0.9999999835291469
"complex|Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN variant) (human)",complex,4,1.0,0.5214855320118478,0.052346804511278176,3.8535101997206156,5.821820526316643e-05,0.0011998800119988001,0.6535689203545935,0.4366950849037096,1.6933002960363401,0.04519916090905285,0.0362963703629637,10000,0.6214627477785374,0.45707030075187965,0.10954989268189486,0.10468953104689531,0.10638297872340426,0.0068243175682431755,0.571190249396113,1.0,0.00033000160884367476,0.7282966200284733,0.9999999835291469
complex|DNA polymerase alpha-primase complex (mouse),complex,3,0.75,0.4459557985873775,0.023979407609933924,2.462533628556576,0.006897961739828923,0.014298570142985701,0.48849797047969523,0.43727107079346045,0.3709735934220491,0.3553285999853224,0.37776222377762225,10000,0.47662337662337667,0.44311765550239235,0.40640682578738785,0.43395660433956607,0.10204081632653061,0.0532507247495891,1.0,1.0,0.02426459482598645,0.9999954046225645,0.9999999835291469
complex|CCT complex (chaperonin containing TCP1 complex) (mouse),complex,8,1.0,0.21114149008885846,0.05265639146567717,2.467219239179306,0.006808347904997614,0.0187981201879812,0.470148824182598,0.42253630259498176,0.39875310350254706,0.34503756755140835,0.35906409359064095,10000,0.47621326042378676,0.45157275461380725,0.4235209090711202,0.45135486451354867,0.10416666666666667,0.0648179004175365,1.0,1.0,0.02410264586692403,0.9999954046225645,0.9999999835291469
complex|SMRT complex (human),complex,5,1.0,0.0692617908407382,0.06445821804511277,0.04883826259765118,0.4805240946993384,0.43725627437256276,0.591267254822896,0.4378507363040041,1.2263958418711343,0.11002487501761848,0.10288971102889712,10000,0.6477101845522898,0.45779017771701985,0.07382207275186753,0.06429357064293571,0.04081632653061224,0.5919646715794139,0.8630733825842222,1.0,0.652351756503829,0.8960391572446517,0.9999999835291469
complex|AP3 adapter complex (human),complex,5,0.7142857142857143,-0.022474367737525647,0.06702261517429937,-0.8885495794834898,0.8128774005229935,0.8094190580941906,0.2590189049546014,0.4339142569463748,-1.4407770345532265,0.9251761582624519,0.9195080491950804,10000,0.3018455228981545,0.45513930963773075,0.8829694564161794,0.8805119488051195,0.16326530612244897,0.8661114972347346,1.0,1.0,0.8698120650790518,0.9999954046225645,0.9999999835291469
complex|Interferon-stimulated gene factor 3 transcription complex ISGF3 (human),complex,3,1.0,0.6518341307814991,0.05028306220095694,3.57913393,0.00017236738691381092,0.0006999300069993001,0.4444131894721739,0.44897885068176363,-0.03505863221664861,0.5139835060864526,0.5333466653334666,10000,0.5643882433356119,0.4641592412850307,0.22586917705053366,0.23577642235776422,0.10416666666666667,0.004296051333283094,1.0,1.0,0.0008929825267589265,0.9999954046225645,0.9999999835291469
complex|Mi2/NuRD complex (human),complex,7,1.0,0.14968590306936166,0.03632053184910327,1.6757578086674914,0.046892820715216894,0.0654934506549345,0.49933446310928675,0.43118968715857825,0.565324114653288,0.28592666469761974,0.3007699230076992,10000,0.4837320574162679,0.4477451879699249,0.3877868204251089,0.40705929407059294,0.10204081632653061,0.16635654395725477,1.0,1.0,0.12057330928372109,0.9746653244497038,0.9999999835291469
"complex|Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1) (human)",complex,3,0.75,-0.08302574618364093,0.0424008361813625,-0.7496026335958463,0.7732529678948318,0.7505249475052495,0.368377838228085,0.4476423262007211,-0.5881081480383951,0.7217701478143792,0.7304269573042695,10000,0.3868079289131921,0.45889612440191385,0.6990209065970238,0.7112288771122888,0.05454545454545454,0.825459125133204,1.0,1.0,0.8468961076943397,0.9999954046225645,0.9999999835291469
