family,band,n,pass_rate,excess_median
celltype,61-200,34,32.4,0.0295
complex,3-5,514,0.2,0.0008
complex,6-10,144,0.7,0.0058
complex,11-25,76,0.0,0.0089
complex,26-60,7,42.9,0.0661
complex,61-200,4,25.0,0.0126
data_derived,3-5,10,40.0,0.3077
data_derived,6-10,23,95.7,0.3278
data_derived,11-25,17,100.0,0.3609
data_derived,26-60,5,100.0,0.3956
data_derived,61-200,6,100.0,0.3749
pathway,3-5,116,0.0,0.0175
pathway,6-10,219,0.0,0.0186
pathway,11-25,328,0.0,0.017
pathway,26-60,323,3.1,0.0167
pathway,61-200,186,7.0,0.0082
regulon,3-5,34,0.0,0.0136
regulon,6-10,61,0.0,-0.0009
regulon,11-25,37,0.0,-0.0076
regulon,26-60,10,0.0,-0.0085
regulon,61-200,4,0.0,-0.0069
signature,26-60,5,20.0,0.0174
signature,61-200,29,17.2,0.0085
