set,family,n_genes,internal_consistency,agreement_mean_4,agreement_min_4,agreement_mean_5,agreement_min_5,agreement_mean_ssgsea,agreement_min_ssgsea,agreement_mean_6,agreement_min_6,agreement_mean_gsva,agreement_min_gsva,bin
regulon|TRP53 mouse,regulon,104,0.005982511382183,0.22611188957639863,-0.25274471410805277,0.3099442788337523,-0.25274471410805277,0.4901454624761586,-0.055004004719074365,0.37579794729495253,-0.25274471410805277,0.5075052842173531,-0.09166883137967984,<0.02
pathway|Tie2 Signaling,pathway,14,0.0172390548482375,0.6952595885370051,0.5036669937418647,0.71897346316771,0.5036669937418647,0.7700812860303372,0.6590739280688824,0.7333573988257293,0.5036669937418647,0.7621252701417675,0.5477453307264865,<0.02
complex|THO complex (human),complex,5,-0.0947248649760257,0.4297357613839745,0.0766404668214665,0.5050255638559427,0.0766404668214665,0.6677414322217168,0.15586745462220347,0.5333304507597829,0.03427417172668334,0.5899402245674633,0.03427417172668334,<0.02
pathway|Cytosolic Iron-Sulfur Cluster Assembly,pathway,10,-0.0011933882448867,0.5192767397508397,0.3110748822091623,0.5756537478047605,0.3110748822091623,0.657853082140852,0.5359748243876569,0.5851010168539837,0.3110748822091623,0.6039955549524298,0.34843355954584326,<0.02
complex|MSH2-MSH6-PMS1-MLH1 complex (human),complex,3,-0.0449195989508357,0.3551109447153024,-0.5013680105961406,0.33332129999587157,-0.5013680105961406,0.3140534262428954,0.12116034029288568,0.42459249736998134,-0.5013680105961406,0.6071348921182006,0.367719799547575,<0.02
pathway|Carnitine Shuttle,pathway,12,0.0164100620780654,0.5932759080109508,0.43628714560859977,0.6064440474027261,0.43628714560859977,0.6426764367386738,0.5196623588877705,0.6257315618117126,0.40687541074711475,0.6643065906296861,0.40687541074711475,<0.02
pathway|ROBO Receptors Bind AKAP5,pathway,6,0.019702225685763,0.39233995564495205,-0.20111746582374765,0.4131843762158719,-0.3118999686116613,0.49292699933467465,-0.3118999686116613,0.4912189061513504,-0.3118999686116613,0.6472879660223073,-0.0057161953004080494,<0.02
complex|ITGA9-ITGB1-VEGFA complex (human),complex,3,-0.0074479657109459,0.19812566107539573,-0.6770669993119695,0.2299422904842389,-0.6770669993119695,0.28393877950621127,-0.31578292257903906,0.3311314072113643,-0.6770669993119695,0.533509640665615,0.1594162310181728,<0.02
complex|AP1 adaptor complex (human),complex,5,-0.012159328289552,0.2531170149289831,-0.27120634505100877,0.3744792408437402,-0.27120634505100877,0.6307591337903432,-0.15541962961760344,0.4692909100915975,-0.27120634505100877,0.6589142485873121,0.040481486291954846,<0.02
pathway|Listeria Monocytogenes Entry Into Host Cells,pathway,17,0.0045623117415943,0.021002050174515785,-0.6522444282980112,0.14381273874998907,-0.6522444282980112,0.39601422206158665,-0.490690381097726,0.2545379131741786,-0.6522444282980112,0.47598826202255784,0.06241679384355619,<0.02
