variant,group,n_genes,n_present,coverage,ic,ic_null_mean,ic_z,ic_p,ic_p_empirical,icc_p_empirical,icc,icc_null_mean,icc_z,icc_p,ic_q,icc_q
除去前,1st_Cohort_Baseline|Phenotype 216,96,73,0.76,0.3098456758334191,0.034554822769355925,20.44099788029024,3.6123416580943206e-93,9.999000099990002e-05,0.010198980101989802,0.5702769885637796,0.38678615958244766,2.2059110516017615,0.013695114134043786,0.00017998200179982003,0.015298470152984703
除去前,1st_Cohort_Baseline|Phenotype 252,243,177,0.728,0.35037384661401366,0.035804801381781236,38.2248203084837,0.0,9.999000099990002e-05,9.999000099990002e-05,0.5657822642058346,0.367880322583592,3.257645754968687,0.0005617027463286092,0.00017998200179982003,0.0005999400059994002
除去前,1st_Cohort_Baseline|Phenotype 272,220,162,0.736,0.3092018269527259,0.037576247688883624,30.56965909320899,1.5494526976796924e-205,9.999000099990002e-05,0.00029997000299970003,0.5754733861469847,0.3726673453194138,3.2689509936995496,0.0005397349799871179,0.00017998200179982003,0.0008999100089991002
除去前,1st_Cohort_Baseline|Phenotype 32,166,118,0.711,0.31573719174076,0.034182844056528265,27.75022058740693,8.659160478092102e-170,9.999000099990002e-05,0.0029997000299970002,0.5558985690209838,0.3708505076383561,2.6034910706679883,0.004613983570739963,0.00017998200179982003,0.0053994600539946005
除去前,1st_Cohort_Baseline|Phenotype 333,72,47,0.653,0.021731353023042008,0.023333069959399377,-0.10428211890543772,0.5415272662071704,0.48555144485551444,0.06919308069193081,0.5296399215863534,0.38228598907108924,1.468074705802374,0.07104196572881154,0.48555144485551444,0.08896253231819676
除去前,1st_Cohort_Baseline|Phenotype 44,7,5,0.714,0.285311004784689,0.01623493711551606,3.04683774489907,0.0011563125357037306,0.007899210078992101,0.0226977302269773,0.67384135101829,0.4457885412116938,1.7867204668650938,0.0369913397125274,0.010156127244418415,0.031427626468122416
除去前,1st_Cohort_Baseline|Phenotype 59,111,86,0.775,0.4479317744678822,0.03377445268936549,36.70850271619523,2.672004453191568e-295,9.999000099990002e-05,0.00019998000199980003,0.6405261551125536,0.33619282600223377,3.8623804584448393,5.614375715812219e-05,0.00017998200179982003,0.0008999100089991002
除去前,1st_Cohort_Baseline|Phenotype 724,211,169,0.801,0.38534334375861273,0.038030672582670844,40.429029590977315,0.0,9.999000099990002e-05,9.999000099990002e-05,0.5993692651701733,0.35654955531939597,4.017294996008453,2.943500520330392e-05,0.00017998200179982003,0.0005999400059994002
除去前,1st_Cohort_Baseline|Phenotype 774,100,76,0.76,0.35319976975932654,0.04043349478241057,22.884430518035987,3.320100081988091e-116,9.999000099990002e-05,0.0015998400159984002,0.6106534143565646,0.3913999096079353,2.7660749994771083,0.0028367742369692717,0.00017998200179982003,0.0038246175382461757
除去前,1st_Cohort_Baseline|Phenotype 794,10,6,0.6,0.0976851218956482,0.007435146958304838,1.2165307241339571,0.11189140719774104,0.11548845115488451,0.10638936106389361,0.5882512258148103,0.4309070686100902,1.2125426136936137,0.11265237035678222,0.1299245075492451,0.12756224377562245
除去前,1st_Cohort_Baseline|Phenotype 869,9,7,0.778,0.07376883767861213,0.013026870422810265,0.9452090155954712,0.17227608880819795,0.16628337166283372,0.0016998300169983002,0.7391953600085582,0.43406459430025646,2.425250176449702,0.007648920310722589,0.17606474646652984,0.0038246175382461757
除去前,2nd_Cohort_Baseline|Phenotype 187,134,103,0.769,0.38128635018833096,0.03944911003431427,30.709929910671214,2.097265950683583e-207,9.999000099990002e-05,0.00029997000299970003,0.579257810545409,0.3562175498966029,3.1349304885169524,0.000859474187880083,0.00017998200179982003,0.0008999100089991002
除去前,2nd_Cohort_Baseline|Phenotype 194,10,7,0.7,0.2942518634247958,0.01864084301663248,4.253506285017505,1.0522451445194753e-05,0.0012998700129987,0.16648335166483352,0.5565470602205699,0.4349749064952631,0.9712074581279425,0.1657224903440348,0.00194980501949805,0.17627648999805903
除去前,2nd_Cohort_Baseline|Phenotype 5,10,8,0.8,0.1503197929889659,0.055110099355531676,1.5029082491208863,0.06643135275738637,0.08049195080491951,0.2532746725327467,0.5084818889833764,0.4269486989116891,0.6863512950992874,0.2462458048495908,0.09659034096590341,0.2532746725327467
除去前,2nd_Cohort_Baseline|Phenotype 50,40,27,0.675,0.3377394535289272,0.03615038559880664,12.450758138623561,6.926151540578022e-36,9.999000099990002e-05,9.999000099990002e-05,0.7499261298205021,0.3777470896473243,3.611456163635348,0.00015224127813066786,0.00017998200179982003,0.0005999400059994002
除去前,2nd_Cohort_Stimulated|Phenotype 31,107,69,0.645,0.16561148278741492,0.04173359770619294,8.509342716999871,8.746104794745661e-18,9.999000099990002e-05,0.0051994800519948,0.5754171865220531,0.38068149849756894,2.392048070541866,0.008377323900734706,0.00017998200179982003,0.0085082400850824
