pc,var_ratio,kind,factor,r2,r2_chance,r2_excess,p,n_groups
PC1,0.14817253125056712,technical,plate id,0.19995500785339582,0.084907223724,0.11504778412939581,0.004975124378109453,17
PC1,0.14817253125056712,technical,chip_position,0.04455297971536165,0.05964226290749372,-0.01508928319213207,0.7114427860696517,12
PC1,0.14817253125056712,technical,batch effect_date,2.220446049250313e-16,0.02023689421110359,-0.02023689421110337,1.0,5
PC1,0.14817253125056712,technical,rna integrity score,0.005680403054420413,0.021375747574415183,-0.01569534451999477,0.9154228855721394,5
PC1,0.14817253125056712,biological,gender,3.251897123823788e-05,0.0053477445810690225,-0.005315225609830785,0.9303482587064676,2
PC1,0.14817253125056712,biological,age,0.04193660831477153,0.021921425217523542,0.020015183097247986,0.1044776119402985,5
PC1,0.14817253125056712,biological,percentage of body fat,0.054406240361821956,0.020713389214725018,0.03369285114709694,0.01990049751243781,5
PC1,0.14817253125056712,biological,ethnicity,0.050498639649119825,0.015682070688927643,0.03481656896019218,0.03980099502487562,4
PC1,0.14817253125056712,composition,Neutrophils,0.016606054607558596,0.021287862036487394,-0.004681807428928798,0.5174129353233831,5
PC1,0.14817253125056712,composition,T Cells Naive,0.5056747968518225,0.020590414545879173,0.4850843823059433,0.004975124378109453,5
PC1,0.14817253125056712,composition,B Cells,0.3404085972927643,0.02028575209044992,0.3201228452023144,0.004975124378109453,5
PC1,0.14817253125056712,composition,NK Cells,0.24091099858321396,0.021470280684573954,0.21944071789864,0.004975124378109453,5
PC1,0.14817253125056712,composition,Platelets,0.0074994624413007305,0.02070589980904393,-0.013206437367743198,0.8606965174129353,5
PC1,0.14817253125056712,composition,Monocytes,0.021193950121652372,0.021525727034456796,-0.0003317769128044247,0.43781094527363185,5
PC2,0.09532392661077989,technical,plate id,0.21763465370381285,0.08799413707984857,0.12964051662396428,0.009950248756218905,17
PC2,0.09532392661077989,technical,chip_position,0.02800318451939443,0.057563233554824816,-0.029560049035430386,0.9353233830845771,12
PC2,0.09532392661077989,technical,batch effect_date,4.440892098500626e-16,0.02066563546995315,-0.020665635469952707,1.0,5
PC2,0.09532392661077989,technical,rna integrity score,0.0100046933974961,0.021202210834395253,-0.011197517436899153,0.7611940298507462,5
PC2,0.09532392661077989,biological,gender,0.0006165053273483601,0.0060553877043958825,-0.0054388823770475225,0.7562189054726368,2
PC2,0.09532392661077989,biological,age,0.05849906324143961,0.022296248429579092,0.036202814811860516,0.03482587064676617,5
PC2,0.09532392661077989,biological,percentage of body fat,0.0354088575171414,0.02278947998974786,0.01261937752739354,0.20398009950248755,5
PC2,0.09532392661077989,biological,ethnicity,0.04519124320518764,0.017001274080081535,0.0281899691251061,0.04477611940298507,4
PC2,0.09532392661077989,composition,Neutrophils,0.7961845594023776,0.022399736841782102,0.7737848225605956,0.004975124378109453,5
PC2,0.09532392661077989,composition,T Cells Naive,0.01785380284173832,0.022334248641892106,-0.0044804458001537865,0.5174129353233831,5
PC2,0.09532392661077989,composition,B Cells,0.029270405232198593,0.020040699490586258,0.009229705741612335,0.24378109452736318,5
PC2,0.09532392661077989,composition,NK Cells,0.05285261013656073,0.02053191961937617,0.03232069051718456,0.01990049751243781,5
PC2,0.09532392661077989,composition,Platelets,0.7104598138141229,0.02166133101747063,0.6887984827966523,0.004975124378109453,5
PC2,0.09532392661077989,composition,Monocytes,0.7062960699410534,0.018382824324483016,0.6879132456165704,0.004975124378109453,5
PC3,0.043935496334471656,technical,plate id,0.2980049681332775,0.08505844232683803,0.21294652580643947,0.004975124378109453,17
PC3,0.043935496334471656,technical,chip_position,0.036604513133664085,0.060434618983545275,-0.02383010584988119,0.8557213930348259,12
