pc,var_ratio,shared_between,value,weighted
PC1,0.14817253125056712,技術 x 生物学,-0.005657477428802682,-0.0024107656636424726
PC1,0.14817253125056712,技術 x 細胞組成,0.13249879841816053,0.05646042034108266
PC1,0.14817253125056712,生物学 x 細胞組成,0.021952102170416377,0.009354235138046533
PC1,0.14817253125056712,技術 x 生物学 x 細胞組成,0.04148195915049663,0.017676302564021206
PC2,0.09532392661077989,技術 x 生物学,-0.0033145155784839453,-0.0009086287105859742
PC2,0.09532392661077989,技術 x 細胞組成,0.1950349954056496,0.05346615280524173
PC2,0.09532392661077989,生物学 x 細胞組成,0.04265569590478757,0.011693470448807634
PC2,0.09532392661077989,技術 x 生物学 x 細胞組成,0.04553382926896177,0.012482470996749012
PC3,0.043935496334471656,技術 x 生物学,0.00249953947047471,0.00031582027202681494
PC3,0.043935496334471656,技術 x 細胞組成,0.025103056434087057,0.0031718059287986254
PC3,0.043935496334471656,生物学 x 細胞組成,-0.004722300607376717,-0.0005966692184824205
PC3,0.043935496334471656,技術 x 生物学 x 細胞組成,-0.03325667595248061,-0.00420202704141548
PC4,0.032251261872407636,技術 x 生物学,0.07939400041988215,0.007363747089693559
PC4,0.032251261872407636,技術 x 細胞組成,0.17813483210165776,0.016521901460115142
PC4,0.032251261872407636,生物学 x 細胞組成,0.03775792016222923,0.003502025004875173
PC4,0.032251261872407636,技術 x 生物学 x 細胞組成,-0.05934271324886892,-0.0055040019355347474
PC5,0.02804147727756575,技術 x 生物学,0.037521775372064636,0.0030258593411522797
PC5,0.02804147727756575,技術 x 細胞組成,0.07998951746703609,0.006450575065328433
PC5,0.02804147727756575,生物学 x 細胞組成,0.057682460437480376,0.004651672528942833
PC5,0.02804147727756575,技術 x 生物学 x 細胞組成,-0.010323284866008031,-0.0008324981329759386
