sig,n,ann,kept,cov_ann,cov_kept
ABBA,111,100,95,0.9009009009009009,0.8558558558558559
ADORNO,2,1,1,0.5,0.5
BEN-PORATH-EXP1,367,321,255,0.8746594005449592,0.6948228882833788
BEN-PORATH-PRC2,631,581,178,0.9207606973058637,0.2820919175911252
BUESS,30,28,25,0.9333333333333333,0.8333333333333334
BUFFA,3,3,3,1.0,1.0
CARTER,70,63,60,0.9,0.8571428571428571
CHANG,355,316,297,0.8901408450704226,0.8366197183098592
CHI,136,117,92,0.8602941176470589,0.6764705882352942
CRAWFORD,377,327,291,0.8673740053050398,0.7718832891246684
DAI,35,30,28,0.8571428571428571,0.8
GLINSKY,11,11,10,1.0,0.9090909090909091
HALLSTROM,78,69,54,0.8846153846153846,0.6923076923076923
HE,6,0,0,0.0,0.0
HU,13,10,10,0.7692307692307693,0.7692307692307693
HUA,1345,1230,1053,0.9144981412639405,0.7828996282527881
IVSHINA,17,16,16,0.9411764705882353,0.9411764705882353
KOK,179,159,138,0.888268156424581,0.770949720670391
KORKOLA,21,20,15,0.9523809523809523,0.7142857142857143
LIU,167,142,133,0.8502994011976048,0.7964071856287425
MA,30,29,28,0.9666666666666667,0.9333333333333333
MILLER,18,18,15,1.0,0.8333333333333334
MORI,156,125,102,0.8012820512820513,0.6538461538461539
PAIK,16,15,13,0.9375,0.8125
PAWITAN,46,40,34,0.8695652173913043,0.7391304347826086
PEI,2,2,2,1.0,1.0
RAMASWAMY,16,16,14,1.0,0.875
REUTER,714,641,528,0.8977591036414566,0.7394957983193278
RHODES,67,60,58,0.8955223880597015,0.8656716417910447
SAAL,162,140,123,0.8641975308641975,0.7592592592592593
SHIPITSIN,56,51,48,0.9107142857142857,0.8571428571428571
SORLIE,15,15,12,1.0,0.8
SOTIRIOU-93,343,328,272,0.956268221574344,0.793002915451895
SOTIRIOU-GGI,90,79,73,0.8777777777777778,0.8111111111111111
META-PCNA,129,117,93,0.9069767441860465,0.7209302325581395
TAUBE,242,228,174,0.9421487603305785,0.71900826446281
TAVAZOIE,6,6,5,1.0,0.8333333333333334
VALASTYAN,6,6,5,1.0,0.8333333333333334
VANTVEER,60,52,43,0.8666666666666667,0.7166666666666667
WANG-76,68,57,42,0.8382352941176471,0.6176470588235294
WANG-ALK5T204D,239,207,131,0.8661087866108786,0.5481171548117155
WELM,3,3,2,1.0,0.6666666666666666
WEST,468,415,325,0.8867521367521367,0.6944444444444444
WHITFIELD,587,512,465,0.8722316865417377,0.7921635434412265
WONG-ESC,335,313,301,0.9343283582089552,0.8985074626865671
WONG-MITOCHON,217,197,182,0.9078341013824884,0.8387096774193549
WONG-PROTEAS,46,46,45,1.0,0.9782608695652174
YU,14,13,8,0.9285714285714286,0.5714285714285714
