コホート,終点,n,イベント,追跡中央値(日),log-rank p,HR(中央値分割),p(中央値分割),HR(連続 1SD),p(連続 1SD),備考
全患者,OS,1080,151,862,0.09306,1.317,0.09421,1.062,0.44509,
全患者,DSS,1061,83,849,0.02409,1.655,0.02565,1.202,0.08573,
全患者,DFI,938,84,778,0.08181,1.467,0.08368,1.235,0.0483,
全患者,PFI,1080,145,788,0.08082,1.338,0.08193,1.145,0.09366,
ER 陽性,OS,795,100,856,0.72007,1.075,0.72013,1.0,0.99667,
ER 陽性,DSS,784,50,838,0.28167,1.366,0.28355,1.126,0.38975,
ER 陽性,DFI,687,49,767,0.21844,1.428,0.22086,1.142,0.33394,
ER 陽性,PFI,795,93,791,0.10459,1.408,0.10625,1.102,0.32968,
ER 陽性かつリンパ節陰性,OS,347,31,890,0.564,1.241,0.56473,0.99,0.95198,
ER 陽性かつリンパ節陰性,DSS,345,10,889,0.29026,2.045,0.30044,1.436,0.22565,
ER 陽性かつリンパ節陰性,DFI,308,14,821,0.8601,0.91,0.86015,0.951,0.85121,
ER 陽性かつリンパ節陰性,PFI,347,24,865,0.77338,0.888,0.7735,0.9,0.59265,
Luminal (PAM50 A/B),OS,606,87,974,0.47116,1.168,0.47185,1.093,0.4111,
Luminal (PAM50 A/B),DSS,594,45,948,0.51805,1.214,0.51908,1.171,0.29349,
Luminal (PAM50 A/B),DFI,527,41,883,0.39804,1.304,0.39942,1.342,0.05441,
Luminal (PAM50 A/B),PFI,606,76,909,0.39303,1.218,0.39404,1.149,0.22237,
Luminal かつリンパ節陰性,OS,269,25,968,0.38168,1.427,0.38416,1.326,0.14674,
Luminal かつリンパ節陰性,DSS,268,10,955,0.61281,1.385,0.61437,1.484,0.20982,
Luminal かつリンパ節陰性,DFI,245,12,881,0.49114,0.67,0.49401,0.996,0.98875,
Luminal かつリンパ節陰性,PFI,269,20,881,0.53464,0.756,0.53593,0.917,0.70178,
