signature,n_genes,logrank_p,hr_raw,p_raw,hr_adj,p_adj,pcna_cor,retention
ABBA,95,0.029706,1.4328,0.030724,2.211,0.005017,0.9866,2.2062
BEN-PORATH-EXP1,255,0.030247,1.4325,0.031289,1.9808,0.008722,0.9288,1.9017
BUESS,25,0.954734,0.9908,0.954941,0.9593,0.807211,0.2215,4.4795
BUFFA,3,0.116562,1.2931,0.117483,1.2829,0.154514,0.3756,0.9693
CARTER,60,0.053238,1.3752,0.054469,1.9895,0.015903,0.9874,2.1593
CHANG,297,0.399029,1.1485,0.400236,1.1235,0.587988,0.8006,0.841
CHI,92,0.275004,1.1962,0.276165,1.175,0.367492,0.49,0.9003
CRAWFORD,291,0.070076,1.3461,0.071379,1.8677,0.027955,0.9849,2.1018
DAI,28,0.118928,1.2922,0.120317,1.6379,0.079771,0.9815,1.9248
GLINSKY,10,0.058551,1.3638,0.059789,1.8425,0.024379,0.9566,1.9696
HALLSTROM,54,0.016339,1.4893,0.017137,2.4392,0.001522,0.9846,2.2388
HU,10,0.041425,1.4002,0.042572,1.4359,0.051577,0.5576,1.0749
HUA,1053,0.865093,0.9727,0.866056,1.0212,0.907613,-0.5584,0.7571
IVSHINA,16,0.005048,1.5933,0.005487,2.9955,0.00011,0.9783,2.3554
KOK,138,0.712861,1.062,0.713892,0.9587,0.861098,0.881,0.7011
KORKOLA,15,0.29958,1.1857,0.29958,1.2222,0.231925,-0.1868,1.1776
LIU,133,0.074344,1.3416,0.075278,1.3275,0.093955,0.1583,0.9643
MA,28,0.039571,1.4036,0.040678,2.1202,0.008554,0.981,2.2164
META-PCNA,93,0.117925,1.2926,0.119331,1.6764,0.073626,1.0,2.0132
MILLER,15,0.025402,0.6908,0.026239,0.5934,0.01665,-0.7722,1.4107
MORI,102,0.194623,0.8074,0.19505,0.7997,0.176868,0.1215,1.045
PAIK,13,0.002579,1.6464,0.002871,2.6894,0.000106,0.9133,1.9842
PAWITAN,34,0.796475,1.0429,0.797652,0.8881,0.658986,0.9341,2.825
RAMASWAMY,14,0.019752,0.6803,0.020619,0.6244,0.018063,-0.6821,1.2226
REUTER,528,0.837404,1.0345,0.836623,1.0236,0.887816,0.1792,0.6879
RHODES,58,0.021879,1.4595,0.022771,2.3256,0.002736,0.9754,2.2323
SAAL,123,0.065289,1.3544,0.066559,1.795,0.030118,0.9461,1.9285
SHIPITSIN,48,0.689893,0.9366,0.690597,0.8751,0.461181,0.4423,2.0349
SORLIE,12,0.006801,0.6419,0.007284,0.6339,0.006027,0.1714,1.0286
SOTIRIOU-93,272,0.236644,1.2142,0.237978,1.242,0.321408,0.8141,1.1164
SOTIRIOU-GGI,73,0.069611,1.3488,0.070912,1.8528,0.028594,0.9859,2.0614
TAUBE,174,0.697913,0.9382,0.699206,0.9779,0.901694,-0.3519,0.3512
TAVAZOIE,5,0.985685,0.9972,0.986432,1.0058,0.972064,-0.0315,2.0655
VALASTYAN,5,0.027844,1.4355,0.028579,1.471,0.020678,-0.107,1.0674
VANTVEER,43,0.028357,1.4373,0.029362,1.9602,0.008581,0.903,1.8555
WANG-76,42,0.303085,1.1831,0.304303,1.23,0.418249,0.8789,1.2316
WEST,325,0.935251,1.0137,0.934078,1.0745,0.692065,-0.3787,5.2854
WHITFIELD,465,0.063428,1.358,0.064703,1.9074,0.02303,0.9801,2.1101
WONG-ESC,301,0.06514,1.3543,0.06641,1.7445,0.033449,0.9488,1.8347
WONG-MITOCHON,182,0.62701,1.0829,0.627979,1.053,0.764097,0.3196,0.6489
WONG-PROTEAS,45,0.849835,1.0313,0.850809,0.9658,0.856269,0.633,1.1264
