cohort,signature,n_symbols,n_present,coverage,logrank_p,hr_raw,p_raw,hr_adj,p_adj,pcna_cor,retention,excluded
Loi OS,ABBA,111,110,0.991,2e-06,2.7317,5e-06,2.4906,0.007348,0.99,0.9081,
Loi OS,ADORNO,2,2,1.0,,,,,,,,検出 2 遺伝子
Loi OS,BEN-PORATH-EXP1,367,355,0.9673,1.2e-05,2.5155,2.4e-05,2.0067,0.032188,0.9516,0.755,
Loi OS,BEN-PORATH-PRC2,631,561,0.8891,0.004289,1.8169,0.004871,1.5542,0.043591,0.1782,0.7384,
Loi OS,BUESS,30,29,0.9667,0.720649,1.0759,0.720186,0.8451,0.426402,0.358,2.2998,
Loi OS,BUFFA,3,3,1.0,0.001143,1.9704,0.00141,1.6286,0.027535,0.3588,0.7191,
Loi OS,CARTER,70,69,0.9857,4e-06,2.6584,9e-06,2.312,0.013016,0.9911,0.8572,
Loi OS,CHANG,355,350,0.9859,1.8e-05,2.4786,3.3e-05,1.9165,0.031502,0.9062,0.7166,
Loi OS,CHI,136,129,0.9485,0.925714,0.9808,0.924535,0.8673,0.493274,0.1866,7.3491,
Loi OS,CRAWFORD,377,363,0.9629,0.0,3.0042,1e-06,3.1114,0.000944,0.9862,1.0319,
Loi OS,DAI,35,35,1.0,8e-06,2.5574,1.7e-05,2.0949,0.024288,0.9778,0.7876,
Loi OS,GLINSKY,11,11,1.0,1e-06,2.7969,4e-06,2.5094,0.00437,0.9417,0.8946,
Loi OS,HALLSTROM,78,72,0.9231,3e-06,2.7093,6e-06,2.4062,0.008529,0.9756,0.8809,
Loi OS,HE,6,0,0.0,,,,,,,,被覆率 <60%
Loi OS,HU,13,13,1.0,0.020741,1.6106,0.022063,1.1781,0.479243,0.4821,0.3439,
Loi OS,HUA,1345,1289,0.9584,2e-06,0.3635,5e-06,0.4355,0.004553,-0.8566,0.8213,
Loi OS,IVSHINA,17,17,1.0,1.4e-05,2.5008,2.7e-05,1.9842,0.036803,0.9663,0.7476,
Loi OS,KOK,179,172,0.9609,1e-06,2.9186,2e-06,2.7125,0.001846,0.9401,0.9316,
Loi OS,KORKOLA,21,20,0.9524,0.163037,1.3291,0.164892,0.7454,0.255315,0.7342,1.0327,
Loi OS,LIU,167,159,0.9521,2.2e-05,2.4562,4e-05,1.8818,0.022498,0.7721,0.7036,
Loi OS,MA,30,30,1.0,2e-06,2.769,5e-06,2.5128,0.005813,0.9817,0.9047,
Loi OS,META-PCNA,129,127,0.9845,1e-06,2.8144,3e-06,2.6864,0.004193,1.0,0.955,
Loi OS,MILLER,18,18,1.0,0.001181,0.509,0.001461,0.7549,0.296096,-0.7429,0.4162,
Loi OS,MORI,156,145,0.9295,0.152026,1.34,0.153637,0.9139,0.697008,0.55,0.3078,
Loi OS,PAIK,16,16,1.0,3e-06,2.6834,8e-06,2.2479,0.008276,0.8793,0.8206,
Loi OS,PAWITAN,46,44,0.9565,0.000151,2.214,0.000221,1.5231,0.173142,0.9268,0.5293,
Loi OS,PEI,2,2,1.0,,,,,,,,検出 2 遺伝子
Loi OS,RAMASWAMY,16,16,1.0,0.008058,0.5787,0.008873,0.966,0.900532,-0.7756,0.0633,
Loi OS,REUTER,714,698,0.9776,0.324331,0.8169,0.324529,0.9454,0.788188,-0.2494,0.2778,
Loi OS,RHODES,67,67,1.0,3.2e-05,2.3952,5.6e-05,1.8024,0.076573,0.9786,0.6745,
Loi OS,SAAL,162,158,0.9753,0.0,3.3883,0.0,3.8625,5e-05,0.959,1.1073,
Loi OS,SHIPITSIN,56,55,0.9821,1.3e-05,2.5099,2.6e-05,1.955,0.013588,0.7029,0.7285,
Loi OS,SORLIE,15,14,0.9333,0.515772,0.8753,0.515821,0.9864,0.946944,-0.1457,0.103,
Loi OS,SOTIRIOU-93,343,338,0.9854,0.002695,1.86,0.003138,1.0775,0.805016,0.9025,0.1203,
Loi OS,SOTIRIOU-GGI,90,89,0.9889,1.2e-05,2.5193,2.4e-05,2.0329,0.034279,0.9845,0.7678,
Loi OS,TAUBE,242,231,0.9545,0.141951,0.7398,0.14311,1.0044,0.984586,-0.4182,0.0144,
Loi OS,TAVAZOIE,6,6,1.0,0.949347,0.9873,0.950032,1.1952,0.39955,-0.2085,13.9298,
Loi OS,VALASTYAN,6,6,1.0,0.898591,1.0263,0.898991,1.1968,0.390485,-0.2188,6.9293,
Loi OS,VANTVEER,60,60,1.0,4.3e-05,2.3528,7.1e-05,1.7334,0.080624,0.9386,0.6429,
Loi OS,WANG-76,68,64,0.9412,2e-06,2.7649,4e-06,2.4018,0.004551,0.9062,0.8615,
Loi OS,WANG-ALK5T204D,239,226,0.9456,0.000146,2.2302,0.000215,1.6803,0.041455,0.5379,0.6471,
Loi OS,WELM,3,3,1.0,0.229832,0.7826,0.231467,0.8356,0.38184,-0.1717,0.7326,
